年份,电力消费总量,农、林、牧、渔业电力消费总量,工业电力消费总量,采矿业电力消费总量,煤炭开采和洗选业电力消费总量,石油和天然气开采业电力消费总量,黑色金属矿采选业电力消费总量,有色金属矿采选业电力消费总量,非金属矿采选业电力消费总量,开采专业及辅助性活动电力消费总量,其他采矿业电力消费总量,制造业电力消费总量,农副食品加工业电力消费总量,食品制造业电力消费总量,酒、饮料和精制茶制造业电力消费总量,烟草制品业电力消费总量,纺织业电力消费总量,纺织服装、服饰业电力消费总量,皮革、毛皮、羽毛及其制品和制鞋业电力消费总量,木材加工及木、竹、藤、棕、草制品业电力消费总量,家具制造业电力消费总量,造纸及纸制品业电力消费总量,印刷和记录媒介复制业电力消费总量,文教、工美、体育和娱乐用品制造业电力消费总量,石油、煤炭及其他燃料加工业电力消费总量,化学原料及化学制品制造业电力消费总量,医药制造业电力消费总量,化学纤维制造业电力消费总量,橡胶和塑料制品业电力消费总量,橡胶制品业电力消费总量,塑料制品业电力消费总量,非金属矿物制品业电力消费总量,黑色金属冶炼及压延加工业电力消费总量,有色金属冶炼及压延加工业电力消费总量,金属制品业电力消费总量,通用设备制造业电力消费总量,专用设备制造业电力消费总量,汽车制造业电力消费总量,铁路、船舶、航空航天和其他运输设备制造业电力消费总量,电气机械及器材制造业电力消费总量,计算机、通信和其他电子设备制造业电力消费总量,仪器仪表制造业电力消费总量,其他制造业电力消费总量,废弃资源综合利用业电力消费总量,金属制品、机械和设备修理业电力消费总量,电力、热力、燃气及水生产和供应业电力消费总量,电力、热力的生产和供应业电力消费总量,燃气生产和供应业电力消费总量,水的生产和供应业电力消费总量,建筑业电力消费总量,交通运输、仓储和邮政业电力消费总量,批发和零售业、住宿和餐饮业电力消费总量,其他电力消费总量,居民生活电力消费总量
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,71508.2,1242.53,49094.91,2577.04,906.28,417.33,388.26,379.48,250.76,39.95,194.99,36935.83,763.86,277.38,169.23,52.81,1748.42,233.18,157.66,269.86,108.84,728.24,126.27,88.42,1114.43,5449.17,385.74,437.68,1376.17,,,3506.4,6142.36,6698.08,1623.17,993.56,450.83,1006.19,166.83,802.04,1391.21,83.37,519.01,47.74,17.7,9582.05,8886.95,173.62,521.48,887.82,1608.5,2900.4,5716.49,10057.55
2017,65913.97,1175.12,46052.84,2403.62,881.57,454.06,374.11,326.11,228.93,23.87,114.96,34687.63,716.29,263.34,156.37,51.96,1684.9,215.83,147.25,245.28,98.6,712.37,121.32,82.58,946.44,5122.26,364.77,425.47,1349.35,,,3305.08,5583.54,6373.46,1848.37,913.95,423.87,885.42,174.51,745.59,1106.77,88.69,482.13,37.15,14.71,8961.59,8292.15,182.68,486.77,789.22,1417.98,2526.65,4880.59,9071.57
2016,61205.09,1091.91,42996.89,2290.86,847.04,463.18,315.14,306.76,224.75,23.11,110.88,32131.97,672.07,255.5,162.78,51.96,1592.73,227.52,153.61,251.17,95.94,675.81,115.6,77.07,836.08,4874.63,337.18,390.28,1238.36,,,3187.99,5281.67,5671.42,1370.68,828.61,418.15,834.7,174.68,736.53,1004.23,86.41,478.78,39.35,10.48,8574.06,7977.42,156.75,439.89,725.62,1251.49,2323.78,4394.8,8420.6
2015,58019.98,1039.83,41549.99,2377.66,883.79,459.26,344.82,325.26,225.74,25.72,113.08,31178.1,641.29,239.46,162.13,52.75,1561.63,216.93,158.23,254.36,92.78,634.92,111.98,73.11,779.92,4754.04,315.19,362.05,1174.69,,,3105.42,5332.61,5505.48,1264.19,774.4,430.99,769.06,182.75,706.17,938.62,87.4,455.89,29.88,9.79,7994.23,7434.6,148.37,411.26,698.67,1125.61,2122.04,3918.63,7565.21
2014,57829.69,1013.39,42248.71,2594.8,939.66,431.98,468.79,351.79,241.5,27.96,133.13,31640.98,611.92,230.47,159.89,52.44,1541.18,213.03,151.43,264.4,88.9,632.26,111.34,72.89,718.82,4627.78,302.33,351.62,1170.61,,,3324.42,5795.6,5649.37,1302.6,791.9,442.83,731.32,180.54,684.6,870.71,84.71,440.69,29.76,10.61,8012.93,7486.67,138.79,387.47,721.67,1059.24,1995.6,3614.98,7176.1
2013,54203.41,1026.87,39236.88,2573.16,955.77,414.36,469.69,351.56,240.79,24.6,116.39,28987.01,574.03,230.47,167.6,53.73,1532.86,214.23,151.81,268.93,49.55,599.23,110.38,69.12,677.49,4341.38,283.06,349.66,1098.91,,,3148.49,5704.23,4113.91,1213.22,746.09,409.24,673.68,211.15,650.46,808.76,83.41,416.24,23.51,12.2,7676.71,7183.5,131.24,361.97,675.07,1000.92,1876.89,3397.62,6989.16
2012,49762.64,1012.57,36232.21,2391.9,879.14,396.81,438.42,327.82,224.23,28.56,96.92,26822.46,526.15,220.97,155.76,51.22,1448.7,198.42,151.03,264.08,45.83,579.0,107.12,64.11,594.92,3936.15,257.25,329.53,1024.57,,,2951.26,5220.52,3819.08,1037.58,699.9,388.42,586.63,232.15,613.64,765.87,81.14,437.98,20.27,13.23,7017.84,6566.61,108.9,342.33,608.4,915.37,1691.49,3083.64,6218.96
2011,47000.88,1012.9,34691.55,2245.23,818.57,374.81,436.58,311.97,214.27,,89.03,25526.84,471.04,198.18,145.57,51.84,1378.82,163.7,88.37,236.15,45.83,580.38,102.5,61.79,607.06,3528.32,240.88,322.36,891.32,358.92,532.4,2917.93,5248.27,3501.8,959.48,714.18,361.84,861.41,,584.42,737.83,83.7,424.25,17.62,,6919.48,6512.12,90.21,317.15,571.82,848.42,1503.08,2753.05,5620.06
2010,41934.49,976.49,30871.77,1940.39,751.67,347.9,361.33,258.71,155.26,,65.52,22870.0,424.36,184.69,132.34,45.88,1276.74,151.58,89.72,212.21,44.49,535.44,95.45,48.09,565.34,3144.93,222.58,298.86,862.99,329.89,533.1,2448.48,4611.61,3129.09,960.72,621.03,317.83,790.29,,508.19,670.76,85.83,376.4,14.1,,6061.38,5687.51,82.87,291.0,483.24,734.53,1292.0,2451.83,5124.63
