年份,煤油可供量,煤油生产量,煤油进口量,煤油出口量,煤油年初年末库存差额,煤油能源消费总量,农、林、牧、渔业煤油消费总量,工业煤油消费总量,建筑业煤油消费总量,交通运输、仓储和邮政业煤油消费总量,批发和零售业、住宿和餐饮业煤油消费总量,其他煤油消费总量,居民生活煤油消费总量,煤油平衡差额
2019,,,,,,,,,,,,,,
2018,3714.3,4770.3,942.3,1947.0,-51.3,3653.5,4.9,24.9,17.3,3462.5,15.5,103.8,24.6,60.8
2017,3332.8,4230.9,852.3,1765.2,14.8,3326.4,1.5,14.5,9.7,3173.3,11.3,88.4,27.6,6.4
2016,3020.7,3983.9,776.7,1721.7,-18.2,2970.7,2.2,20.0,10.0,2814.9,11.2,85.9,26.4,50.0
2015,2732.6,3658.6,716.4,1626.6,-15.8,2663.7,1.1,21.2,12.5,2504.9,11.7,83.3,29.1,68.9
2014,2336.4,3081.0,721.0,1455.8,-9.7,2335.4,0.8,17.4,10.4,2216.0,11.3,50.7,28.9,1.0
2013,2189.1,2523.9,945.2,1280.6,0.6,2164.1,1.2,27.4,11.4,1998.2,13.4,84.6,27.9,25.0
2012,1959.1,2164.0,877.3,1085.9,3.7,1956.6,1.2,32.0,7.9,1787.1,28.6,74.2,25.6,2.4
2011,1821.7,1922.4,875.1,966.8,-9.0,1816.7,1.5,34.2,10.8,1646.4,32.2,68.2,23.5,5.0
2010,1767.6,1924.4,726.1,870.5,-12.3,1765.2,0.9,40.2,8.8,1601.1,35.0,58.7,20.5,2.4
2009,1448.21160658432,1480.3,795.06,826.05,-1.09839341568,1439.412566,0.76,32.04,10.387514,1314.25,29.148,33.67494,19.152112,8.79904058432021
2008,1290.4239104,1158.9,836.79,706.54,1.2739104,1294.00475,1.26,49.08389732,9.67,1174.59,20.82,25.9038,12.68095,-3.58083959999976
2007,1239.22224,1153.28,725.04,637.07,-2.02776,1243.7146,0.94,45.2422508463011,,1129.98,4.901,43.173,19.4806,-4.49236000000019
2006,1117.88,975.48,731.69,584.39,-4.9,1124.739026,1.54,48.1894883,,1010.54,3.772026,37.969,22.728,-6.85902600000009
2005,1070.0,1006.5,476.1,447.6,35.0,1076.8,1.6,57.5,0.0,952.4,3.7,36.2,25.5,-6.8
2004,1054.450147,962.24,421.0,331.5,2.710147,1060.858962,1.08,60.89,0.0,919.71,3.63,48.19,27.358962,-6.408815
2003,914.51,855.3,317.37,275.89,17.73,921.61,1.35,87.77,0.0,741.68,11.24,43.19,36.38,-7.09999999999991
2002,914.78,826.11,324.33,240.94,5.28,919.2,1.4,107.35,0.0,716.75,13.0,40.0,40.7,-4.42000000000007
2001,894.23,789.35,298.59,246.42,52.71,890.27,1.52,86.0,3.5,560.69,12.47,151.09,75.0,3.95999999999992
2000,880.9,872.3,322.5,256.3,-57.6,871.6,1.5,84.0,4.0,535.9,14.0,160.1,72.2,9.3
