年份,一次能源生产总量,原煤占一次能源生产总量的比重,原油占一次能源生产总量的比重,天然气占一次能源生产总量的比重,一次电力及其他能源占一次能源生产总量的比重,焦炭生产量,原油生产量,汽油生产量,煤油生产量,柴油生产量,燃料油生产量,天然气生产量,发电量,水力发电量,火力发电量
2019,397000,68.6,6.9,5.7,18.8,47126.16,19101.407729,,,,,1761.74,75034.28,13044.38,52201.479419
2018,378859,69.2,7.2,5.4,18.2,44834.1994,18932.4204,,,,,1601.58816,71661.3323921249,12317.870852,50963.182876
2017,358867,69.6,7.6,5.4,17.4,43142.553674,19150.608103,,,,,1480.348838,66044.47,11978.65,47546.0
2016,345954,69.8,8.3,5.2,16.7,44911.4756,19968.5242,,,,,1368.65,61331.6,11840.48,44370.6848
2015,362193,,,,,44822.542233,21455.58157,,,,,1346.097221,58145.73,11302.7,42841.878322
2014,362212,73.5,8.3,,13.5,47980.86,21142.9,,,,,1301.57,57944.57,10728.82,44001.107947
2013,358784,,,,,48179.38,20991.9,,,,,1208.58,54316.35,9202.92,42470.1
2012,351041,,,,,43831.4452174371,20747.8,8975.6,2131.4,17063.7,1929.1,1106.08,49875.53,8721.07,38928.1
2011,340178,,,,,43432.9977114693,20287.6,7917.9,1932.4,15689.7,2301.8,1053.37,47130.19,6989.45,38337.02
2010,312125,,,,,38657.8261583967,20301.4,7360.47,1924.39,14924.38,2536.97,957.91,42071.6,7221.72,33319.28
2009,286092,,,,,35744.0549089507,18949.0,7320.66,1480.3,14288.57,1353.355,852.69,37146.51,6156.44,29827.76
2008,277419,,,,,32313.93671225,19043.96,6347.18,1158.9,13409.15,1737.4,802.99,34668.82,5851.87,27072.3
2007,264173,,,,,33105.278485,18631.82,5917.9,1153.28,12359.11,1967.24,692.4,32815.53,4852.64,27229.33
2006,244763,,,,,30074.3594,18476.57,5594.96,975.48,11762.4,1784.65,585.53,28657.26,4357.86,23696.03
2005,229037,,,,,26511.6994,18135.29,5433.0,1006.48,11090.19,1767.41,493.2,25002.6,3970.17,20473.36
2004,206108,,,,,20537.58,17587.32,5265.25,962.24,9843.6,2029.28,414.6,22033.1,3535.44,17956.0
2003,178299,,,,,17775.71,16959.98,4790.86,855.3,8532.78,2004.84,350.15,19105.75,2836.81,15804.0
2002,156277,,,,,14253.34,16700.0,4320.76,826.11,7706.1,1845.5,326.61,16540.0,2879.74,13274.0
2001,147425,,,,,13730.77,16395.87,4154.66,789.35,7485.6,1864.39,303.29,14808.02,2774.32,11768.0
2000,138570,,,,,12184.02,16300.0,4134.67,872.29,7079.62,2053.67,272.0,13556.0,2224.14,11141.9
