年份,餐饮业企业年末从业人数,内资餐饮业企业年末从业人数,国有餐饮业企业年末从业人数,集体餐饮业企业年末从业人数,股份合作餐饮业企业年末从业人数,联营餐饮业企业年末从业人数,国有联营餐饮业企业年末从业人数,集体联营餐饮业企业年末从业人数,国有与集体联营餐饮业企业年末从业人数,其他联营餐饮业企业年末从业人数,有限责任公司餐饮业企业年末从业人数,国有独资公司餐饮业企业年末从业人数,其他有限责任公司餐饮业企业年末从业人数,股份有限公司餐饮业企业年末从业人数,私营餐饮业企业年末从业人数,私营独资餐饮业企业年末从业人数,私营合伙餐饮业企业年末从业人数,私营有限责任公司餐饮业企业年末从业人数,私营股份有限公司餐饮业企业年末从业人数,其他餐饮业企业年末从业人数,港、澳、台商投资餐饮业企业年末从业人数,港、澳、台商合资经营餐饮业企业年末从业人数,港、澳、台商合作经营餐饮业企业年末从业人数,港、澳、台商独资经营餐饮业企业年末从业人数,港、澳、台商投资股份有限公司餐饮业企业年末从业人数,其他港澳台商投资餐饮业企业年末从业人数,外商投资餐饮业企业年末从业人数,中外合资经营餐饮业企业年末从业人数,中外合作经营餐饮业企业年末从业人数,外资餐饮业企业年末从业人数,外商投资股份有限公司餐饮业企业年末从业人数,其他外商投资餐饮业企业年末从业人数,正餐服务业年末从业人数,快餐服务业年末从业人数,饮料及冷饮服务业年末从业人数,餐饮配送及外卖送餐服务年末从业人数,其他餐饮服务业年末从业人数
2019,2527930,1767624,21770,5825,5692,332,,262,,,517439,22680,494759,46958,1168307,81255,14334,1045809,26909,1301,320504,53082,4336,248836,13819,431,439802,90130,593,324623,4137,20319,1646497,608328,106414,81060,85631
2018,2342218,1669516,27899,6471,5554,333,,251,,,507599,21042,486557,55543,1063456,88212,13955,934591,26698,2661,294626,54138,4482,234712,1002,292,378076,88569,676,272825,1037,14969,1595407,541912,81165,63272,60462
2017,2232258,1655996,33651,7801,5961,335,,235,,100.0,550730,18265,532465,63215,981971,98002,14085,835611,34273,12332,246662,52636,6636,186097,709,584,329600,69163,3591,233058,11356,12432,1593776,475258,64788,,98436
2016,2211112,1681275,34893,8675,6084,349,,349,,,558764,19973,538791,61084,992070,120498,16847,810511,44214,19356,206428,44369,6181,154088,939,851,323409,68939,3783,237849,2122,10716,1644254,422192,56604,,88062
2015,2220780,1698260,37077,9583,7001,264,,264,,,562486,16407,546079,54757,1002993,135118,20196,796566,51113,24099,193556,40050,7117,143982,1083,1324,328964,75788,3870,246961,1902,443,1680942,404088,50117,,85633
2014,2345000,1787563,40290,11261,8284,578,,578,,,566412,19111,547301,59740,1072654,146986,22169,858037,45462,28344,190079,43931,7384,137394,1153,217,367832,81626,5215,278025,2276,690,1783495,437370,43579,,81030
2013,2467693,1903042,47052,13819,9440,667,,667,,,578950,16914,562036,67518,1152529,177549,26439,895895,52646,33067,173226,44069,8660,119507,812,178,391425,82752,5967,299646,2451,609,1904408,445029,36752,,81504
2012,2437088,1876851,70715,20762,16408,1881,55.0,860,,966.0,496914,8626,488288,70021,1103936,216440,34841,802198,50457,96214,171514,50374,8527,111400,1000,213,388723,86732,6069,292451,2807,664,1896449,440396,33115,,67128
2011,2277980,1737628,70681,22163,17901,2005,96.0,630,83.0,1196.0,429247,7728,421519,70143,1036316,212538,41897,730054,51827,89172,159081,53553,7310,94062,4000,156,381271,97028,6217,274200,3059,767,1745282,438324,16700,,77674
2010,2202988,1722385,68472,26317,21216,1979,152.0,423,116.0,1288.0,368554,3467,365087,64985,1123673,272628,52086,724060,74899,47189,139324,50002,8300,77606,3416,,341279,79473,9724,243693,8389,,1748292,364676,14341,,75679
2009,2006056,1597952,68047,29177,20683,1850,,311,145.0,1394.0,322869,1730,321139,56242,1058090,276004,51423,674556,56107,40994,123041,27385,7629,66792,21235,,285063,58797,14089,203767,8410,,1612177,317892,11346,,64641
2008,2001699,1597048,66019,28846,21745,2457,273.0,473,43.0,1668.0,299266,2146,297120,56312,1071750,322469,53439,644898,50944,50653,121489,28411,6624,69136,17318,,283162,58948,14528,202186,7500,,1638438,295912,11082,,56267
2007,1673561,1303912,72887,33218,21754,4328,1217.0,747,84.0,2280.0,252014,2598,249416,45539,839927,217059,39851,543842,39175,34245,78818,28140,6683,42751,1244,,290831,91519,27596,169919,1797,,,,,,
2006,1489402,1159526,76252,34130,26958,4380,1267.0,796,203.0,2114.0,224339,2803,221536,41794,727901,158435,36512,496948,36006,23772,74052,24570,8773,40270,439,,255824,84838,34970,134220,1796,,,,,,
2005,1344263,1015102,83386,38863,27211,4299,994.0,996,438.0,1871.0,197741,3299,194442,39940,606772,120259,33203,420065,33245,16890,87570,37711,11325,37867,667,,241591,72832,29143,136849,2767,,,,,,
2004,1339245,1072701,97670,43356,30061,7101,3425.0,766,617.0,2293.0,212246,2304,209942,41849,628411,123936,34052,431242,39181,12007,80058,38009,15304,26571,174,,186486,71888,41200,71419,1979,,1137434,167390,6605,,27816
2003,1132733,871863,192960,73672,30555,6545,2883.0,1335,466.0,1861.0,168449,2966,165483,46747,345953,89203,20802,218854,17094,6982,130095,58216,33993,35432,2454,,130775,56344,23607,49955,869,,,,,,
2002,978043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,779370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,664749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
