年份,餐饮业法人企业数,内资企业餐饮业法人企业数,国有企业餐饮业法人企业数,集体企业餐饮业法人企业数,股份合作企业餐饮业法人企业数,联营企业餐饮业法人企业数,国有联营企业餐饮业法人企业数,集体联营企业餐饮业法人企业数,国有与集体联营企业餐饮业法人企业数,其他联营企业餐饮业法人企业数,有限责任公司餐饮业法人企业数,国有独资公司餐饮业法人企业数,其他有限责任公司餐饮业法人企业数,股份有限公司餐饮业法人企业数,私营企业餐饮业法人企业数,私营独资企业餐饮业法人企业数,私营合伙企业餐饮业法人企业数,私营有限责任公司餐饮业法人企业数,私营股份有限公司餐饮业法人企业数,其他企业餐饮业法人企业数,港、澳、台商投资企业餐饮业法人企业数,港、澳、台商合资经营企业餐饮业法人企业数,港、澳、台商合作经营企业餐饮业法人企业数,港、澳、台商独资经营企业餐饮业法人企业数,港、澳、台商投资股份有限公司餐饮业法人企业数,其他港澳台商投资企业餐饮业法人企业数,外商投资企业餐饮业法人企业数,中外合资经营企业餐饮业法人企业数,中外合作经营企业餐饮业法人企业数,外资企业餐饮业法人企业数,外商投资股份有限公司餐饮业法人企业数,其他外商投资企业餐饮业法人企业数,正餐服务业法人企业数,快餐服务业法人企业数,饮料及冷饮服务业法人企业数,餐饮配送及外卖送餐服务法人企业数,其他餐饮服务业法人企业数
2019,29918,28826,253,116,79,9,,5,,,5734,165,5569,328,22280,2846,387,18695,352,27,665,123,15,513,8,6,427,78,7,313,8,21,26972,1210,416,793,527
2018,26258,25282,285,123,75,7,,4,,,5473,131,5342,360,18915,2822,313,15425,355,44,614,111,17,476,7,3,362,69,6,255,10,22,24167,968,231,534,358
2017,25884,24872,327,151,76,8,,6,,2.0,6459,108,6351,377,17181,2942,328,13420,491,293,628,118,19,475,9,7,384,82,10,255,16,21,23977,950,226,,731
2016,26359,25310,381,174,81,7,,7,,,6760,112,6648,430,17059,3561,378,12602,518,418,614,117,24,456,10,7,435,99,15,290,16,15,24537,967,222,,633
2015,25947,24845,413,184,98,7,,7,,,6654,111,6543,420,16600,3746,411,11918,525,469,627,123,28,460,7,9,475,111,18,322,16,8,24185,940,224,,598
2014,26634,25414,449,228,130,8,,8,,,6519,120,6399,455,17076,3964,457,12078,577,549,679,131,34,498,11,5,541,139,22,352,20,8,24892,938,227,,577
2013,26743,25507,499,273,150,10,1.0,9,,,6304,111,6193,510,17128,4223,510,11759,636,633,659,149,34,463,10,3,577,148,25,377,20,7,25105,909,209,,520
2012,23390,22200,659,359,233,23,2.0,12,,9.0,4809,53,4756,449,14353,4044,634,9119,556,1315,619,158,31,417,10,3,571,158,26,354,23,10,21924,837,188,,441
2011,22496,21235,675,376,273,24,2.0,8,2.0,12.0,4116,43,4073,461,14001,4245,726,8435,595,1309,642,174,35,419,12,2,619,177,34,377,24,7,20921,799,186,,590
2010,21595,20395,666,420,273,27,3.0,6,1.0,17.0,3300,33,3267,449,14553,5116,792,7967,678,707,611,175,34,390,12,,589,163,39,363,24,,20106,764,170,,555
2009,20694,19507,608,445,294,25,,4,1.0,20.0,2790,21,2769,409,14262,5516,815,7327,604,674,587,172,34,364,17,,600,168,48,358,26,,19282,765,165,,482
2008,22523,21250,614,463,297,35,4.0,7,1.0,23.0,2697,26,2671,487,15833,6951,948,7332,602,824,579,178,35,346,20,,694,202,53,415,24,,20898,837,202,,586
2007,14070,13090,569,427,306,37,6.0,12,2.0,17.0,1918,20,1898,299,9226,3195,519,5075,437,308,458,159,42,250,7,,522,174,71,266,11,,,,,,
2006,11822,10939,584,430,327,39,9.0,12,3.0,15.0,1650,21,1629,274,7359,2219,434,4340,366,276,412,144,50,215,3,,471,176,73,213,9,,,,,,
2005,9922,9099,580,441,319,35,9.0,8,3.0,15.0,1398,16,1382,245,5893,1582,365,3605,341,188,365,152,59,151,3,,458,177,89,180,12,,,,,,
2004,10067,9191,596,461,332,49,11.0,10,5.0,23.0,1451,16,1435,230,5993,1479,377,3739,398,79,392,178,69,144,1,,484,199,105,171,9,,9395,380,65,,227
2003,5935,5277,723,516,266,32,10.0,5,2.0,15.0,875,5,870,184,2626,848,191,1473,114,55,385,192,80,106,7,,273,133,53,83,4,,,,,,
2002,5021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,4132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
