年份,餐饮业企业营业额,内资餐饮业企业营业额,国有餐饮业企业营业额,集体餐饮业企业营业额,股份合作餐饮业企业营业额,联营餐饮业企业营业额,国有联营餐饮业企业营业额,集体联营餐饮业企业营业额,国有与集体联营餐饮业企业营业额,其他联营餐饮业企业营业额,有限责任公司餐饮业企业营业额,国有独资公司餐饮业企业营业额,其他有限责任公司餐饮业企业营业额,股份有限公司餐饮业企业营业额,私营餐饮业企业营业额,私营独资餐饮业企业营业额,私营合伙餐饮业企业营业额,私营有限责任公司餐饮业企业营业额,私营股份有限公司餐饮业企业营业额,其他餐饮业企业营业额,港、澳、台商投资餐饮业企业营业额,港、澳、台商合资经营餐饮业企业营业额,港、澳、台商合作经营餐饮业企业营业额,港、澳、台商独资经营餐饮业企业营业额,港、澳、台商投资股份有限公司餐饮业企业营业额,其他港澳台商投资餐饮业企业营业额,外商投资餐饮业企业营业额,中外合资经营餐饮业企业营业额,中外合作经营餐饮业企业营业额,外资餐饮业企业营业额,外商投资股份有限公司餐饮业企业营业额,其他外商投资餐饮业企业营业额,正餐服务业营业额,快餐服务业营业额,饮料及冷饮服务业营业额,餐饮配送及外卖送餐服务营业额,其他餐饮服务业营业额
2019,6557.3778,4649.8518,43.0512,15.3179,15.1938,0.8951,,0.6733,,,1341.1026,50.7736,1290.3294,140.0038,3091.7041,247.6906,38.9738,2727.7043,77.3354,2.5838,845.4638,139.7063,12.6229,665.931,25.9563,1.2476,1062.0621,208.8775,3.0013,777.3563,7.8187,65.0085,4274.1941,1461.0434,386.8706,242.9566,192.3141
2018,5622.9,3940.4,48.9,17.8,14.1,1.2,,0.9,,,1168.1,44.9,1123.3,135.6,2548.7,239.4,33.4,2206.4,69.5,6.1,754.3,134.1,12.7,603.9,3.0,0.6,928.2,185.1,3.0,696.5,5.3,38.2,3774.9,1276.2,272.5,174.0,125.3
2017,5312.7754,3750.1042,58.595,23.91,13.825,1.081,,0.825,,0.256,1187.0827,40.719,1146.3639,146.629,2285.4323,285.332,30.451,1889.1698,80.479,33.55,665.025,121.46,17.429,522.703,1.545,1.89,897.646,187.298,7.447,640.211,30.771,31.919,3650.4012,1215.051,215.798,,231.525
2016,5127.0675,3734.7629,66.5532,24.7254,13.465,0.7647,,0.7647,,,1154.3432,43.8997,1110.4436,143.1976,2285.5153,353.8391,37.9654,1792.0198,101.6913,46.1996,529.7361,104.9762,15.9223,403.7935,3.0504,1.9936,862.568,181.5426,7.0229,642.4122,4.5994,26.9913,3691.4627,1041.9246,183.11,,210.5706
2015,4864.0133,3546.6584,67.2131,23.5004,14.1479,1.0775,,1.0775,,,1106.1319,32.6858,1073.4463,125.2997,2157.5875,359.298,40.9175,1648.6105,108.7621,51.7014,432.1209,72.8208,17.8417,335.3218,2.9471,3.1891,885.2349,196.488,8.0186,675.6451,4.1411,0.9423,3547.4134,977.5751,151.9318,,187.0937
2014,4615.3,3361.3,69.52188,25.03294,16.04591,5.75969,,5.75969,,,985.36119,37.66294,947.69825,129.14507,2078.2,346.74692,41.74567,1604.8,84.91185,52.23042,409.57083,74.03542,20.07682,312.48733,2.39464,0.57662,844.5,192.3,12.34084,632.79621,4.65232,2.36578,3393.6,929.72658,126.16009,,165.8
2013,4533.33118,3346.784,72.41936,26.90086,17.41725,5.44177,,5.44177,,,940.41093,32.15073,908.2602,137.9236,2090.72417,384.12431,45.06847,1570.77089,90.7605,55.54606,355.91441,70.05854,21.34255,262.24207,1.99501,0.27624,830.63277,185.41462,13.01659,625.88311,4.46387,1.85458,3401.5094,898.78878,86.4292,,146.6038
2012,4419.84526,3280.41086,107.75579,35.24031,26.68138,5.93574,0.1407,4.7299,,1.06514,861.16604,14.97364,846.1924,136.42213,1960.91245,443.75726,61.76924,1366.54526,88.84069,146.29702,339.89071,82.86967,21.93609,232.22402,2.49691,0.36402,799.54369,194.69821,15.44096,582.94144,5.30005,1.16303,3356.31549,882.64897,67.24118,,113.63962
2011,3809.0487,2815.0753,98.2252,35.1337,29.6093,4.8962,0.2745,3.1035,0.2151,1.3032,672.6728,10.7456,661.9272,117.784,1724.1862,389.8726,68.0513,1176.8513,89.411,132.5679,303.8182,83.4434,17.5347,192.071,10.6296,0.1396,690.1552,178.6135,13.651,491.3761,4.8829,1.6317,2896.183,747.6175,39.9531,,125.2951
2010,3195.14443,2398.9,79.3,33.9,29.4,2.5,0.2,0.4,0.3,1.6,485.8,8.9,476.8,100.2,1605.7,415.8,70.7,1013.4,105.8,62.2,248.3,74.1,15.1,150.1,9.0,,547.9,123.6,17.6,390.9,15.7,,2478.1,572.8,33.8,,110.4
2009,2686.3602,2016.36432,67.18067,33.07971,25.74252,1.89683,,0.24555,0.10378,1.5475,403.19149,1.73362,401.45787,80.51949,1354.49012,368.19024,62.60198,846.07683,77.62107,50.26349,208.24326,45.71428,14.21123,122.31281,26.00494,,461.75262,109.98375,23.23713,315.11334,13.4184,,2065.09839,501.06243,26.00266,,94.19672
2008,2592.8179,1958.5398,65.1393,30.3746,24.8849,2.9123,0.3853,0.3611,,2.1359,347.6926,2.327,345.3656,70.7999,1358.7961,424.0608,63.3606,811.423,59.9517,57.9401,190.1286,43.1911,13.0417,109.9729,23.9228,,444.1496,105.7928,22.0249,305.5353,10.7967,,2061.8899,441.2582,17.0742,,72.5956
2007,1907.21515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1573.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,1260.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,1160.5,846.58395,55.46731,29.43028,25.71867,4.11736,1.21215,0.5171,0.48343,1.90468,164.94385,1.43578,163.50807,31.69644,528.60543,95.72157,26.31157,377.35373,29.21856,6.60461,93.83029,48.64425,15.75156,29.3667,0.06778,0.0,220.07938,82.37453,48.33152,88.98897,0.38436,0.0,918.68212,205.59744,7.77842,,28.43564
2003,896.20292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,740.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,618.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,528.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
