年份,零售业企业商品出口额,内资零售业企业商品出口额,国有零售业企业商品出口额,集体零售业企业商品出口额,股份合作零售业企业商品出口额,联营零售业企业商品出口额,国有联营零售业企业商品出口额,集体联营零售业企业商品出口额,国有与集体联营零售业企业商品出口额,其他联营零售业企业商品出口额,有限责任公司零售业企业商品出口额,国有独资公司零售业企业商品出口额,其他有限责任公司零售业企业商品出口额,股份有限公司零售业企业商品出口额,私营零售业企业商品出口额,私营独资零售业企业商品出口额,私营合伙零售业企业商品出口额,私营有限责任公司零售业企业商品出口额,私营股份有限公司零售业企业商品出口额,其他零售业企业商品出口额,港澳台商投资零售业企业商品出口额,港澳台商合资经营零售业企业商品出口额,港澳台商合作经营零售业企业商品出口额,港澳台商独资经营零售业企业商品出口额,港澳台商投资股份有限公司零售业企业商品出口额,其他港澳台商投资零售业企业商品出口额,外商投资零售业企业商品出口额,中外合资经营零售业企业商品出口额,中外合作经营零售业企业商品出口额,外资零售业企业商品出口额,外商投资股份有限公司零售业企业商品出口额,其他外商投资零售业企业商品出口额
2019,89.7931,84.8414,0.4885,,,,,,,,38.8174,13.1397,25.6776,2.1283,43.2967,0.0899,,42.8885,0.3184,0.0611,0.8011,0.2237,,0.3136,,0.2638,4.151,2.9148,,1.1298,,0.1064
2018,80.6,79.7,0.6,,,,,,,,34.6,0.8,33.8,3.0,41.5,,,31.5,10.0,,0.4,0.1,,0.4,,,0.5,0.1,,0.4,,
2017,72.5,65.531,1.012,,,,,,,,29.376,5.735,23.641,0.647,34.495,0.241,,33.781,0.472,,5.261,0.857,,3.818,,0.585,1.706,0.137,,1.481,,0.089
2016,115.9,111.6234,0.8508,0.1246,,,,,,,76.2778,5.1112,71.1667,9.2118,25.0882,0.0685,,25.0187,,0.0706,1.4812,0.1363,,1.3449,,,2.761,0.1076,,2.4251,,0.2284
2015,88.1,84.9704,0.9926,0.2771,0.4338,,,,,,57.4293,0.0854,57.3438,3.6021,22.0618,0.3427,,21.3369,0.3821,0.174,1.3151,0.1451,,1.1699,,,1.8096,0.1752,,1.451,,0.1834
2014,104.5,101.39792,1.40777,0.1279,0.0799,,,,,,50.26382,0.16197,50.10185,4.40376,45.0465,0.05732,0.00012,44.66163,0.32743,0.06827,1.58286,0.77118,,0.79052,,,1.535,0.54026,,0.99474,,
2013,49.8,46.34946,0.81761,0.1088,,,,,,,14.91773,0.95282,13.96491,6.75617,23.51616,,,23.30124,0.19466,0.23299,0.59159,0.05707,,0.53452,,,2.8,1.44792,,1.41821,,
2012,65.0,50.96815,5.98597,0.1085,,,,,,,14.19677,,14.16333,2.33814,26.66695,0.65738,0.46831,25.08898,0.45228,1.66182,11.54405,1.90436,,0.70879,8.9309,,2.48501,0.28627,,1.97876,0.21998,
2011,54.1101,51.2931,4.8534,0.3876,,,,,,,16.2058,,16.2058,6.0971,22.9771,2.0519,,20.6984,0.2045,0.772,0.1798,0.0564,,0.1234,,,2.6373,0.2704,,2.3247,,
2010,44.5,41.67108,6.19732,,,,,,,,3.39283,0.07597,3.31686,16.90439,13.94097,0.17165,,13.01432,0.755,1.20557,2.51209,0.05285,,2.45924,,,0.3308,,0.0699,0.2609,,
2009,22.1,21.79041,7.09936,,,,,,,,2.38445,,2.38445,4.38497,7.48726,,,6.70289,0.7321,0.3786,0.06933,,,,,,0.27842,,0.0727,0.18013,,
2008,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,54.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
