年份,零售业年末从业人数,内资零售业企业年末从业人数,国有零售业企业年末从业人数,集体零售业企业年末从业人数,股份合作零售业企业年末从业人数,联营零售业企业年末从业人数,国有联营零售业企业年末从业人数,集体联营零售业企业年末从业人数,国有与集体联营零售业企业年末从业人数,其他联营零售业企业年末从业人数,有限责任公司零售业企业年末从业人数,国有独资公司零售业企业年末从业人数,其他有限责任公司零售业企业年末从业人数,股份有限公司零售业企业年末从业人数,私营零售业企业年末从业人数,私营独资零售业企业年末从业人数,私营合伙零售业企业年末从业人数,私营有限责任公司零售业企业年末从业人数,私营股份有限公司零售业企业年末从业人数,其他零售业企业年末从业人数,港澳台商投资零售业企业年末从业人数,港澳台商合资经营零售业企业年末从业人数,港澳台商合作经营零售业企业年末从业人数,港澳台商独资经营零售业企业年末从业人数,港澳台商投资股份有限公司零售业企业年末从业人数,其他港澳台商投资零售业企业年末从业人数,外商投资零售业企业年末从业人数,中外合资经营零售业企业年末从业人数,中外合作经营零售业企业年末从业人数,外资零售业企业年末从业人数,外商投资股份有限公司零售业企业年末从业人数,其他外商投资零售业企业年末从业人数
2019,6453554,5545980,52217,32723,9132,1605,216,552,361,476,2097885,79951,2017934,514968,2828691,80721,9596,2625936,112438,8759,471516,84600,4957,366944,8687,6328,436058,126500,7154,254876,27061,20467
2018,6576341,5677521,63163,41378,10119,2293,234,1108,440,511,2237001,81455,2155546,573968,2734993,85296,9222,2519349,121126,14606,468325,89436,4561,360024,8181,6123,430495,134884,7999,250723,19535,17354
2017,6774776,5884853,79540,54650,14075,4308,1514,1159,736,899,2554643,77884,2476759,598487,2545480,94906,12201,2312163,126210,33670,469350,112097,5507,332515,10782,8449,420573,141053,8313,236213,14376,20618
2016,6976786,6083084,101806,87739,14819,5653,1611,2235,909,898,2690024,71717,2618307,657684,2485214,104527,13154,2229076,138457,40145,464997,113033,5610,333000,8616,4738,428705,151481,9244,243911,12556,11513
2015,6828000,5955016,129469,96589,17435,6082,1933,2372,854,923,2598504,63144,2535360,645067,2413752,122376,13226,2144350,133800,48118,425419,104429,6083,306008,6511,2388,447939,170253,11615,251050,11191,3830
2014,6819000,5947799,137669,103515,18331,6452,2216,2385,931,920,2568628,70145,2498483,656735,2405755,116469,14362,2139434,135490,50714,414168,91251,4990,298725,7773,11429,456911,180422,13634,250657,9804,2394
2013,6553000,5724548,155817,113339,19946,7623,2590,2226,1431,1376,2460216,64949,2395267,671552,2237823,120699,15793,1968480,132851,58232,387113,87541,4819,272016,10673,12064,441783,184156,15590,232136,8797,1104
2012,5752000,5007215,295231,121181,40841,12461,4987,2975,2038,2461,2025033,25535,1999498,535215,1820458,197354,29222,1496505,97377,156795,351523,76059,7083,237475,7171,23735,393452,166611,16988,202449,5346,2058
2011,5275718,4613019,307192,127542,39713,11614,5086,2926,1459,2143,1804741,22697,1782044,548056,1645674,183497,34312,1327644,100221,128487,287466,65846,8815,188183,4051,20571,375233,165870,20421,183246,4597,1099
2010,5012874,4408866,332538,166125,43024,13962,5782,2748,2073,3359,1587381,24635,1562746,569348,1642376,212026,42314,1280716,107320,54112,239131,56030,13930,161749,7422,,364877,169039,17134,166276,12428,
2009,4367063,3827945,295878,162066,42369,10185,5222,1765,1377,1821,1378157,22176,1355981,525415,1369153,174626,35594,1069479,89454,44722,205967,60390,19857,120327,5393,,333151,160391,20433,142605,9722,
2008,4220668,3729364,297232,153180,49987,11445,4360,1938,2925,2222,1287036,26278,1260758,547555,1340227,185000,35165,1032486,87576,42702,177334,54999,6462,113170,2703,,313970,154983,28987,117845,12155,
2007,3553372,3177666,311723,156068,56649,18125,5905,5623,2318,4279,1149854,29469,1120385,515101,936342,83653,21747,774592,56350,33804,120815,56333,7489,54505,2488,,254891,151227,32471,67913,3280,
2006,3194418,2908534,312575,150210,44698,17186,7474,4013,2827,2872,1042783,45165,997618,486580,833433,62944,18310,699527,52652,21069,83677,50990,8089,24111,487,,202207,122373,31041,44271,4522,
2005,2950527,2735193,348412,149741,51561,16458,7360,1649,3277,4172,960190,26574,933616,473967,725041,43775,13824,618431,49011,9823,63603,50803,5169,4633,2998,,151731,90007,30477,30280,967,
2004,2831772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2281095,2140069,495369,166921,55778,15201,5492,644,3898,5167,625223,28665,596558,439955,337434,31693,11561,270543,23637,4188,49626,34021,7609,7614,382,,91400,58144,15678,16159,1419,
2002,2246303,2115367,632055,196714,65557,16496,7070,1260,3632,4534,499151,22084,477067,463785,239275,25568,3030,193363,17314,2334,52431,39703,5798,4250,2680,,78505,40921,23708,12682,1194,
2001,2063028,1963366,707606,218322,62627,17028,7173,679,5712,3464,377403,23504,353899,427033,149972,10684,2792,121520,14976,3375,44054,33207,6268,2227,2352,,55608,34956,18496,2148,8,
2000,2166087,2070449,909962,324048,65834,23184,7733,3129,6313,6009,275353,25337,250016,392803,78099,9057,1633,61909,5500,1166,44805,25515,16021,2498,771,,50833,28275,20250,1536,772,
