年份,综合零售商品销售额,百货零售商品销售额,超级市场零售商品销售额,食品、饮料及烟草制品专门零售商品销售额,纺织、服装及日用品专门零售商品销售额,服装零售商品销售额,文化、体育用品及器材专门零售商品销售额,体育用品零售商品销售额,图书零售商品销售额,医药及医疗器材专门零售商品销售额,西药零售商品销售额,汽车、摩托车、燃料及零配件专门零售商品销售额,汽车新车零售商品销售额,机动车燃料零售商品销售额,家用电器及电子产品专门零售商品销售额,日用家电零售商品销售额,计算机、软件及辅助设备零售商品销售额,通信设备零售商品销售额,五金、家具及室内装修材料专门零售商品销售额,无店铺及其他零售商品销售额,邮购及电子销售商品销售额
2019,23592.2235,12294.2464,10161.5362,4196.4219,6676.404,4070.9608,3447.3143,260.9989,1257.0431,4677.458,4088.8936,59860.3612,40713.3019,17078.1314,8687.4166,4221.6971,1299.3512,1352.958,2459.5692,16756.9743,15443.6212
2018,23344.0508,12843.435,9612.2008,4038.4594,6097.1629,3737.5653,3329.3665,282.0201,1223.5889,4837.3676,4325.7354,58739.4575,39565.6785,17393.3312,9748.0986,4000.3293,2483.885,1302.0675,2757.894,12096.0519,10908.4644
2017,24251.917,13025.788,10102.434,4209.15,5823.502,3629.52,3380.314,276.389,1111.845,5648.601,5364.34,57245.04,41218.534,14900.179,10046.829,3991.019,2583.689,1192.555,3335.232,9144.692,7588.121
2016,27392.6128,15060.0056,10957.3002,4213.1621,5670.0434,3537.8502,3386.6572,209.8283,1113.3211,7101.9911,6772.3206,56030.3699,40692.1575,14196.1753,10644.7759,4580.5662,2413.398,1234.103,3989.3929,8183.258,6482.8291
2015,26952.5402,15138.2801,10470.1612,3738.4683,5108.2243,3070.1721,3071.9462,178.758,1034.8852,6036.2141,5731.8525,50624.8597,35688.185,13861.265,9935.0583,3600.2653,2278.7137,1900.294,3486.905,5301.0515,3513.3545
2014,26030.47168,14685.37845,10110.98864,3356.73731,4605.00338,2843.84838,3310.63961,148.58004,1019.51545,5592.25368,5179.88592,51052.49933,34415.61628,15532.46211,8629.54432,3478.44763,2353.28438,905.86227,3119.9658,4944.2736,3006.12636
2013,24421.34205,13784.61278,9502.67519,2694.4314,4061.24435,2620.26135,3035.04344,202.45044,931.51536,4726.39801,4380.63327,45467.9062,30398.00772,14159.10732,7759.18199,3298.01896,1999.98295,858.07161,2826.87696,3494.83363,1607.64329
2012,21645.54384,12195.44544,8511.60138,2405.2982,3378.1246,2229.02696,2078.07177,144.08919,831.49115,3863.80084,3606.51767,38292.54223,24953.17722,12570.47146,6903.06255,3610.18857,1591.37262,728.41455,2067.01057,2807.87495,1122.3
2011,19327.8363,10827.8844,7541.6341,1907.4834,2632.6476,1726.8606,1696.4202,94.1385,740.5838,2847.6972,2675.2993,33963.4962,21770.5528,11473.6401,6010.4764,4147.4687,1206.1884,517.5876,1664.9059,1773.9225,527.6544
2010,16176.0,8646.7,6804.8,1037.1,1966.9,1317.1,1309.0,75.9,604.1,2511.7,2399.0,27460.7,18608.7,8309.5,4641.1,3298.3,845.0,386.1,1255.0,1157.1,320.8
2009,13164.19198,6943.9173,5701.39209,728.32544,1551.90563,981.11058,1109.58087,63.4086,541.65383,1745.40736,1659.32545,19821.68062,13041.58176,6346.98497,3671.18918,2540.71609,694.9546,345.56745,836.38903,702.92139,148.20255
2008,11930.7243,6274.2108,5150.9921,632.6538,1330.2755,835.0055,961.3259,38.9867,467.0137,1464.7924,1394.0593,16822.0131,9786.4827,6695.7334,3562.1276,2402.647,714.0648,369.5677,631.5403,634.1014,85.6887
2007,9980.69613,5093.23744,4502.29771,519.00975,703.02436,430.09234,715.52339,57.95838,393.88765,935.93421,877.75072,10680.99229,6678.99177,3768.0978,2740.67663,1833.08335,540.87517,287.92602,463.65991,381.44587,23.87778
2006,8671.90898,4436.23809,3908.45675,440.21242,493.27284,293.41063,619.88579,32.80305,390.19461,824.38956,755.71381,8433.93762,5011.49102,3217.66441,2307.42681,1536.10881,427.73303,278.21499,332.01082,337.47033,26.95544
2005,6968.99093,3618.68196,3093.4651,342.16811,429.0952,249.23046,562.29934,15.99121,379.5698,764.0902,706.21452,6253.88059,3765.83538,2332.17093,1811.47505,1211.09412,311.10178,234.44823,267.95189,240.59624,10.35978
2004,5771.44552,3049.46563,2503.02748,329.9082,400.72895,239.50676,488.10654,17.02352,344.24671,748.63483,672.81045,5080.39439,3544.26308,1349.27,1630.77174,1050.63261,285.12334,236.42396,267.72546,222.2926,9.02093
2003,4981.7515,3030.99293,1776.67393,264.08526,259.30393,117.19631,384.9529,6.91434,270.58028,443.87452,423.06922,2055.98842,1404.61749,515.75994,1022.87759,769.45559,142.50949,96.38936,175.37883,100.67018,4.72697
2002,,3822.06893,,463.27597,127.78601,,18.72416,,271.53757,396.07794,,879.46002,,,,,151.10511,,,,
2001,,3435.8174,,463.7538,125.2481,,20.2202,,242.0881,294.3693,,436.139,,,,,107.4253,,,,
2000,,2807.5615,,679.8875,120.7002,,18.3057,,234.73,241.7353,,226.1031,,,,,49.9618,,,,
