年份,零售业企业期末商品库存额,内资零售业企业期末商品库存额,国有零售业企业期末商品库存额,集体零售业企业期末商品库存额,股份合作零售业企业期末商品库存额,联营零售业企业期末商品库存额,国有联营零售业企业期末商品库存额,集体联营零售业企业期末商品库存额,国有与集体联营零售业企业期末商品库存额,其他联营零售业企业期末商品库存额,有限责任公司零售业企业期末商品库存额,国有独资公司零售业企业期末商品库存额,其他有限责任公司零售业企业期末商品库存额,股份有限公司零售业企业期末商品库存额,私营零售业企业期末商品库存额,私营独资零售业企业期末商品库存额,私营合伙零售业企业期末商品库存额,私营有限责任公司零售业企业期末商品库存额,私营股份有限公司零售业企业期末商品库存额,其他零售业企业期末商品库存额,港澳台商投资零售业企业期末商品库存额,港澳台商合资经营零售业企业期末商品库存额,港澳台商合作经营零售业企业期末商品库存额,港澳台商独资经营零售业企业期末商品库存额,港澳台商投资股份有限公司零售业企业期末商品库存额,其他港澳台商投资零售业企业期末商品库存额,外商投资零售业企业期末商品库存额,中外合资经营零售业企业期末商品库存额,中外合作经营零售业企业期末商品库存额,外资零售业企业期末商品库存额,外商投资股份有限公司零售业企业期末商品库存额,其他外商投资零售业企业期末商品库存额
2019,11373.9937,9774.1574,76.6008,28.1576,19.0319,1.25,0.2636,0.4035,0.3002,0.283,4049.3137,206.5367,3842.7771,812.5823,4784.1545,56.2162,5.5338,4576.2336,146.1708,3.0673,859.1684,165.1133,4.9808,653.7552,30.0043,5.3153,740.668,227.7679,7.1606,412.7056,60.9288,32.106
2018,10915.1,9580.4,80.2,32.5,8.8,1.4,0.2,0.8,0.2,0.2,4186.5,160.4,4026.1,919.6,4347.1,56.8,5.0,4135.5,149.8,4.5,756.2,170.6,5.1,551.3,22.1,7.0,578.5,172.3,7.0,361.8,22.7,14.7
2017,11788.0,10244.577,106.626,45.068,12.985,1.784,0.26,0.505,0.249,0.77,4233.438,180.285,4053.153,1630.906,4201.167,67.781,7.857,3962.325,163.204,12.604,882.991,235.215,4.484,613.559,23.7,6.033,660.432,251.117,11.268,348.494,21.362,28.191
2016,11092.9,9564.6311,151.423,63.4568,12.0577,4.9708,1.2341,1.5623,0.6989,1.4756,4145.2403,117.8243,4027.4163,1033.0224,4139.5665,90.3745,8.3365,3895.6536,145.2023,14.8945,959.4856,252.6723,3.8277,685.4101,13.9687,3.6075,568.767,170.7488,10.2024,348.0216,19.7152,20.079
2015,11213.2,9884.0923,165.6724,65.9581,12.2065,5.974,1.7491,2.9588,0.5022,0.7643,4154.23,113.5409,4040.6895,880.8863,4568.8684,101.0666,9.5448,4323.6304,134.6271,30.2982,796.589,256.6427,2.5891,518.8856,16.4173,2.0547,532.5356,178.5372,11.6002,310.953,15.6997,15.7455
2014,12042.9,10794.00562,611.94772,71.64086,13.5843,3.85978,0.80161,1.98117,0.70226,0.37474,4595.31338,112.22086,4483.09252,1256.55587,4205.88503,93.05202,11.03485,3911.63918,190.15898,35.21868,723.32511,267.47954,2.4295,425.83137,18.78155,8.80315,525.532,167.17734,13.66653,327.3563,11.82469,5.50714
2013,9161.3,7983.13644,152.72392,72.98032,20.01858,5.63544,0.81576,2.39263,1.0839,1.34315,3498.07199,91.01367,3407.05832,809.86903,3370.31932,85.55129,10.38277,2867.46391,406.92135,53.51784,629.09094,138.84091,3.19095,459.58691,15.52693,11.94524,549.11719,177.20679,25.85987,328.30604,15.54272,2.20177
2012,7735.4,6743.17248,359.50878,82.26148,33.24044,14.47837,5.6818,3.85658,1.94773,2.99226,2803.50219,42.00928,2761.49291,719.26118,2534.32588,165.70485,29.72739,2176.5461,162.34754,196.59416,507.49909,96.78046,16.98862,357.01035,14.85731,21.86235,484.68889,159.50446,16.54855,296.45868,6.52132,5.65588
2011,6650.3388,5783.0612,377.3948,80.1779,54.9613,19.936,11.9383,2.7996,2.6198,2.5784,2415.6357,86.3564,2329.2793,651.3803,2050.6075,150.1758,29.5187,1779.9789,90.9341,132.9677,411.5961,100.6893,15.068,272.1308,8.7323,14.9757,455.6816,179.5121,22.8892,244.7922,6.6443,1.8438
2010,5104.6,4433.3,374.1,113.3,22.5,13.3,6.2,1.5,2.9,2.7,1670.2,31.0,1639.2,566.9,1629.2,138.7,26.3,1373.5,90.7,43.7,274.9,54.5,46.0,166.3,8.1,,396.3,132.9,15.0,240.6,7.9,
