年份,综合零售期末商品库存额,百货零售期末商品库存额,超级市场零售期末商品库存额,食品、饮料及烟草制品专门零售期末商品库存额,纺织、服装及日用品专门零售期末商品库存额,服装零售期末商品库存额,文化、体育用品及器材专门零售期末商品库存额,体育用品零售期末商品库存额,图书零售期末商品库存额,医药及医疗器材专门零售期末商品库存额,西药零售期末商品库存额,汽车、摩托车、燃料及零配件专门零售期末商品库存额,汽车新车零售期末商品库存额,机动车燃料零售期末商品库存额,家用电器及电子产品专门零售期末商品库存额,日用家电零售期末商品库存额,计算机、软件及辅助设备零售期末商品库存额,通信设备零售期末商品库存额,五金、家具及室内装修材料专门零售期末商品库存额,无店铺及其他零售期末商品库存额,邮购及电子销售期末商品库存额
2019,1979.8291,868.0477,1040.5556,359.2298,1232.0934,700.4971,716.5001,40.9534,225.4761,630.1507,557.7557,4862.6877,4258.0833,429.1299,644.3833,328.2646,80.8156,110.8686,187.1991,761.9204,689.8624
2018,1816.8366,824.7962,893.2539,319.5815,979.7332,620.8046,729.3485,53.6844,255.0157,639.3675,579.1419,4972.7063,4427.5482,399.1026,756.991,341.6964,162.0201,100.8387,188.4351,512.0965,447.3518
2017,2886.313,1233.824,1575.482,325.5,979.724,638.906,666.002,44.748,206.829,662.361,637.62,4706.985,4138.799,465.422,916.314,467.627,161.93,122.316,227.655,417.146,329.188
2016,2269.0776,1095.7094,1080.5924,325.8631,886.7417,548.4776,578.2345,30.2575,211.7467,720.4739,691.3267,4495.4365,4016.218,390.7871,839.6158,460.4937,107.0636,107.3052,535.3049,442.137,352.7423
2015,2191.3246,1081.9879,1022.3741,300.3336,932.0828,594.564,575.0686,29.2783,205.3925,636.3067,607.805,5246.793,4804.8209,344.4949,700.5755,340.3196,100.2576,100.6781,322.6982,308.0349,225.0688
2014,2723.21139,1137.04141,1502.1717,320.2314,763.86328,446.5545,583.36881,25.63786,182.64997,1173.5187,1135.26763,5267.73925,4711.69992,446.10339,769.79088,400.78077,110.36709,72.33739,204.84936,236.28966,130.26065
2013,2056.3086,900.5392,1076.13367,259.18001,696.60948,409.75052,557.79832,31.93592,185.19694,495.59418,467.40885,3771.11962,3364.0433,324.55589,913.71993,574.8477,107.33931,84.39582,198.8943,212.12013,108.15135
2012,1963.70938,922.47417,965.93193,225.29716,583.82022,343.99611,531.28032,54.14565,169.95677,383.89616,362.77816,3065.32848,2670.29793,301.13917,626.57483,336.12025,106.50883,81.52089,134.01184,221.44207,112.6
2011,1769.77,836.0265,861.291,205.1597,433.0197,270.4158,474.9757,29.5071,217.2252,314.3876,294.9892,2674.4759,2187.8518,354.8121,548.1198,361.9899,97.3505,66.9749,110.1518,120.2786,37.5284
2010,1486.2,629.1,784.2,124.4,334.0,232.4,295.8,19.1,133.7,292.1,278.4,1838.2,1536.0,247.5,515.8,381.0,74.0,50.0,123.9,94.3,25.6
2009,1211.50318,512.49118,602.14487,100.46781,248.74202,158.23971,300.81472,14.914,144.38438,208.90143,198.2173,1476.5294,1117.70699,285.94093,441.56884,298.04111,70.75495,58.10935,120.88969,66.28829,13.0318
2008,1251.6078,579.198,618.2619,72.3338,275.7995,157.0347,280.2252,7.634,150.9698,188.9164,180.3539,1174.3195,945.5973,181.901,322.0185,215.9152,56.8582,40.4282,76.3214,50.8434,8.5459
2007,884.55528,354.76494,486.05879,50.08139,120.7391,71.57718,209.07206,11.44612,104.27165,122.94073,112.86582,762.68173,616.10116,119.60696,306.97568,184.02415,82.72848,31.53335,61.34882,24.92518,0.48766
2006,773.16672,366.12717,373.05028,48.21928,81.12305,48.66085,140.48526,6.33883,85.48966,112.40156,102.79585,536.65341,431.01286,80.95423,232.41003,159.03723,34.21365,30.13777,52.55539,19.93841,0.75143
2005,729.18147,318.46415,388.46309,37.06917,67.44728,37.44865,127.47994,4.32992,87.18412,134.4593,126.47965,428.20682,288.33241,79.35402,205.07971,152.79367,24.04835,22.25394,40.56507,16.69414,0.48485
2004,,,,,,,,,,,,,,,,,,,,,
2003,493.0915,286.84835,190.12182,53.26976,41.57093,16.06082,101.87973,0.37948,83.62296,71.59857,68.59578,136.72347,103.5262,18.96289,104.71507,78.34959,13.81205,10.32872,22.45128,7.88083,0.1021
2002,,434.85112,,79.54029,22.06587,,4.04347,,64.01997,86.07541,,57.95074,,,,,12.82012,,,,
2001,,393.105,,80.9848,20.4397,,4.3632,,54.85,52.5519,,34.9638,,,,,11.6048,,,,
2000,,334.3981,,125.3908,18.2933,,5.0357,,48.45,41.0579,,23.2446,,,,,4.7298,,,,
