年份,零售业企业商品购进额,内资零售业企业商品购进额,国有零售业企业商品购进额,集体零售业企业商品购进额,股份合作零售业企业商品购进额,联营零售业企业商品购进额,国有联营零售业企业商品购进额,集体联营零售业企业商品购进额,国有与集体联营零售业企业商品购进额,其他联营零售业企业商品购进额,有限责任公司零售业企业商品购进额,国有独资公司零售业企业商品购进额,其他有限责任公司零售业企业商品购进额,股份有限公司零售业企业商品购进额,私营零售业企业商品购进额,私营独资零售业企业商品购进额,私营合伙零售业企业商品购进额,私营有限责任公司零售业企业商品购进额,私营股份有限公司零售业企业商品购进额,其他零售业企业商品购进额,港澳台商投资零售业企业商品购进额,港澳台商合资经营零售业企业商品购进额,港澳台商合作经营零售业企业商品购进额,港澳台商独资经营零售业企业商品购进额,港澳台商投资股份有限公司零售业企业商品购进额,其他港澳台商投资零售业企业商品购进额,外商投资零售业企业商品购进额,中外合资经营零售业企业商品购进额,中外合作经营零售业企业商品购进额,外资零售业企业商品购进额,外商投资股份有限公司零售业企业商品购进额,其他外商投资零售业企业商品购进额
2019,107596.5538,93033.5487,723.5459,404.0454,123.9628,82.6594,8.9095,49.0821,14.4149,10.2532,39477.9295,1851.0319,37626.8976,10337.9836,41818.5464,883.6161,105.6112,39778.0898,1051.229,64.8763,6602.7744,1416.6106,87.5576,4923.1881,87.3896,88.0287,7960.2318,2608.3934,123.4827,3993.7685,821.9225,412.6647
2018,100439.8,88342.2722,772.2869,478.2705,102.6144,86.4226,10.1612,48.5975,16.4272,11.2367,39322.6195,1660.6006,37662.0189,11014.563,36474.899,900.5381,95.9684,34434.3843,1044.0083,90.5962,6022.9207,1340.1376,77.6256,4394.9406,128.2666,81.9503,6074.6308,2384.9009,109.9194,3049.9195,377.1862,152.7049
2017,104122.4,91700.89,959.278,812.233,156.7,77.871,8.811,24.894,23.714,20.453,43057.153,1845.976,41211.178,11433.781,34973.23,1052.457,131.063,32513.878,1275.833,230.643,5880.17,1639.169,69.569,3946.387,138.64,86.405,6541.359,2476.209,107.215,3029.564,148.75,779.62
2016,108890.5,97142.5226,1309.1365,1379.7604,157.9601,102.8103,8.356,39.2985,31.6695,23.4864,45124.703,2007.2685,43117.4348,12706.1023,36061.3564,1269.769,126.8952,32799.1962,1865.4958,300.6942,5435.5352,1495.9093,60.5201,3730.7542,90.6434,57.7088,6312.4412,2572.2179,135.7268,2791.0106,211.4873,601.999
2015,98532.7,88358.414,1795.4759,1402.4943,180.0217,99.9329,18.596,35.5419,24.8361,20.9591,39441.7204,1361.5315,38080.1893,12804.859,32237.4433,1428.3354,140.9841,29330.0142,1338.1101,396.4671,4838.0684,1341.7815,56.6751,3331.667,78.5358,29.409,5336.2398,2461.7607,156.6078,2489.7566,159.4317,68.6835
2014,96511.8,86378.4184,1967.76266,1457.87097,176.33284,103.96557,20.71889,33.98649,30.29617,18.96402,37888.71185,1472.51683,36416.19502,13162.94676,31213.56229,1275.54606,137.62726,28278.22873,1522.16024,407.26546,4357.63977,1159.48687,59.87142,2942.53224,86.52168,109.22756,5775.73821,2472.98333,230.83286,2890.62009,144.30348,36.99845
2013,86014.6,76670.16396,2346.50294,1355.53329,171.81251,107.72881,25.9616,25.14602,34.5103,22.11089,32226.31464,1301.5306,30924.78404,11945.83227,27960.70677,1196.75859,151.32956,25134.19834,1478.42028,555.73273,4118.31536,1075.82782,69.57221,2800.33442,73.19797,99.38294,5226.13484,2457.27501,242.58951,2353.15845,139.39203,33.71984
2012,74028.0,65146.3499,5337.66089,1343.9466,471.38395,219.48732,88.59903,33.73719,56.52881,40.62229,24708.51605,359.33722,24349.17883,9070.16705,22233.51747,2123.6019,353.09914,18540.35364,1216.46279,1761.67057,4140.68505,1033.98052,458.1122,2262.66464,73.76198,312.16571,4740.92645,2282.9568,243.2458,2130.92883,57.58985,26.20517
2011,62083.0938,54231.408,4533.4825,1145.5135,322.4616,215.099,113.2679,29.8204,43.3348,28.6759,20226.6237,268.8996,19957.7241,8460.1628,18012.4076,1801.3783,310.3602,14893.6016,1007.0674,1315.6572,3339.5124,885.3832,321.7801,1861.4959,42.3659,228.4873,4512.1735,2037.4772,235.822,2147.4811,78.5464,12.8468
2010,48890.8,42854.5,3683.3,1039.5,263.6,214.5,119.5,23.4,47.5,24.1,15612.3,266.5,15345.8,6528.0,15113.3,1429.3,260.2,12487.5,936.3,400.0,2523.6,723.5,382.0,1350.2,68.0,,3512.7,1588.0,227.3,1591.5,105.9,
