年份,零售业企业商品销售额,内资零售业企业商品销售额,国有零售业企业商品销售额,集体零售业企业商品销售额,股份合作零售业企业商品销售额,联营零售业企业商品销售额,国有联营零售业企业商品销售额,集体联营零售业企业商品销售额,国有与集体联营零售业企业商品销售额,其他联营零售业企业商品销售额,有限责任公司零售业企业商品销售额,国有独资公司零售业企业商品销售额,其他有限责任公司零售业企业商品销售额,股份有限公司零售业企业商品销售额,私营零售业企业商品销售额,私营独资零售业企业商品销售额,私营合伙零售业企业商品销售额,私营有限责任公司零售业企业商品销售额,私营股份有限公司零售业企业商品销售额,其他零售业企业商品销售额,港澳台商投资零售业企业商品销售额,港澳台商合资经营零售业企业商品销售额,港澳台商合作经营零售业企业商品销售额,港澳台商独资经营零售业企业商品销售额,港澳台商投资股份有限公司零售业企业商品销售额,其他港澳台商投资零售业企业商品销售额,外商投资零售业企业商品销售额,中外合资经营零售业企业商品销售额,中外合作经营零售业企业商品销售额,外资零售业企业商品销售额,外商投资股份有限公司零售业企业商品销售额,其他外商投资零售业企业商品销售额
2019,130354.143,111124.7786,1028.8116,482.0537,238.3934,94.5244,10.7242,54.5267,16.7875,12.4861,46124.0733,2376.2049,43747.8686,14214.8156,48854.977,1047.6422,127.4733,46386.5211,1293.3408,87.1302,8541.5199,1759.737,102.3311,6445.835,115.0494,118.5675,10687.8444,3272.3555,136.7498,5501.7482,1124.6056,652.3859
2018,124987.9,108532.1,1229.7,565.4,125.4,101.2,12.3,53.2,20.0,15.7,47596.2,2126.7,45469.5,15496.8,43299.2,1085.2,114.7,40802.7,1296.6,118.3,7723.9,1669.9,88.2,5712.4,152.5,100.9,8731.9,3437.1,131.4,4354.5,438.6,370.3
2017,123085.3,107396.317,1122.948,895.746,171.797,93.182,12.788,26.988,28.457,24.949,49744.476,2383.924,47360.552,15316.992,39768.788,1181.656,146.009,36928.03,1513.094,282.389,7422.039,2043.609,85.55,5011.322,172.827,108.731,8266.921,3246.821,120.36,3904.165,220.389,775.186
2016,126612.3,111853.6214,1520.5783,1518.0402,173.5184,112.4616,10.4466,40.6331,35.274,26.1078,51367.5041,2414.4894,48953.0145,16409.8563,40389.0686,1414.9604,143.6306,36705.9376,2124.5406,362.5945,6999.6373,1968.8108,81.5339,4762.7814,122.9584,63.553,7759.0028,3117.0258,155.1922,3545.5338,319.7447,621.5064
2015,114255.3,101363.1469,2027.3392,1516.9649,194.6574,112.3295,21.9976,36.5544,29.83,23.9474,44703.6296,1616.4086,43087.2212,16290.7311,36040.2792,1542.1176,166.2167,32786.3112,1545.6347,477.2173,6066.5856,1691.1713,71.3631,4170.4772,99.6594,33.9152,6825.5338,3110.3021,177.2451,3209.0506,231.7137,97.2227
2014,110641.4,98067.92306,2250.59242,1566.55894,191.82278,113.91669,24.35046,35.68714,33.34388,20.53521,42465.78483,1857.43057,40608.35426,16694.88598,34299.45437,1403.07798,154.60887,31028.54888,1713.21864,484.90705,5624.9195,1536.6003,75.2519,3799.27773,106.13465,107.65492,6948.54615,3111.32494,258.39693,3339.53294,192.59868,46.69266
2013,98487.3,86983.12729,2546.12006,1467.17904,182.45065,118.02769,29.06132,26.49932,37.83019,24.63686,35655.99877,1508.7952,34147.20357,16024.92415,30373.79766,1299.79,165.66717,27297.30475,1611.03574,614.62927,5096.00809,1381.7892,78.18007,3423.1721,102.39276,110.47396,6408.12265,3008.95759,275.67257,2917.09305,165.51671,40.88273
2012,83441.3,72755.6792,6063.58678,1444.74328,534.90983,237.77095,97.54078,35.73739,61.87744,42.61534,26909.63166,380.17079,26529.46087,11773.25813,23908.12807,2257.59866,373.45032,19979.74064,1297.33845,1883.6505,4936.44178,1271.4072,451.51236,2834.02525,95.00723,284.48974,5749.20857,2864.36683,273.83601,2508.1451,69.69213,33.1685
2011,71824.8855,62205.1697,5404.0961,1285.3673,394.3342,253.6384,139.5503,33.5333,47.0497,33.505,22674.2421,284.3099,22389.9322,10990.0041,19673.0732,1989.2091,342.5956,16265.0118,1076.2568,1530.4142,4122.5885,1143.4739,397.1229,2293.7973,60.4232,227.7712,5497.1274,2720.1929,293.3977,2392.1251,79.1495,12.2621
2010,57514.6,49984.0,4393.0,1133.9,317.4,238.8,131.4,26.8,52.5,28.1,17810.2,296.2,17514.0,8771.5,16870.5,1589.7,290.0,13950.0,1040.8,448.7,2986.7,847.8,350.5,1702.0,86.4,,4543.8,2281.0,275.7,1859.9,127.3,
