年份,餐饮业企业资产总计,内资餐饮业企业资产总计,国有餐饮业企业资产总计,集体餐饮业企业资产总计,股份合作餐饮业企业资产总计,联营餐饮业企业资产总计,国有联营餐饮业企业资产总计,集体联营餐饮业企业资产总计,国有与集体联营餐饮业企业资产总计,其他联营餐饮业企业资产总计,有限责任公司餐饮业企业资产总计,国有独资公司餐饮业企业资产总计,其他有限责任公司餐饮业企业资产总计,股份有限公司餐饮业企业资产总计,私营餐饮业企业资产总计,私营独资餐饮业企业资产总计,私营合伙餐饮业企业资产总计,私营有限责任公司餐饮业企业资产总计,私营股份有限公司餐饮业企业资产总计,其他餐饮业企业资产总计,港、澳、台商投资餐饮业企业资产总计,港、澳、台商合资经营餐饮业企业资产总计,港、澳、台商合作经营餐饮业企业资产总计,港、澳、台商独资经营餐饮业企业资产总计,港、澳、台商投资股份有限公司餐饮业企业资产总计,其他港澳台商投资餐饮业企业资产总计,外商投资餐饮业企业资产总计,中外合资经营餐饮业企业资产总计,中外合作经营餐饮业企业资产总计,外资餐饮业企业资产总计,外商投资股份有限公司餐饮业企业资产总计,其他外商投资餐饮业企业资产总计,正餐服务业资产总计,快餐服务业资产总计,饮料及冷饮服务业资产总计,餐饮配送及外卖送餐服务资产总计,其他餐饮服务业资产总计
2019,5590.1434,4446.2632,67.065,17.7209,14.9823,2.8568,,2.7542,,,1487.286,116.8895,1370.3965,228.3721,2619.9347,152.5115,23.1183,2353.0465,91.2586,8.0451,666.236,140.4553,9.5257,488.1204,27.7171,0.4176,477.6445,78.8021,1.3384,361.8868,3.9719,31.6453,4385.2841,670.0841,265.3011,110.8089,158.6649
2018,5120.4,4181.7,90.5,16.5,13.8,3.1,,3.1,,,1374.1,71.0,1303.1,234.9,2444.9,146.1,19.4,2203.7,75.8,3.8,581.2,134.6,10.6,424.2,11.7,0.2,357.5,68.4,2.5,261.9,3.4,21.3,4229.9,563.6,177.5,87.0,62.4
2017,5001.9916,4147.404,102.241,19.201,13.078,5.067,,4.009,,1.058,1571.7,73.985,1497.715,243.944,2173.911,150.718,17.346,1922.461,83.386,18.262,498.642,109.088,10.448,370.892,7.653,0.561,355.947,76.548,3.561,243.881,15.631,16.327,4205.623,539.394,133.998,,122.976
2016,5003.3419,4218.26,103.9909,15.734,12.9405,1.4004,,1.4004,,,1604.9931,56.3404,1548.6527,274.3589,2180.0921,185.3288,19.0509,1854.8961,120.8165,24.7509,410.2804,92.7401,10.3296,297.2736,9.2323,0.7048,374.8018,84.3419,3.4807,264.6154,8.251,14.113,4224.8104,534.7279,110.9681,,132.8358
2015,4955.7088,4189.2572,114.319,14.633,13.3357,1.543,,1.543,,,1593.678,70.0532,1523.6251,232.6757,2183.4964,200.083,27.4265,1838.7337,117.2535,35.577,343.7425,69.9946,18.2742,244.8915,8.4978,2.0844,422.7094,99.3183,3.6272,311.2363,8.0907,0.4376,4245.5806,495.9731,90.4969,,123.6583
2014,4847.8,4017.1,111.39036,28.30219,40.47954,1.65862,,1.65862,,,1458.58685,69.8967,1388.69015,250.48506,2090.2,206.46963,23.13478,1759.1,101.5412,36.00758,343.62072,77.53759,19.91195,238.45001,7.5238,0.19737,487.1,105.54794,5.80589,366.51358,6.91478,2.36865,4084.2,549.82593,101.05074,,112.7
2013,4557.77737,3832.30254,123.11048,27.7845,41.27526,1.73228,,1.73228,,,1338.13899,52.12378,1286.01521,250.81633,2010.33175,226.78208,23.61922,1647.79039,112.14006,39.11295,311.37471,72.05078,17.73999,213.35301,8.07539,0.15554,414.10012,106.34258,6.25592,294.47526,6.33281,0.69355,3934.93804,449.47194,53.47921,,119.88818
2012,3967.00436,3291.4501,186.30089,31.98003,53.01,2.53659,0.21054,1.76839,,0.55766,976.8493,21.01411,955.83519,220.92692,1676.98244,290.41295,39.45075,1261.59863,85.52011,142.86393,275.21595,70.09796,17.07392,178.74551,9.15691,0.14165,400.33831,114.00611,6.7389,272.7286,5.99237,0.87233,3424.89967,408.35632,41.81109,,91.93728
2011,3224.2,2622.3,137.3,25.2,43.5,3.0,0.2,1.7,0.3,0.7,785.2,14.6,770.7,166.9,1361.3,250.6,38.0,999.9,72.7,99.8,244.4,66.7,13.8,153.0,10.8,0.1,357.6,117.0,9.6,222.4,7.5,1.2,2768.3,333.6,21.7,,100.6
2010,2744.1,2273.1,120.0,30.9,39.6,1.2,0.2,0.1,0.1,0.8,605.5,9.0,596.6,151.3,1267.7,295.4,45.5,840.6,86.3,56.8,200.6,60.9,12.0,121.0,6.7,,270.4,70.1,13.8,174.7,11.8,,2375.2,258.3,19.9,,90.7
