年份,餐饮业企业所有者权益合计,内资餐饮业企业所有者权益合计,国有餐饮业企业所有者权益合计,集体餐饮业企业所有者权益合计,股份合作餐饮业企业所有者权益合计,联营餐饮业企业所有者权益合计,国有联营餐饮业企业所有者权益合计,集体联营餐饮业企业所有者权益合计,国有与集体联营餐饮业企业所有者权益合计,其他联营餐饮业企业所有者权益合计,有限责任公司餐饮业企业所有者权益合计,国有独资公司餐饮业企业所有者权益合计,其他有限责任公司餐饮业企业所有者权益合计,股份有限公司餐饮业企业所有者权益合计,私营餐饮业企业所有者权益合计,私营独资餐饮业企业所有者权益合计,私营合伙餐饮业企业所有者权益合计,私营有限责任公司餐饮业企业所有者权益合计,私营股份有限公司餐饮业企业所有者权益合计,其他餐饮业企业所有者权益合计,港、澳、台商投资餐饮业企业所有者权益合计,港、澳、台商合资经营餐饮业企业所有者权益合计,港、澳、台商合作经营餐饮业企业所有者权益合计,港、澳、台商独资经营餐饮业企业所有者权益合计,港、澳、台商投资股份有限公司餐饮业企业所有者权益合计,其他港澳台商投资餐饮业企业所有者权益合计,外商投资餐饮业企业所有者权益合计,中外合资经营餐饮业企业所有者权益合计,中外合作经营餐饮业企业所有者权益合计,外资餐饮业企业所有者权益合计,外商投资股份有限公司餐饮业企业所有者权益合计,其他外商投资餐饮业企业所有者权益合计,正餐服务业所有者权益合计,快餐服务业所有者权益合计,饮料及冷饮服务业所有者权益合计,餐饮配送及外卖送餐服务所有者权益合计,其他餐饮服务业所有者权益合计
2019,1636.9166,1144.9585,19.8894,5.6268,4.1331,2.0279,,1.9417,,,323.5345,42.8361,280.6988,120.5491,668.6178,85.2096,10.6089,536.9539,35.8462,0.5796,274.7807,70.3659,0.9152,197.5907,5.7823,0.127,217.1778,38.2216,1.0174,164.6542,1.6404,11.6444,1163.5812,267.1027,94.3798,46.1999,65.6539
2018,1540.6,1132.5,37.8,5.7,3.5,2.5,,2.5,,,309.0,27.2,281.8,110.4,661.6,82.9,10.5,536.4,31.8,1.9,259.5,74.2,-0.3,183.8,2.0,,148.6,33.0,1.6,103.8,2.0,8.1,1144.3,245.3,91.3,36.0,23.8
2017,1491.1096,1165.542,44.288,7.13,3.438,1.882,,1.681,,0.201,357.418,24.785,332.633,104.034,637.249,84.738,10.724,515.149,26.638,10.105,185.687,49.153,-3.443,135.934,3.979,0.065,139.88,32.244,1.388,94.9,5.841,5.508,1161.874,228.683,53.052,,47.501
2016,1459.7218,1186.0166,47.2353,5.721,3.8447,0.1899,,0.1899,,,360.4895,11.3105,349.179,93.8896,661.5368,105.8456,11.6369,496.1262,47.9287,13.1104,148.5978,33.8662,-2.4548,112.7166,4.4236,,125.1078,31.1879,1.4393,83.1981,4.3744,4.9082,1161.1728,186.8712,48.6671,,63.0107
2015,1456.245,1217.3401,53.3086,5.1629,3.8774,0.9966,,0.9966,,,370.1333,17.8798,352.2538,89.2515,678.9809,113.8444,10.7195,515.1641,39.2533,15.6297,117.2684,23.5113,-2.5611,91.464,4.147,0.7073,121.6369,37.9835,1.01,79.0949,3.7633,-0.2146,1218.0095,154.1809,39.8035,,44.2514
2014,1363.7,1115.7,47.02404,6.79961,7.92941,1.14744,,1.14744,,,324.45951,16.88814,307.57137,93.44642,619.8,118.33921,12.66051,457.6,31.25584,15.04672,111.52378,27.54248,-0.62323,81.4527,3.11842,0.03341,136.48577,36.20658,0.46901,95.55143,2.98724,1.27151,1130.8,152.89329,32.24541,,47.72545
2013,1391.68252,1154.24992,46.75116,5.72192,7.66253,1.22891,,1.22891,,,333.31265,13.10017,320.21248,87.90637,653.68289,133.8857,13.59813,470.93944,35.25962,17.98349,103.13194,24.74211,1.3419,73.45428,3.54952,,134.30066,36.34294,1.33336,93.31293,3.00813,0.3033,1187.09819,146.24085,23.92587,,34.41761
2012,1240.54097,999.5314,62.56984,12.37018,13.78445,1.55128,0.13226,1.30661,,0.11241,253.38716,4.20045,249.18671,93.55778,511.41656,139.14677,17.4105,328.24429,26.615,50.89415,99.32926,29.6512,1.61695,64.14722,3.88061,,141.68031,43.78442,2.05673,92.24587,3.17316,0.42013,1042.62594,143.32911,19.74077,,34.84515
2011,1049.0,838.0,49.2,5.5,14.9,1.7,0.1,1.1,0.2,0.2,226.6,4.7,222.0,81.8,421.4,119.4,18.6,259.5,23.8,36.9,78.7,14.9,3.9,55.3,4.6,,132.3,46.3,4.8,77.6,3.3,0.4,862.2,128.1,12.9,,45.7
2010,943.6,789.9,47.7,12.3,16.9,0.4,0.2,,,0.2,189.9,0.4,189.5,78.1,419.1,148.1,22.0,221.5,27.5,25.7,57.2,10.5,4.6,41.1,1.1,,96.5,29.3,4.4,59.8,3.0,,796.7,95.4,10.1,,41.3
