年份,餐饮业企业负债合计,内资餐饮业企业负债合计,国有餐饮业企业负债合计,集体餐饮业企业负债合计,股份合作餐饮业企业负债合计,联营餐饮业企业负债合计,国有联营餐饮业企业负债合计,集体联营餐饮业企业负债合计,国有与集体联营餐饮业企业负债合计,其他联营餐饮业企业负债合计,有限责任公司餐饮业企业负债合计,国有独资公司餐饮业企业负债合计,其他有限责任公司餐饮业企业负债合计,股份有限公司餐饮业企业负债合计,私营餐饮业企业负债合计,私营独资餐饮业企业负债合计,私营合伙餐饮业企业负债合计,私营有限责任公司餐饮业企业负债合计,私营股份有限公司餐饮业企业负债合计,其他餐饮业企业负债合计,港、澳、台商投资餐饮业企业负债合计,港、澳、台商合资经营餐饮业企业负债合计,港、澳、台商合作经营餐饮业企业负债合计,港、澳、台商独资经营餐饮业企业负债合计,港、澳、台商投资股份有限公司餐饮业企业负债合计,其他港澳台商投资餐饮业企业负债合计,外商投资餐饮业企业负债合计,中外合资经营餐饮业企业负债合计,中外合作经营餐饮业企业负债合计,外资餐饮业企业负债合计,外商投资股份有限公司餐饮业企业负债合计,其他外商投资餐饮业企业负债合计,正餐服务业负债合计,快餐服务业负债合计,饮料及冷饮服务业负债合计,餐饮配送及外卖送餐服务负债合计,其他餐饮服务业负债合计
2019,3932.4444,3280.5286,46.8294,12.0979,10.8491,0.8288,,0.8124,,,1158.5276,73.8494,1084.6779,104.7266,1939.2045,64.871,11.8587,1806.5939,55.8813,7.4655,391.4222,70.0653,8.6104,290.5212,21.9348,0.2908,260.4937,40.5805,0.3211,197.2326,2.3316,20.028,3201.824,402.2707,170.9834,64.565,92.8016
2018,3580.8,3049.2,53.6,10.7,10.3,0.6,,0.6,,,1065.1,43.8,1021.3,123.9,1783.0,63.2,8.9,1667.1,43.9,2.0,322.7,60.4,10.9,241.5,9.7,0.2,208.9,35.3,0.8,158.1,1.4,13.2,3086.6,318.2,86.3,51.0,38.6
2017,3511.761,2982.741,57.953,12.071,9.64,3.186,,2.328,,0.858,1214.309,49.2,1165.109,139.911,1537.514,65.98,6.623,1408.168,56.744,8.158,312.954,59.935,13.891,234.958,3.674,0.496,216.066,44.304,2.173,148.981,9.79,10.819,3044.629,310.711,80.946,,75.476
2016,3543.8688,3032.492,56.7555,10.0134,9.0959,1.2106,,1.2106,,,1244.5461,45.0299,1199.5164,180.4691,1518.7618,79.4838,7.4142,1358.9764,72.8885,11.6407,261.6824,58.8738,12.7845,184.5572,4.8087,0.6588,249.6944,53.1541,2.0414,181.4172,3.8766,9.205,3063.8862,347.8566,62.3012,,69.8251
2015,3499.3618,2971.8148,61.0106,9.4697,9.4585,0.5464,,0.5464,,,1223.652,52.1735,1171.4783,143.4242,1504.3064,86.2389,16.703,1323.3644,78.0009,19.9476,226.4742,46.4835,20.8353,153.4278,4.351,1.377,301.0728,61.3347,2.6173,232.1417,4.3277,0.6522,3027.4691,341.7924,50.6934,,79.4072
2014,3484.1,2901.40756,64.36634,21.50258,32.55013,0.51118,,0.51118,,,1134.1316,53.00856,1081.12304,157.03864,1470.34623,88.13042,10.47427,1301.4,70.28536,20.96086,232.1152,49.99511,20.53518,157.01557,4.40538,0.16396,350.6,69.34136,5.33688,270.96215,3.92754,1.09714,2953.3,396.93265,68.80533,,65.0
2013,3166.08432,2678.05804,76.35932,22.06258,33.61273,0.50337,,0.50337,,,1004.83262,39.02361,965.80901,162.90996,1356.648,92.89638,10.02109,1176.85009,76.88044,21.12946,208.24277,47.30867,16.39809,139.89873,4.52587,0.11141,279.78351,69.98369,4.92256,201.16233,3.32468,0.39025,2747.82932,303.23109,29.55334,,85.47057
2012,2726.53101,2291.98632,123.73105,19.60985,39.22555,0.98531,0.07828,0.46178,,0.44525,723.46214,16.81366,706.64848,127.36914,1165.6335,151.26618,22.04025,933.42196,58.90511,91.96978,175.88669,40.44676,15.45697,114.59829,5.2763,0.10837,258.658,70.22169,4.68217,180.48273,2.81921,0.4522,2382.34135,265.02721,22.07032,,57.09213
2011,2175.2,1784.2,88.1,19.7,28.7,1.3,0.1,0.6,0.1,0.5,558.6,9.9,548.7,85.1,939.9,131.2,19.4,740.4,48.9,62.9,165.7,51.8,10.0,97.7,6.2,,225.3,70.7,4.8,144.8,4.2,0.9,1906.1,205.5,8.7,,54.9
2010,1800.4,1483.2,72.3,18.6,22.8,0.8,0.1,0.1,0.1,0.6,415.6,8.5,407.1,73.2,848.6,147.3,23.5,619.1,58.8,31.2,143.3,50.5,7.4,79.9,5.6,,173.9,40.8,9.4,114.9,8.8,,1578.4,162.9,9.7,,49.4
2009,1431.0,1169.8,62.7,19.0,19.5,0.9,,0.1,,0.8,313.1,0.9,312.3,55.3,679.1,114.8,18.1,512.2,34.0,20.1,104.2,31.9,5.9,62.1,4.2,,157.1,34.5,14.7,102.0,5.8,,1244.0,143.6,7.7,,35.7
2008,1359.4,1085.2,62.8,16.6,21.5,5.1,4.3,0.1,,0.7,260.4,1.5,258.8,58.3,640.5,122.3,17.9,465.6,34.8,20.1,98.5,33.2,5.6,54.9,4.9,,175.6,36.4,12.2,120.9,6.1,,1171.0,146.6,7.0,,34.7
2007,1041.5,821.9,59.8,18.1,13.7,5.2,3.8,0.6,,0.8,219.2,2.0,217.1,39.2,457.2,68.2,14.5,346.0,28.5,9.4,86.5,42.4,4.3,39.3,0.6,,133.1,39.0,15.3,77.7,1.1,,921.3,96.6,5.3,,18.3
2006,893.2175,701.8851,57.0487,26.2518,17.3607,3.4985,1.8065,0.8808,,0.7645,167.8225,1.7602,166.0624,35.0031,383.5374,57.5619,10.6113,292.5515,22.8126,11.3625,75.0377,34.4053,5.2949,35.1555,0.1821,,116.2947,47.7566,15.0621,52.8589,0.6171,,787.0961,85.1106,4.7609,,16.2499
2005,735.6,570.9,61.9,26.2,13.2,2.7,1.7,0.1,,0.8,133.4,0.9,132.5,33.2,295.5,37.9,8.9,233.4,15.3,4.7,73.3,35.8,16.0,21.3,0.1,,91.5,36.3,17.0,36.4,1.8,,643.5,70.1,3.7,,18.3
2004,756.7,571.42907,68.25389,27.76428,14.43334,3.43352,1.62045,0.22999,0.43897,1.14411,144.69384,0.651,144.04284,30.86347,278.75246,37.85012,7.56588,216.5254,16.81106,3.23427,89.48763,50.63617,19.6683,19.04961,0.13355,0.0,95.76019,37.45855,22.40956,34.88824,1.00384,,668.57211,69.65161,2.93006,,15.52311
2003,745.0,523.3,119.3,39.5,14.0,4.2,1.9,1.8,0.5,0.4,137.9,1.4,136.5,32.4,176.0,26.9,8.7,132.5,7.9,0.9,116.4,64.2,30.8,19.2,2.3,,105.2,61.0,17.1,26.8,0.4,,683.6,52.2,1.2,,8.0
2002,584.3604,397.1921,117.4785,42.7386,16.5583,4.4164,2.2746,0.7156,1.015,0.4112,83.3064,2.2941,81.0123,21.471,108.4912,16.0866,5.4922,79.7603,7.1521,2.1317,92.6442,53.9631,15.893,20.0961,2.6921,,94.5242,57.0658,10.9113,26.3839,0.1632,,514.7923,56.0969,,,13.4712
