年份,餐饮业企业流动资产合计,内资餐饮业企业流动资产合计,国有餐饮业企业流动资产合计,集体餐饮业企业流动资产合计,股份合作餐饮业企业流动资产合计,联营餐饮业企业流动资产合计,国有联营餐饮业企业流动资产合计,集体联营餐饮业企业流动资产合计,国有与集体联营餐饮业企业流动资产合计,其他联营餐饮业企业流动资产合计,有限责任公司餐饮业企业流动资产合计,国有独资公司餐饮业企业流动资产合计,其他有限责任公司餐饮业企业流动资产合计,股份有限公司餐饮业企业流动资产合计,私营餐饮业企业流动资产合计,私营独资餐饮业企业流动资产合计,私营合伙餐饮业企业流动资产合计,私营有限责任公司餐饮业企业流动资产合计,私营股份有限公司餐饮业企业流动资产合计,其他餐饮业企业流动资产合计,港、澳、台商投资餐饮业企业流动资产合计,港、澳、台商合资经营餐饮业企业流动资产合计,港、澳、台商合作经营餐饮业企业流动资产合计,港、澳、台商独资经营餐饮业企业流动资产合计,港、澳、台商投资股份有限公司餐饮业企业流动资产合计,其他港澳台商投资餐饮业企业流动资产合计,外商投资餐饮业企业流动资产合计,中外合资经营餐饮业企业流动资产合计,中外合作经营餐饮业企业流动资产合计,外资餐饮业企业流动资产合计,外商投资股份有限公司餐饮业企业流动资产合计,其他外商投资餐饮业企业流动资产合计,正餐服务业流动资产合计,快餐服务业流动资产合计,饮料及冷饮服务业流动资产合计,餐饮配送及外卖送餐服务流动资产合计,其他餐饮服务业流动资产合计
2019,2694.6666,2190.4278,24.6501,10.808,9.3751,1.6744,,1.6089,,,688.632,36.9542,651.6775,114.9848,1339.0297,57.3716,10.5618,1234.3242,36.772,1.2739,306.277,39.2363,7.6011,248.3615,10.8442,0.2344,197.9617,20.1175,0.779,160.4361,2.5276,14.1016,2074.3626,253.7538,188.9954,86.1794,91.3753
2018,2409.2,1983.1,27.4,8.8,9.2,1.8,,1.8,,,626.8,20.6,606.2,117.8,1189.3,55.3,8.6,1092.8,32.5,2.0,290.3,44.8,7.4,229.0,9.0,0.1,135.7,21.5,1.4,102.4,2.1,8.3,1956.9,225.0,114.0,69.7,43.7
2017,2265.4447,1886.675,26.222,9.336,8.879,2.191,,1.756,,0.434,695.916,25.31,670.607,112.766,1023.556,56.637,7.477,922.57,36.871,7.811,246.388,45.118,5.57,189.585,5.618,0.498,132.381,26.985,2.811,88.765,6.785,7.036,1885.683,218.052,78.146,,83.563
2016,2187.6562,1858.5679,30.3166,7.9771,7.737,0.4939,,0.4939,,,701.2943,24.2832,677.0111,139.2731,961.6704,65.7558,7.4716,829.928,58.5155,9.8066,205.6493,38.2691,4.8095,155.344,6.5995,0.6275,123.4397,29.0379,2.7155,84.6992,1.3588,5.6282,1822.5908,223.8699,57.5163,,83.6793
2015,2132.8021,1816.6216,33.197,7.6738,8.2649,0.5417,,0.5417,,,697.5988,24.7089,672.89,110.5186,944.7046,70.6395,9.0079,802.496,62.5616,14.1236,178.915,32.106,10.4621,128.2346,6.5935,1.5189,137.2658,28.0237,2.6902,105.0008,1.2959,0.2551,1816.1779,189.1369,45.1421,,82.346
2014,2080.7,1783.1,30.85595,17.98747,24.73371,0.53439,,0.53439,,,650.07885,30.22023,619.85862,107.19712,937.83162,77.84934,8.75922,803.76267,47.46039,13.99117,162.5489,36.71431,11.45783,108.00001,6.23057,0.14618,135.10706,27.2,2.73075,102.79042,1.60344,0.71605,1769.1,199.95077,46.54661,,65.14741
2013,1967.27059,1694.47215,36.40927,18.23348,25.28487,0.59284,,0.59284,,,583.35028,23.3497,560.00058,113.39185,903.43056,75.65804,9.63344,768.25057,49.88851,13.779,150.84231,36.03773,8.91304,99.14799,6.62608,0.11747,121.95613,27.49803,3.09932,89.32638,1.57592,0.45648,1713.43263,161.65442,26.46323,,65.72031
2012,1739.20059,1477.13783,70.83358,10.35305,24.16708,0.85334,,0.52062,,0.29847,429.18858,7.56912,421.61946,94.45582,783.053,109.74382,18.81105,615.82868,38.66945,64.23338,131.93338,34.73438,8.16109,81.42013,7.49864,0.11914,130.12938,31.7797,3.10195,93.19386,1.57664,0.47723,1524.59027,143.31094,22.55662,,48.74276
2011,1386.5,1147.5,40.4,10.6,17.8,1.0,,0.4,0.2,0.4,348.5,4.9,343.6,63.7,627.0,97.4,15.5,480.9,33.1,38.5,115.8,30.0,6.8,71.5,7.5,,123.2,38.1,3.5,78.1,3.0,0.5,1193.9,124.8,12.6,,55.1
2010,1150.8,954.9,33.8,10.2,14.3,0.6,,0.1,,0.5,249.0,5.8,243.2,59.1,568.4,102.0,18.3,410.6,37.5,19.5,94.8,28.3,5.1,57.6,3.7,,101.1,26.2,7.2,60.9,6.8,,1005.4,92.9,9.3,,43.3
2009,899.7,748.0,29.2,10.7,12.1,0.6,,0.1,,0.5,181.9,0.8,181.1,47.3,452.6,81.1,13.2,334.0,24.3,13.7,73.4,21.1,4.2,44.2,3.9,,78.2,19.3,5.2,49.7,4.0,,788.4,74.1,8.1,,29.1
2008,844.9,693.6,35.7,11.2,11.7,3.8,3.2,0.1,,0.5,156.2,0.9,155.3,36.9,423.8,90.2,13.1,299.6,20.9,14.3,65.3,20.3,4.1,37.4,3.5,,86.1,19.4,5.4,58.1,3.2,,746.2,65.3,5.2,,28.2
2007,621.6,497.9,28.9,9.7,8.5,1.4,0.5,0.2,,0.7,124.5,0.5,124.0,25.6,292.4,48.6,8.0,220.8,15.0,6.9,53.2,20.6,5.1,27.1,0.4,,70.4,20.9,10.9,37.6,1.0,,555.3,43.5,5.6,,17.2
2006,510.3113,406.8739,25.8778,10.2465,8.5661,1.1421,0.3645,0.5693,0.0531,0.1552,89.7518,0.8181,88.9337,20.2537,245.6635,38.2603,7.5099,188.507,11.3864,5.3726,44.274,16.6726,5.8002,21.7504,0.0507,,59.1635,22.8793,8.2922,27.6757,0.3163,,452.6787,36.5273,7.0677,,14.0377
2005,405.3,329.6,25.7,10.2,7.2,0.6,0.3,0.1,,0.2,72.9,0.7,72.2,20.1,189.3,28.0,6.9,145.3,9.2,3.5,34.2,14.7,8.4,10.3,0.8,,41.6,15.0,10.1,15.8,0.7,,359.6,27.7,5.5,,12.5
2004,389.4,310.54778,33.50049,11.82371,7.41072,1.08764,0.35354,0.18375,0.19035,0.36,77.29051,0.88612,76.40439,15.15981,162.91644,22.09421,5.04738,127.24546,8.52939,1.35846,35.57579,17.5442,8.84304,9.16386,0.02469,0.0,43.24764,15.72003,13.06783,14.31336,0.14642,,346.67314,28.89069,1.98201,,11.82537
2003,306.0,234.4,43.0,17.0,7.5,1.6,0.8,0.2,0.6,0.3,52.5,0.5,52.0,13.8,99.3,16.6,5.8,72.3,4.6,0.6,37.0,17.6,9.5,9.5,0.3,,34.6,14.8,10.4,9.1,0.3,,278.4,22.9,0.5,,4.1
2002,243.0784,176.6411,40.8895,16.2521,7.1235,2.3317,0.63,0.2516,1.043,0.407,33.9744,0.8703,33.1041,10.906,64.5492,11.4928,2.6322,45.9045,4.5197,0.6148,37.317,20.1809,7.1871,9.4306,0.5186,,29.1203,16.1352,5.2814,7.1177,0.586,,213.483,23.6404,,,5.955
2001,208.9076,142.4174,42.3893,15.6746,5.1107,1.8693,0.428,0.1419,0.9324,0.3671,31.6903,2.0182,29.6721,10.4059,35.2043,6.6339,0.903,25.0718,2.5957,0.0731,37.715,20.6611,9.0288,7.813,0.2121,,28.7752,15.8053,5.1503,7.6504,0.1693,,182.1949,24.2868,24.2868,,2.4
2000,180.7671,119.6632,47.3674,16.7101,5.3791,2.5197,0.6515,0.1362,1.217,0.5151,18.5743,1.9376,16.6367,10.1007,19.0067,5.8264,0.8813,11.1221,1.1768,0.0052,32.5904,20.0982,6.6987,4.618,1.1756,,28.5134,15.5111,5.8661,7.0939,0.0423,,159.2056,18.5117,,,3.0498
