年份,人民法院审理权属、侵权纠纷及其他民事一审案件结案中驳回件数,人民法院审理所有权及其相关权利一审案件结案中驳回件数,人民法院审理特别程序一审案件结案中驳回件数,人民法院审理人身权纠纷一审案件结案中驳回件数,人民法院审理人身损害赔偿一审案件结案中驳回件数,人民法院审理特殊侵权纠纷一审案件结案中驳回件数,人民法院审理不当得利一审案件结案中驳回件数,人民法院审理票据、证券、股票纠纷一审案件结案中驳回件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中驳回件数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,62371.0,22879.0,18348.0,9101.0,8381.0,3465.0,2737.0,1580.0,4261.0
2015,47541.0,18787.0,14676.0,5766.0,5162.0,2391.0,1542.0,158.0,4221.0
2014,29888.0,9814.0,11842.0,3335.0,3002.0,1712.0,884.0,957.0,1344.0
2013,24877.0,6806.0,11890.0,2754.0,2414.0,1186.0,523.0,607.0,1111.0
2012,17994.0,6283.0,6183.0,2434.0,2183.0,888.0,524.0,559.0,1123.0
2011,17993.0,6979.0,5265.0,2914.0,2597.0,807.0,480.0,555.0,993.0
2010,18739.0,7810.0,4549.0,3438.0,3131.0,886.0,484.0,98.0,1474.0
2009,18894.0,7517.0,5102.0,3565.0,3187.0,693.0,369.0,170.0,1478.0
2008,16452.0,7449.0,2700.0,3313.0,3006.0,673.0,343.0,223.0,1751.0
2007,14995.0,2153.0,3417.0,2947.0,2780.0,481.0,395.0,18.0,5584.0
2006,14869.0,,,,,,,,
2005,14912.0,,,,,,,,
2004,16332.0,,,,,,,,
2003,16442.0,,,,,,,,
2002,14908.0,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
