年份,人民法院审理权属、侵权纠纷及其他民事一审案件结案中其他案件数,人民法院审理所有权及其相关权利一审案件结案中其他案件数,人民法院审理特别程序一审案件结案中其他案件数,人民法院审理人身权纠纷一审案件结案中其他案件数,人民法院审理人身损害赔偿一审案件结案中其他案件数,人民法院审理特殊侵权纠纷一审案件结案中其他案件数,人民法院审理不当得利一审案件结案中其他案件数,人民法院审理票据、证券、股票纠纷一审案件结案中其他案件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中其他案件数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,318173.0,6887.0,285272.0,10779.0,10164.0,3304.0,1736.0,2780.0,7415.0
2015,343825.0,7184.0,310992.0,13373.0,12692.0,3683.0,1055.0,791.0,6747.0
2014,303541.0,5590.0,277128.0,11818.0,11277.0,2979.0,686.0,1490.0,3850.0
2013,301166.0,4977.0,279571.0,9646.0,9175.0,2228.0,558.0,1202.0,2984.0
2012,180425.0,4401.0,162913.0,7552.0,7084.0,1521.0,569.0,1059.0,2410.0
2011,129551.0,4206.0,112810.0,7827.0,7411.0,829.0,403.0,1060.0,2416.0
2010,101741.0,4786.0,86782.0,5718.0,5264.0,773.0,902.0,110.0,2670.0
2009,113759.0,5242.0,98701.0,6013.0,5581.0,571.0,481.0,114.0,2637.0
2008,126342.0,5186.0,111784.0,5554.0,5240.0,421.0,437.0,212.0,2748.0
2007,122256.0,1539.0,109426.0,5184.0,5006.0,329.0,381.0,4.0,5393.0
2006,123214.0,,,,,,,,
2005,149548.0,,,,,,,,
2004,157839.0,,,,,,,,
2003,174929.0,,,,,,,,
2002,153808.0,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
