年份,人民法院审理权属、侵权纠纷及其他民事一审案件收案数,人民法院审理所有权及其相关权利一审案件收案数,人民法院审理特别程序一审案件收案数,人民法院审理人身权纠纷一审案件收案数,人民法院审理人身损害赔偿一审案件收案数,人民法院审理特殊侵权纠纷一审案件收案数,人民法院审理不当得利一审案件收案数,人民法院审理票据、证券、股票纠纷一审案件收案数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件收案数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,2308797.0,352864.0,386736.0,1151970.0,1112696.0,147735.0,47670.0,40917.0,180905.0
2015,2325492.0,335496.0,397613.0,1135639.0,1097269.0,218423.0,39767.0,10016.0,188538.0
2014,2082831.0,267184.0,381916.0,1015701.0,980968.0,218331.0,30254.0,32334.0,137111.0
2013,2009082.0,262050.0,392691.0,987571.0,953888.0,191068.0,26854.0,24997.0,123851.0
2012,1853632.0,269398.0,221473.0,1009651.0,971043.0,146323.0,24079.0,27350.0,155358.0
2011,1686711.0,318055.0,171426.0,950984.0,914240.0,81850.0,22670.0,26484.0,115242.0
2010,1444887.0,333832.0,123327.0,811839.0,782007.0,45491.0,21050.0,2716.0,106632.0
2009,1268736.0,307532.0,134864.0,667828.0,639746.0,39792.0,20366.0,3797.0,94557.0
2008,1158713.0,304775.0,147722.0,583169.0,564391.0,31743.0,14490.0,4967.0,71847.0
2007,1039893.0,80416.0,151546.0,503189.0,494314.0,23688.0,10506.0,412.0,270136.0
2006,985147.0,,,,,,,,
2005,981400.0,,,,,,,,
2004,923516.0,,,,,,,,
2003,879723.0,,,,,,,,
2002,869013.0,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
