年份,人民法院审理权属、侵权纠纷及其他民事一审案件结案中调解件数,人民法院审理所有权及其相关权利一审案件结案中调解件数,人民法院审理特别程序一审案件结案中调解件数,人民法院审理人身权纠纷一审案件结案中调解件数,人民法院审理人身损害赔偿一审案件结案中调解件数,人民法院审理特殊侵权纠纷一审案件结案中调解件数,人民法院审理不当得利一审案件结案中调解件数,人民法院审理票据、证券、股票纠纷一审案件结案中调解件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中调解件数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,587848.0,71938.0,3977.0,438740.0,429543.0,39170.0,7931.0,5294.0,20798.0
2015,627618.0,62643.0,3195.0,460256.0,450155.0,59772.0,6608.0,1462.0,33682.0
2014,653108.0,64684.0,5688.0,464201.0,453003.0,69191.0,6555.0,8828.0,33961.0
2013,692219.0,79460.0,13604.0,488101.0,475739.0,65442.0,6410.0,5217.0,33985.0
2012,774943.0,97604.0,7386.0,548980.0,530732.0,54860.0,5891.0,9885.0,50337.0
2011,697940.0,110502.0,14463.0,478925.0,463115.0,31277.0,6099.0,10085.0,46589.0
2010,563922.0,116804.0,1148.0,379203.0,368516.0,17292.0,4908.0,775.0,43792.0
2009,428968.0,91818.0,1425.0,280028.0,270715.0,13090.0,4487.0,1024.0,37096.0
2008,349525.0,82089.0,1710.0,233646.0,228515.0,10081.0,3034.0,923.0,18042.0
2007,287842.0,19103.0,5836.0,186616.0,184655.0,6600.0,1912.0,55.0,67720.0
2006,257754.0,,,,,,,,
2005,239915.0,,,,,,,,
2004,202748.0,,,,,,,,
2003,167964.0,,,,,,,,
2002,163743.0,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
