年份,人民法院审理权属、侵权纠纷及其他民事一审案件结案中撤诉件数,人民法院审理所有权及其相关权利一审案件结案中撤诉件数,人民法院审理特别程序一审案件结案中撤诉件数,人民法院审理人身权纠纷一审案件结案中撤诉件数,人民法院审理人身损害赔偿一审案件结案中撤诉件数,人民法院审理特殊侵权纠纷一审案件结案中撤诉件数,人民法院审理不当得利一审案件结案中撤诉件数,人民法院审理票据、证券、股票纠纷一审案件结案中撤诉件数,人民法院审理其他权属、侵权纠纷及其他民事案件一审案件结案中撤诉件数
2019,,,,,,,,,
2018,,,,,,,,,
2017,,,,,,,,,
2016,413649.0,99843.0,18858.0,151063.0,140317.0,37559.0,14232.0,10588.0,81506.0
2015,351731.0,90828.0,18889.0,127006.0,118868.0,36971.0,11664.0,1600.0,64773.0
2014,319534.0,75423.0,24007.0,120133.0,112996.0,32279.0,8973.0,6462.0,52257.0
2013,330857.0,75900.0,27893.0,132448.0,125535.0,30108.0,8437.0,5785.0,50286.0
2012,344043.0,82597.0,13745.0,144248.0,136266.0,28577.0,8977.0,6764.0,59135.0
2011,307516.0,92121.0,10745.0,133496.0,125799.0,18063.0,7778.0,5260.0,40053.0
2010,269040.0,95793.0,11540.0,110635.0,103733.0,10567.0,7491.0,658.0,32356.0
2009,244007.0,91135.0,10564.0,97579.0,90966.0,9331.0,7305.0,940.0,27153.0
2008,214197.0,87512.0,7544.0,85576.0,81383.0,7633.0,3955.0,776.0,21201.0
2007,183516.0,22099.0,5987.0,74362.0,71854.0,6236.0,2980.0,81.0,71771.0
2006,171141.0,,,,,,,,
2005,164122.0,,,,,,,,
2004,149926.0,,,,,,,,
2003,137630.0,,,,,,,,
2002,127124.0,,,,,,,,
2001,,,,,,,,,
2000,,,,,,,,,
