年份,私营工业企业港澳台资本金,煤炭开采和洗选业私营工业企业港澳台资本金,石油和天然气开采业私营工业企业港澳台资本金,黑色金属矿采选业私营工业企业港澳台资本金,有色金属矿采选业私营工业企业港澳台资本金,非金属矿采选业私营工业企业港澳台资本金,其他采矿业私营工业企业港澳台资本金,农副食品加工业私营工业企业港澳台资本金,食品制造业私营工业企业港澳台资本金,饮料制造业私营工业企业港澳台资本金,烟草制品业私营工业企业港澳台资本金,纺织业私营工业企业港澳台资本金,纺织服装、鞋、帽制造业私营工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业港澳台资本金,家具制造业私营工业企业港澳台资本金,造纸及纸制品业私营工业企业港澳台资本金,印刷业和记录媒介的复制私营工业企业港澳台资本金,文教体育用品制造业私营工业企业港澳台资本金,石油加工、炼焦及核燃料加工业私营工业企业港澳台资本金,化学原料及化学制品制造业私营工业企业港澳台资本金,医药制造业私营工业企业港澳台资本金,化学纤维制造业私营工业企业港澳台资本金,橡胶制品业私营工业企业港澳台资本金,塑料制品业私营工业企业港澳台资本金,非金属矿物制品业私营工业企业港澳台资本金,黑色金属冶炼及压延加工业私营工业企业港澳台资本金,有色金属冶炼及压延加工业私营工业企业港澳台资本金,金属制品业私营工业企业港澳台资本金,通用设备制造业私营工业企业港澳台资本金,专用设备制造业私营工业企业港澳台资本金,交通运输设备制造业私营工业企业港澳台资本金,电气机械及器材制造业私营工业企业港澳台资本金,通信设备、计算机及其他电子设备制造私营工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业私营工业企业港澳台资本金,工艺品及其他制造业私营工业企业港澳台资本金,废弃资源和废旧材料回收加工业私营工业企业港澳台资本金,电力、热力的生产和供应业私营工业企业港澳台资本金,燃气生产和供应业私营工业企业港澳台资本金,水的生产和供应业私营工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,94.3832,0.46543,,0.2236,,0.61018,0.00988,3.42633,2.05769,0.80058,,10.80697,4.60128,4.36288,1.35354,2.96395,0.44257,1.47406,0.09913,0.22733,3.72482,1.69787,5.93359,1.11007,2.6296,7.36811,1.70839,2.29754,2.9184,4.4302,2.16742,6.02111,9.0663,5.94171,0.91807,1.16154,0.39798,0.1495,0.09182,0.72376
2010,126.01172,1.84207,,0.59403,1.31,0.9359,,1.79697,3.03745,0.40906,,17.74313,4.37741,1.90857,0.52657,4.43003,14.38899,0.70826,1.30004,0.32863,3.66508,1.60826,1.22523,1.80386,3.52748,5.0812,5.29371,6.0546,9.39352,4.45496,4.38549,6.65476,6.12574,5.82783,0.87241,2.28814,0.41178,0.87214,0.18892,0.6395
2009,115.03346,0.2648,0.4004,0.50759,,0.3689,,1.95269,3.01281,1.46158,,11.6573,6.269,2.6725,0.82177,1.55257,14.1944,1.99747,1.12444,0.16,6.09619,2.62965,1.53878,0.60662,2.62456,7.02615,0.27355,6.38918,8.53976,5.3731,5.1863,3.36632,8.61031,4.3373,0.81234,2.02339,0.40026,0.32618,0.2053,0.25
2008,67.24499,0.4,,0.07173,0.38195,0.06119,,2.96775,1.77781,0.4645,,11.63899,3.73072,1.24574,0.5944,0.79492,2.14988,0.67103,0.53018,0.8,4.5897,3.64475,0.76725,0.16299,1.97938,3.66925,2.6032,0.7901,1.13784,4.20031,0.64408,1.37345,8.23491,1.33255,0.43071,2.22875,0.01728,0.8,,0.3577
2007,47.66026,0.11847,,1.05615,0.04,0.10174,,3.62781,5.54558,1.17281,,6.55671,1.63232,0.51618,0.26589,0.2008,1.06616,0.42965,0.12043,0.05295,2.13519,1.93921,1.42875,0.36754,1.9972,3.5464,3.75133,0.91176,1.20344,1.84281,0.39486,1.55754,1.11598,1.24116,0.28789,1.2641,,0.17145,,
2006,32.84,0.02068,,0.05115,0.008,0.63039,,1.4763,0.50746,0.0447,,7.07087,2.77861,0.91119,0.33269,0.07,0.25945,0.40291,0.12986,,1.34044,0.23793,0.92137,0.43757,1.40308,2.6785,1.47959,0.62979,1.46621,1.24975,0.71427,0.61783,1.40021,0.6776,,1.82703,,0.81804,0.24,0.01
