年份,私营工业企业本年应交增值税,煤炭开采和洗选业私营工业企业本年应交增值税,石油和天然气开采业私营工业企业本年应交增值税,黑色金属矿采选业私营工业企业本年应交增值税,有色金属矿采选业私营工业企业本年应交增值税,非金属矿采选业私营工业企业本年应交增值税,其他采矿业私营工业企业本年应交增值税,农副食品加工业私营工业企业本年应交增值税,食品制造业私营工业企业本年应交增值税,饮料制造业私营工业企业本年应交增值税,烟草制品业私营工业企业本年应交增值税,纺织业私营工业企业本年应交增值税,纺织服装、鞋、帽制造业私营工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业私营工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业私营工业企业本年应交增值税,家具制造业私营工业企业本年应交增值税,造纸及纸制品业私营工业企业本年应交增值税,印刷业和记录媒介的复制私营工业企业本年应交增值税,文教体育用品制造业私营工业企业本年应交增值税,石油加工、炼焦及核燃料加工业私营工业企业本年应交增值税,化学原料及化学制品制造业私营工业企业本年应交增值税,医药制造业私营工业企业本年应交增值税,化学纤维制造业私营工业企业本年应交增值税,橡胶制品业私营工业企业本年应交增值税,塑料制品业私营工业企业本年应交增值税,非金属矿物制品业私营工业企业本年应交增值税,黑色金属冶炼及压延加工业私营工业企业本年应交增值税,有色金属冶炼及压延加工业私营工业企业本年应交增值税,金属制品业私营工业企业本年应交增值税,通用设备制造业私营工业企业本年应交增值税,专用设备制造业私营工业企业本年应交增值税,交通运输设备制造业私营工业企业本年应交增值税,电气机械及器材制造业私营工业企业本年应交增值税,通信设备、计算机及其他电子设备制造私营工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业私营工业企业本年应交增值税,工艺品及其他制造业私营工业企业本年应交增值税,废弃资源和废旧材料回收加工业私营工业企业本年应交增值税,电力、热力的生产和供应业私营工业企业本年应交增值税,燃气生产和供应业私营工业企业本年应交增值税,水的生产和供应业私营工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7023.82,387.13506,3.01837,236.3082,65.5828,76.07965,0.16062,401.89671,139.2225,98.09657,0.19941,420.66038,161.20833,104.98289,165.75071,69.26452,125.97654,48.23371,30.66837,112.91614,513.45553,134.96959,54.23207,60.5985,182.66988,683.39969,353.92075,282.93109,306.15134,501.69041,259.68909,298.53268,415.82161,123.60098,67.77267,78.47743,34.77511,18.08583,3.76469,1.91575
2010,6063.91,326.17035,1.81212,176.2081,49.87721,63.42629,0.63659,331.80018,113.86895,88.01698,0.12537,384.39563,154.1005,89.67187,136.61023,60.47361,116.52612,46.6546,31.21395,97.79985,417.89985,111.92617,31.16221,58.27088,165.94194,570.61072,308.69306,253.64457,268.41294,458.71746,218.3099,276.02148,372.85488,104.23556,55.51005,67.11503,27.45678,19.99394,5.515,2.22679
2009,4546.76,219.88282,2.61901,106.31448,35.05083,46.10298,0.22699,246.70419,83.1455,67.7364,0.12748,318.08904,123.83204,71.51203,112.14109,43.05574,91.06022,37.82122,24.38441,83.93019,316.03725,82.69484,20.33528,43.5426,126.86808,444.07963,255.23102,162.93376,198.32347,350.35769,165.50708,191.59103,269.02191,73.97341,44.19783,52.97276,15.13315,15.31671,3.16656,1.7406
2008,4378.36,188.84563,1.10568,124.20816,40.55908,37.63325,0.20951,226.69445,77.58255,54.71825,0.08173,305.99144,113.84934,74.4178,95.75411,42.66304,101.24493,35.09048,24.01215,122.12567,313.30145,72.05451,26.14207,41.71488,119.01185,401.34474,276.54486,177.28421,194.50021,337.62533,141.78995,175.32248,253.2822,69.05716,35.90411,46.11869,13.49664,13.01055,2.80895,1.25413
2007,2698.44,93.41312,0.83161,65.86849,37.99956,22.45947,0.16267,119.13852,47.82231,32.08915,0.00497,211.68956,71.80869,46.06795,54.19764,22.67572,64.60641,21.25542,16.02478,76.88981,184.70238,44.42605,20.49569,23.86525,75.80943,251.35998,199.09648,124.91137,122.49067,198.36137,83.45159,95.70747,144.7214,45.20556,22.70391,33.16095,7.55088,12.68872,1.57141,1.15759
