年份,私营工业企业个人资本金,煤炭开采和洗选业私营工业企业个人资本金,石油和天然气开采业私营工业企业个人资本金,黑色金属矿采选业私营工业企业个人资本金,有色金属矿采选业私营工业企业个人资本金,非金属矿采选业私营工业企业个人资本金,其他采矿业私营工业企业个人资本金,农副食品加工业私营工业企业个人资本金,食品制造业私营工业企业个人资本金,饮料制造业私营工业企业个人资本金,烟草制品业私营工业企业个人资本金,纺织业私营工业企业个人资本金,纺织服装、鞋、帽制造业私营工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业个人资本金,家具制造业私营工业企业个人资本金,造纸及纸制品业私营工业企业个人资本金,印刷业和记录媒介的复制私营工业企业个人资本金,文教体育用品制造业私营工业企业个人资本金,石油加工、炼焦及核燃料加工业私营工业企业个人资本金,化学原料及化学制品制造业私营工业企业个人资本金,医药制造业私营工业企业个人资本金,化学纤维制造业私营工业企业个人资本金,橡胶制品业私营工业企业个人资本金,塑料制品业私营工业企业个人资本金,非金属矿物制品业私营工业企业个人资本金,黑色金属冶炼及压延加工业私营工业企业个人资本金,有色金属冶炼及压延加工业私营工业企业个人资本金,金属制品业私营工业企业个人资本金,通用设备制造业私营工业企业个人资本金,专用设备制造业私营工业企业个人资本金,交通运输设备制造业私营工业企业个人资本金,电气机械及器材制造业私营工业企业个人资本金,通信设备、计算机及其他电子设备制造私营工业企业个人资本金,仪器仪表及文化、办公用机械制造业私营工业企业个人资本金,工艺品及其他制造业私营工业企业个人资本金,废弃资源和废旧材料回收加工业私营工业企业个人资本金,电力、热力的生产和供应业私营工业企业个人资本金,燃气生产和供应业私营工业企业个人资本金,水的生产和供应业私营工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,15413.56968,401.15337,11.1153,251.1379,106.16235,128.96644,1.66298,870.01879,271.23235,185.62691,1.6185,1123.71031,460.06383,164.47506,312.74175,178.74044,315.93775,129.24826,55.92094,232.93209,1073.66102,294.23974,132.65125,160.73711,497.37291,1330.51563,838.74129,398.29252,856.35533,1188.97629,600.57466,639.737,1389.53782,327.76693,184.54485,145.44494,42.18027,89.32443,12.03532,8.41505
2010,14548.943,408.25075,14.17188,197.19504,105.12958,125.86767,2.1902,808.908,247.51963,193.65097,0.35153,1088.02218,350.04111,173.3946,301.66562,160.8637,289.75608,155.8257,71.00954,227.02709,969.10432,260.02562,100.90645,143.60195,473.0666,1285.14852,792.83004,379.73841,735.65523,1195.44594,590.78366,604.50058,1199.55393,362.27372,160.84892,150.35552,34.47031,160.60375,14.23493,14.95373
2009,12643.19385,325.9046,12.379,190.71899,91.35269,108.10619,1.16677,695.55337,214.05851,183.44709,0.38453,989.17653,304.08129,154.59902,284.83043,137.02987,282.67843,142.45363,63.34296,303.67508,843.40543,229.1244,105.05789,115.94618,409.97773,1083.97974,621.232,364.78993,615.7595,1037.05311,511.06037,524.40438,940.08425,266.1577,144.45406,136.9213,27.43955,156.26555,8.50483,16.63697
2008,11306.53513,316.07492,6.70408,154.77365,88.12717,95.78884,0.74729,640.15874,205.74421,166.44934,0.33103,944.28161,285.42656,157.4971,273.38487,126.04348,242.23325,132.7889,58.152,194.01859,770.89079,207.79874,126.5104,104.28287,384.43323,1012.87443,554.92458,304.74162,566.3761,853.06145,441.41132,457.34655,783.14333,234.75044,139.19676,130.66713,18.46219,109.07841,7.24834,10.61082
2007,7821.12638,186.90805,4.56841,96.77993,45.12687,54.05196,0.42565,433.7056,138.76893,124.12778,,750.16669,209.59192,110.87597,164.92998,92.91554,184.74914,89.41513,49.68006,130.65566,519.65654,160.37997,79.81115,68.36897,268.14387,716.99016,439.30527,195.15932,382.58227,616.06925,271.20691,311.60641,492.83687,154.42909,95.53055,83.83158,9.26842,77.49264,4.41964,6.59423
2006,6367.94,134.65273,1.44404,69.55148,42.27283,38.72082,0.1658,339.93865,121.13676,88.69285,0.02873,674.8083,174.75392,101.43935,124.50852,75.34982,171.86179,74.38515,43.84636,114.79657,406.65653,139.28031,70.75375,55.45078,215.83558,582.94683,369.89776,158.11128,307.63915,467.82421,218.63721,247.43013,385.6476,129.006,60.44091,77.80617,7.38149,67.2975,3.63355,3.91324
