年份,私营工业企业出口交货值,煤炭开采和洗选业私营工业企业出口交货值,石油和天然气开采业私营工业企业出口交货值,黑色金属矿采选业私营工业企业出口交货值,有色金属矿采选业私营工业企业出口交货值,非金属矿采选业私营工业企业出口交货值,其他采矿业私营工业企业出口交货值,农副食品加工业私营工业企业出口交货值,食品制造业私营工业企业出口交货值,饮料制造业私营工业企业出口交货值,烟草制品业私营工业企业出口交货值,纺织业私营工业企业出口交货值,纺织服装、鞋、帽制造业私营工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业私营工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业私营工业企业出口交货值,家具制造业私营工业企业出口交货值,造纸及纸制品业私营工业企业出口交货值,印刷业和记录媒介的复制私营工业企业出口交货值,文教体育用品制造业私营工业企业出口交货值,石油加工、炼焦及核燃料加工业私营工业企业出口交货值,化学原料及化学制品制造业私营工业企业出口交货值,医药制造业私营工业企业出口交货值,化学纤维制造业私营工业企业出口交货值,橡胶制品业私营工业企业出口交货值,塑料制品业私营工业企业出口交货值,非金属矿物制品业私营工业企业出口交货值,黑色金属冶炼及压延加工业私营工业企业出口交货值,有色金属冶炼及压延加工业私营工业企业出口交货值,金属制品业私营工业企业出口交货值,通用设备制造业私营工业企业出口交货值,专用设备制造业私营工业企业出口交货值,交通运输设备制造业私营工业企业出口交货值,电气机械及器材制造业私营工业企业出口交货值,通信设备、计算机及其他电子设备制造私营工业企业出口交货值,仪器仪表及文化、办公用机械制造业私营工业企业出口交货值,工艺品及其他制造业私营工业企业出口交货值,废弃资源和废旧材料回收加工业私营工业企业出口交货值,电力、热力的生产和供应业私营工业企业出口交货值,燃气生产和供应业私营工业企业出口交货值,水的生产和供应业私营工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,13581.5509,2.69178,,4.60051,5.42349,10.4997,1.70446,668.10535,226.58657,46.5149,,1666.44759,890.99777,553.54421,318.34593,372.21868,71.70856,44.52641,268.83606,7.69046,758.16119,177.79137,148.40516,267.83206,462.77736,420.30955,156.19212,186.2495,894.7118,799.03863,321.5802,958.58742,1360.25489,652.57726,170.63502,666.02866,16.99347,2.98228,,0.00053
2010,12679.67765,2.46945,0.10406,0.2323,10.90627,10.38476,,645.02435,201.91545,44.65399,,1635.6485,973.12162,542.88186,267.29161,372.82741,56.85431,32.7564,279.18376,7.96899,673.38849,151.28317,123.80369,156.73767,469.1851,429.84203,144.08038,146.78811,839.62532,749.33187,290.18472,854.3133,1124.00035,699.85812,167.19118,572.35014,1.71255,1.77124,,0.00513
2009,10003.45367,0.21751,0.00441,3.31151,4.21608,10.5939,,491.85549,177.27286,35.58345,,1350.82188,889.1566,448.79795,219.97366,282.68858,42.42097,35.04978,242.17783,3.77763,526.89459,99.29762,107.03507,120.2141,338.40589,332.95256,110.56515,95.29394,630.0848,593.49178,209.08134,630.33753,849.74452,440.38064,191.96003,486.90928,1.22021,1.47723,0.11825,0.06905
2008,10507.90396,6.7388,,3.19911,5.72573,16.6472,,470.83737,164.79514,34.65351,,1391.94675,867.44859,484.80136,227.30052,279.94463,43.05675,34.9355,237.03554,19.25802,541.28168,91.96615,119.85282,108.11456,333.2935,357.52502,228.91487,178.31318,715.30935,700.76103,230.1855,668.81163,875.90213,424.04713,159.84684,481.35613,2.16611,1.9041,0.02699,0.00072
2007,8571.33524,0.08552,,0.25243,7.83414,12.10842,,367.17447,118.61508,32.93068,,1255.74665,716.1213,430.10298,248.16264,227.95887,39.66126,22.85792,216.43614,9.31732,407.57785,81.03996,110.1072,64.93476,287.26115,322.29176,154.16289,160.47516,613.99292,567.99389,138.4579,378.30705,726.50414,351.6605,113.85004,385.2062,2.01548,0.13057,,
2006,7094.68,8.95188,0.0298,1.68587,9.92811,15.25635,0.0113,341.12533,92.55942,33.39244,0.07434,1126.82333,628.44314,355.97571,199.75919,166.21099,38.7989,18.63199,195.75167,11.96886,316.74636,73.96751,65.01114,52.74905,238.68814,272.0643,107.93564,143.44596,507.55068,444.47488,104.87763,327.31863,565.10603,227.43143,83.19429,317.59198,1.02291,0.07726,,0.04423
