年份,私营工业企业亏损企业单位数,煤炭开采和洗选业私营工业企业亏损企业单位数,石油和天然气开采业私营工业企业亏损企业单位数,黑色金属矿采选业私营工业企业亏损企业单位数,有色金属矿采选业私营工业企业亏损企业单位数,非金属矿采选业私营工业企业亏损企业单位数,其他采矿业私营工业企业亏损企业单位数,农副食品加工业私营工业企业亏损企业单位数,食品制造业私营工业企业亏损企业单位数,饮料制造业私营工业企业亏损企业单位数,烟草制品业私营工业企业亏损企业单位数,纺织业私营工业企业亏损企业单位数,纺织服装、鞋、帽制造业私营工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业私营工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业私营工业企业亏损企业单位数,家具制造业私营工业企业亏损企业单位数,造纸及纸制品业私营工业企业亏损企业单位数,印刷业和记录媒介的复制私营工业企业亏损企业单位数,文教体育用品制造业私营工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业私营工业企业亏损企业单位数,化学原料及化学制品制造业私营工业企业亏损企业单位数,医药制造业私营工业企业亏损企业单位数,化学纤维制造业私营工业企业亏损企业单位数,橡胶制品业私营工业企业亏损企业单位数,塑料制品业私营工业企业亏损企业单位数,非金属矿物制品业私营工业企业亏损企业单位数,黑色金属冶炼及压延加工业私营工业企业亏损企业单位数,有色金属冶炼及压延加工业私营工业企业亏损企业单位数,金属制品业私营工业企业亏损企业单位数,通用设备制造业私营工业企业亏损企业单位数,专用设备制造业私营工业企业亏损企业单位数,交通运输设备制造业私营工业企业亏损企业单位数,电气机械及器材制造业私营工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造私营工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业私营工业企业亏损企业单位数,工艺品及其他制造业私营工业企业亏损企业单位数,废弃资源和废旧材料回收加工业私营工业企业亏损企业单位数,电力、热力的生产和供应业私营工业企业亏损企业单位数,燃气生产和供应业私营工业企业亏损企业单位数,水的生产和供应业私营工业企业亏损企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10645.0,505.0,5.0,169.0,68.0,60.0,2.0,390.0,160.0,87.0,,982.0,350.0,143.0,152.0,122.0,273.0,118.0,63.0,160.0,737.0,141.0,130.0,68.0,352.0,885.0,586.0,424.0,619.0,642.0,310.0,501.0,735.0,294.0,85.0,107.0,73.0,125.0,14.0,8.0
2010,18772.0,639.0,6.0,298.0,165.0,158.0,4.0,742.0,334.0,194.0,,1425.0,824.0,284.0,381.0,248.0,509.0,319.0,172.0,208.0,1220.0,291.0,66.0,145.0,855.0,1589.0,645.0,448.0,1203.0,1379.0,731.0,838.0,1097.0,579.0,175.0,248.0,75.0,223.0,25.0,30.0
2009,25006.0,741.0,10.0,611.0,230.0,204.0,1.0,883.0,388.0,238.0,,2106.0,1075.0,400.0,493.0,335.0,704.0,467.0,219.0,259.0,1610.0,341.0,130.0,183.0,1066.0,1928.0,1030.0,689.0,1554.0,1898.0,976.0,1008.0,1496.0,707.0,229.0,348.0,117.0,273.0,23.0,36.0
2008,26332.0,551.0,8.0,373.0,241.0,144.0,2.0,985.0,368.0,233.0,,2627.0,1229.0,386.0,474.0,384.0,819.0,452.0,247.0,240.0,1611.0,384.0,217.0,230.0,1218.0,1953.0,1038.0,854.0,1563.0,2011.0,1000.0,1132.0,1521.0,741.0,248.0,399.0,146.0,243.0,27.0,33.0
2007,16110.0,469.0,2.0,188.0,114.0,128.0,2.0,720.0,286.0,203.0,,1683.0,790.0,276.0,331.0,192.0,547.0,265.0,162.0,162.0,1122.0,349.0,112.0,149.0,659.0,1414.0,603.0,511.0,782.0,1022.0,514.0,594.0,747.0,421.0,146.0,256.0,22.0,129.0,12.0,26.0
2006,15705.0,366.0,2.0,293.0,92.0,108.0,,755.0,308.0,224.0,,1594.0,640.0,254.0,323.0,168.0,546.0,239.0,125.0,249.0,1113.0,340.0,108.0,110.0,650.0,1520.0,920.0,419.0,734.0,904.0,443.0,551.0,722.0,347.0,134.0,220.0,18.0,132.0,16.0,18.0
