年份,私营工业企业固定资产合计,煤炭开采和洗选业私营工业企业固定资产合计,石油和天然气开采业私营工业企业固定资产合计,黑色金属矿采选业私营工业企业固定资产合计,有色金属矿采选业私营工业企业固定资产合计,非金属矿采选业私营工业企业固定资产合计,其他采矿业私营工业企业固定资产合计,农副食品加工业私营工业企业固定资产合计,食品制造业私营工业企业固定资产合计,饮料制造业私营工业企业固定资产合计,烟草制品业私营工业企业固定资产合计,纺织业私营工业企业固定资产合计,纺织服装、鞋、帽制造业私营工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业私营工业企业固定资产合计,家具制造业私营工业企业固定资产合计,造纸及纸制品业私营工业企业固定资产合计,印刷业和记录媒介的复制私营工业企业固定资产合计,文教体育用品制造业私营工业企业固定资产合计,石油加工、炼焦及核燃料加工业私营工业企业固定资产合计,化学原料及化学制品制造业私营工业企业固定资产合计,医药制造业私营工业企业固定资产合计,化学纤维制造业私营工业企业固定资产合计,橡胶制品业私营工业企业固定资产合计,塑料制品业私营工业企业固定资产合计,非金属矿物制品业私营工业企业固定资产合计,黑色金属冶炼及压延加工业私营工业企业固定资产合计,有色金属冶炼及压延加工业私营工业企业固定资产合计,金属制品业私营工业企业固定资产合计,通用设备制造业私营工业企业固定资产合计,专用设备制造业私营工业企业固定资产合计,交通运输设备制造业私营工业企业固定资产合计,电气机械及器材制造业私营工业企业固定资产合计,通信设备、计算机及其他电子设备制造私营工业企业固定资产合计,仪器仪表及文化、办公用机械制造业私营工业企业固定资产合计,工艺品及其他制造业私营工业企业固定资产合计,废弃资源和废旧材料回收加工业私营工业企业固定资产合计,电力、热力的生产和供应业私营工业企业固定资产合计,燃气生产和供应业私营工业企业固定资产合计,水的生产和供应业私营工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44644.16725,1244.65598,34.92037,825.95484,327.75045,344.93042,3.89776,2902.33837,973.98961,697.26821,1.7372,3095.89029,830.85042,450.0184,924.6542,444.51193,892.02986,391.82435,171.10437,1049.11548,3426.81,815.63318,434.29646,490.94084,1242.16174,4468.87605,2819.30481,1332.9832,2075.21236,3044.85607,1693.76837,2171.53117,2369.01201,825.28454,390.38824,353.45977,173.47471,801.49445,59.40047,47.8363
2010,42278.52342,1108.48563,41.25465,682.86538,334.42705,346.7692,4.96586,2647.15193,908.86021,654.04301,4.25366,3078.69372,853.63809,407.72258,886.52955,399.70273,928.83303,445.24055,202.5472,974.42777,3210.46341,725.48608,388.52199,399.06721,1275.04297,4035.56091,2669.43105,1200.2737,1830.55611,3235.54994,1426.27136,2068.71633,2141.68169,765.38431,358.31239,347.06126,102.13391,1057.52611,69.02161,62.04928
2009,33638.3719,869.89552,44.41049,560.71968,251.07693,261.36462,2.52831,2107.06632,684.33121,555.09112,3.85969,2993.99071,704.4801,339.249,702.316,326.71261,775.22622,380.63316,153.84223,806.12771,2507.14359,654.80868,354.19503,297.7117,1009.31408,3313.6662,2069.54152,949.59521,1425.89397,2283.58777,1103.95281,1466.58379,1588.93758,561.40042,255.81163,294.54363,65.82392,809.4637,43.26192,60.21312
2008,27317.51348,654.8567,22.70533,440.6676,225.2657,221.07422,1.52284,1647.12261,579.10826,445.58434,3.79098,2432.26232,632.99264,286.32133,615.82566,272.29208,662.28646,336.34298,135.96104,640.45847,1919.47688,529.99207,340.07703,264.62115,856.57298,2674.84269,1728.01986,827.60858,1170.04695,1841.86603,873.55919,1165.49972,1241.80568,435.64046,203.76887,250.084,44.3817,615.00205,29.49396,48.71207
2007,18296.57427,385.06514,9.31792,264.41996,129.61425,129.87277,1.12237,1056.36633,392.26218,291.16296,3.00441,1901.79721,379.17238,208.30162,350.9022,175.1072,481.38051,219.27243,99.37339,477.64679,1320.40804,391.38807,331.80742,170.87909,585.38212,1801.83708,1255.50415,474.57129,782.2008,1148.84098,516.20768,710.88125,778.23392,269.81129,115.63001,169.01081,21.56416,442.56854,22.48757,32.19798
