年份,私营工业企业营业利润,煤炭开采和洗选业私营工业企业营业利润,石油和天然气开采业私营工业企业营业利润,黑色金属矿采选业私营工业企业营业利润,有色金属矿采选业私营工业企业营业利润,非金属矿采选业私营工业企业营业利润,其他采矿业私营工业企业营业利润,农副食品加工业私营工业企业营业利润,食品制造业私营工业企业营业利润,饮料制造业私营工业企业营业利润,烟草制品业私营工业企业营业利润,纺织业私营工业企业营业利润,纺织服装、鞋、帽制造业私营工业企业营业利润,皮革、毛皮、羽毛(绒)及其制品业私营工业企业营业利润,木材加工及木、竹、藤、棕、草制品业私营工业企业营业利润,家具制造业私营工业企业营业利润,造纸及纸制品业私营工业企业营业利润,印刷业和记录媒介的复制私营工业企业营业利润,文教体育用品制造业私营工业企业营业利润,石油加工、炼焦及核燃料加工业私营工业企业营业利润,化学原料及化学制品制造业私营工业企业营业利润,医药制造业私营工业企业营业利润,化学纤维制造业私营工业企业营业利润,橡胶制品业私营工业企业营业利润,塑料制品业私营工业企业营业利润,非金属矿物制品业私营工业企业营业利润,黑色金属冶炼及压延加工业私营工业企业营业利润,有色金属冶炼及压延加工业私营工业企业营业利润,金属制品业私营工业企业营业利润,通用设备制造业私营工业企业营业利润,专用设备制造业私营工业企业营业利润,交通运输设备制造业私营工业企业营业利润,电气机械及器材制造业私营工业企业营业利润,通信设备、计算机及其他电子设备制造私营工业企业营业利润,仪器仪表及文化、办公用机械制造业私营工业企业营业利润,工艺品及其他制造业私营工业企业营业利润,废弃资源和废旧材料回收加工业私营工业企业营业利润,电力、热力的生产和供应业私营工业企业营业利润,燃气生产和供应业私营工业企业营业利润,水的生产和供应业私营工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,19446.34064,840.26515,6.17783,759.55608,204.96868,213.68291,0.88924,1477.15189,420.33059,306.5156,0.41023,1024.2587,398.40193,271.35773,488.54857,197.32342,324.41376,126.95505,79.48044,316.48947,1495.10674,365.72609,109.11367,217.66456,516.15944,1720.88342,1058.75262,699.33424,826.45819,1430.58877,755.81112,805.30713,1160.34722,333.4262,149.66929,200.06913,88.60303,35.19614,13.64758,7.29879
2010,16234.01166,764.46504,19.5468,516.04821,149.4642,163.49594,0.75926,1207.44534,339.87364,254.05451,0.57125,917.25384,349.04131,251.90764,387.38771,156.44999,291.38071,112.85635,76.58686,238.33934,1218.93851,269.16158,95.7664,157.37914,449.86213,1419.2839,970.04448,537.09503,705.85385,1192.17302,592.31694,744.09675,960.36273,287.36892,124.40958,164.75195,85.58963,41.13059,15.59999,5.8986
2009,10769.21483,455.41562,13.50004,300.77495,88.60437,112.20484,0.73181,843.76925,227.68264,169.69058,0.44542,674.73522,258.06634,166.52672,276.62698,110.63206,203.80843,76.64823,48.72695,148.61742,811.51029,180.35038,64.13962,108.65909,294.16777,963.75952,639.96953,335.88616,483.79258,782.05893,386.34625,439.10261,629.55682,174.98549,97.30581,122.53417,34.85184,26.57513,12.08915,4.36582
2008,9435.84009,455.39597,6.11104,382.14359,109.88499,97.41244,0.55357,686.85652,184.44493,142.35762,0.42634,573.80893,223.90711,151.29644,239.01236,87.59756,182.02529,63.28268,41.37348,175.02505,727.41173,153.26976,64.13974,85.53442,253.76323,785.02741,549.4795,335.79197,422.777,669.25982,329.20198,364.51422,535.1976,135.8951,65.48309,99.20092,35.37691,12.25408,5.99026,3.35544
2007,5853.30726,188.28105,1.35468,203.17901,105.78403,57.24242,0.30623,425.78341,119.53546,81.97865,0.02119,391.85428,119.15986,105.41438,142.35852,56.5571,115.65715,37.85704,26.21671,106.88454,442.6818,93.77309,68.61293,52.01462,177.93603,457.58594,395.60332,242.83507,258.13592,404.01713,185.96458,222.88951,320.28092,95.02845,47.0256,61.89698,19.96357,17.57965,2.96278,1.09366
2006,3540.29,125.66649,1.41617,102.79172,66.05776,38.25819,0.18313,258.63998,78.37904,45.66345,0.00765,273.16311,87.89543,70.78404,78.91888,35.37583,75.43003,24.60053,19.73432,55.97723,253.45836,60.85104,28.08605,35.04076,107.83687,261.97589,201.12217,124.85859,164.42514,258.29858,118.33291,124.74687,195.75515,58.83947,32.64297,43.00051,14.74744,15.46458,0.72976,1.13846
