年份,私营工业企业流动负债合计,煤炭开采和洗选业私营工业企业流动负债合计,石油和天然气开采业私营工业企业流动负债合计,黑色金属矿采选业私营工业企业流动负债合计,有色金属矿采选业私营工业企业流动负债合计,非金属矿采选业私营工业企业流动负债合计,其他采矿业私营工业企业流动负债合计,农副食品加工业私营工业企业流动负债合计,食品制造业私营工业企业流动负债合计,饮料制造业私营工业企业流动负债合计,烟草制品业私营工业企业流动负债合计,纺织业私营工业企业流动负债合计,纺织服装、鞋、帽制造业私营工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业私营工业企业流动负债合计,家具制造业私营工业企业流动负债合计,造纸及纸制品业私营工业企业流动负债合计,印刷业和记录媒介的复制私营工业企业流动负债合计,文教体育用品制造业私营工业企业流动负债合计,石油加工、炼焦及核燃料加工业私营工业企业流动负债合计,化学原料及化学制品制造业私营工业企业流动负债合计,医药制造业私营工业企业流动负债合计,化学纤维制造业私营工业企业流动负债合计,橡胶制品业私营工业企业流动负债合计,塑料制品业私营工业企业流动负债合计,非金属矿物制品业私营工业企业流动负债合计,黑色金属冶炼及压延加工业私营工业企业流动负债合计,有色金属冶炼及压延加工业私营工业企业流动负债合计,金属制品业私营工业企业流动负债合计,通用设备制造业私营工业企业流动负债合计,专用设备制造业私营工业企业流动负债合计,交通运输设备制造业私营工业企业流动负债合计,电气机械及器材制造业私营工业企业流动负债合计,通信设备、计算机及其他电子设备制造私营工业企业流动负债合计,仪器仪表及文化、办公用机械制造业私营工业企业流动负债合计,工艺品及其他制造业私营工业企业流动负债合计,废弃资源和废旧材料回收加工业私营工业企业流动负债合计,电力、热力的生产和供应业私营工业企业流动负债合计,燃气生产和供应业私营工业企业流动负债合计,水的生产和供应业私营工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,58996.7189,1640.09199,14.31674,920.17143,301.51847,217.75402,1.16874,2367.76816,769.88594,537.08527,3.74883,4403.11159,1232.76926,647.66859,631.20417,555.17417,1067.46918,467.61628,242.10939,1792.02595,4107.39565,793.88502,824.13935,578.0847,1601.55503,4122.39646,4815.3946,2379.71259,3576.54444,4101.38121,2248.26107,3697.95052,4732.19539,1452.81064,687.47588,622.56291,275.33523,479.88634,49.0057,38.088
2010,54642.10152,1307.03584,18.83014,773.70586,287.00445,243.03505,3.28141,2185.41864,781.49716,584.41374,1.14544,4420.68444,1203.49267,628.60184,644.18458,532.64858,1063.8524,549.02927,278.86251,1410.29057,3676.45081,744.52451,681.6094,498.75829,1652.67676,3772.23334,4089.32712,2124.49063,2853.33075,4365.706,2060.14443,3718.09888,4118.94192,1331.81418,571.08267,578.87326,198.42206,591.83836,54.20507,42.55849
2009,42938.08216,851.27922,18.32233,686.26071,241.25133,177.74359,1.22285,1811.67552,575.76079,520.31455,1.11182,4000.42442,1036.08906,514.00453,545.06787,405.34448,860.43243,447.26201,225.12733,1021.27582,2837.23453,674.48711,564.77685,364.51538,1304.23799,3055.34675,3086.75704,1499.85157,2344.48,3243.93408,1611.68938,2646.03004,3126.22453,1004.89119,478.23318,478.18387,150.84611,446.97325,42.39676,37.02189
2008,37262.29114,689.76937,14.64016,591.10973,208.95451,163.4452,0.54402,1490.70039,521.86182,418.09926,1.0314,3536.19184,952.276,476.71116,507.9719,372.64678,801.30737,399.74304,211.21341,883.64162,2356.82813,536.83643,519.32503,331.96981,1192.20706,2646.88469,2692.89791,1253.07612,2041.5394,2961.48622,1434.92413,2329.33454,2552.47218,806.47076,413.98947,412.82842,109.06375,359.73989,27.35301,41.20521
2007,27495.88723,399.28915,6.35531,346.02784,162.76534,116.34582,0.57751,1136.3826,403.50689,297.65885,0.17784,2970.27035,672.97879,380.00011,347.38457,261.58411,606.58952,284.57076,178.82448,646.30673,1806.92665,446.12625,620.64029,205.25494,916.67465,1897.31944,2187.99244,958.46717,1490.09355,2041.46832,951.45053,1451.58195,1824.91163,596.401,246.25226,301.20369,54.55344,235.665,25.35713,19.95033
