年份,私营工业企业销售费用,煤炭开采和洗选业私营工业企业销售费用,石油和天然气开采业私营工业企业销售费用,黑色金属矿采选业私营工业企业销售费用,有色金属矿采选业私营工业企业销售费用,非金属矿采选业私营工业企业销售费用,其他采矿业私营工业企业销售费用,农副食品加工业私营工业企业销售费用,食品制造业私营工业企业销售费用,饮料制造业私营工业企业销售费用,烟草制品业私营工业企业销售费用,纺织业私营工业企业销售费用,纺织服装、鞋、帽制造业私营工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业私营工业企业销售费用,木材加工及木、竹、藤、棕、草制品业私营工业企业销售费用,家具制造业私营工业企业销售费用,造纸及纸制品业私营工业企业销售费用,印刷业和记录媒介的复制私营工业企业销售费用,文教体育用品制造业私营工业企业销售费用,石油加工、炼焦及核燃料加工业私营工业企业销售费用,化学原料及化学制品制造业私营工业企业销售费用,医药制造业私营工业企业销售费用,化学纤维制造业私营工业企业销售费用,橡胶制品业私营工业企业销售费用,塑料制品业私营工业企业销售费用,非金属矿物制品业私营工业企业销售费用,黑色金属冶炼及压延加工业私营工业企业销售费用,有色金属冶炼及压延加工业私营工业企业销售费用,金属制品业私营工业企业销售费用,通用设备制造业私营工业企业销售费用,专用设备制造业私营工业企业销售费用,交通运输设备制造业私营工业企业销售费用,电气机械及器材制造业私营工业企业销售费用,通信设备、计算机及其他电子设备制造私营工业企业销售费用,仪器仪表及文化、办公用机械制造业私营工业企业销售费用,工艺品及其他制造业私营工业企业销售费用,废弃资源和废旧材料回收加工业私营工业企业销售费用,电力、热力的生产和供应业私营工业企业销售费用,燃气生产和供应业私营工业企业销售费用,水的生产和供应业私营工业企业销售费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,5083.46638,192.95136,1.75133,61.5913,24.30351,60.18143,0.34453,388.04406,160.11089,107.52247,0.16146,235.12518,156.46405,80.3816,121.59999,85.09151,88.7897,36.38123,26.71546,74.22681,388.3546,162.99314,19.88595,51.07355,150.77677,465.53899,125.88946,97.02046,225.7945,392.53706,254.65767,202.03768,388.89277,104.35327,60.12433,62.96687,13.88608,6.9796,5.24354,2.72222
2010,4573.61291,168.38688,1.31641,55.31234,21.58034,54.99338,0.79039,328.14459,146.39974,103.10021,0.13098,218.40398,155.14668,69.53473,105.78265,75.46482,82.41402,34.1263,29.44863,65.8384,348.75664,141.0589,15.44889,40.03635,141.68065,408.89338,115.56935,89.39087,209.55205,353.34697,191.63884,211.0703,351.94827,95.77109,54.36222,57.26157,10.48666,13.99121,4.71919,2.31404
2009,3539.42555,119.87435,1.13931,36.85626,14.4976,42.30887,0.21531,267.55383,119.4797,83.56937,0.10593,176.64228,115.44668,54.39899,79.97598,58.52873,64.49731,26.45786,21.33265,52.44072,274.46138,123.05193,11.87464,32.02621,110.19348,322.40518,92.4484,65.73995,159.90668,273.38687,141.16545,139.92833,271.41089,68.84328,44.62835,52.95837,8.36085,6.08377,3.44146,1.78835
2008,3076.144,113.36527,0.63706,39.24334,14.89892,36.76217,0.23981,216.87521,93.75008,63.143,0.08652,152.87054,102.10711,48.54638,73.49899,53.09598,58.39628,23.57055,18.8697,68.90997,242.378,98.73798,10.13217,27.25762,90.60055,272.93156,88.27347,67.78386,141.16964,232.93648,119.81122,127.63778,220.95294,60.11582,37.06737,42.49285,9.08933,3.99092,2.76167,1.15589
2007,2136.11339,66.04491,0.54352,23.79658,12.08773,23.61752,0.23454,158.78871,63.83554,42.82583,0.00082,121.95879,64.69222,35.45864,45.74698,34.50473,41.2009,15.65673,15.63021,50.26357,171.91159,73.32179,7.40711,18.63892,66.89613,183.40551,70.74009,39.63081,101.51396,164.10937,74.86352,82.91897,156.64275,43.59521,24.12601,28.72234,6.74526,2.23122,1.17695,0.62741
2006,1610.11186,51.88692,0.09624,17.56927,7.76239,18.48925,0.06765,117.50635,56.35083,32.61401,0.03268,94.02643,59.57052,25.25142,31.60513,25.33808,32.52213,11.97773,12.4758,38.77307,126.82266,67.51229,5.04107,13.73385,47.43178,138.00632,51.35534,26.76537,70.41492,119.71074,53.44408,62.38845,115.28755,32.30124,18.28297,22.13423,2.66368,1.79463,0.65747,0.44732
