年份,私营工业企业主营业务税金及附加,煤炭开采和洗选业私营工业企业主营业务税金及附加,石油和天然气开采业私营工业企业主营业务税金及附加,黑色金属矿采选业私营工业企业主营业务税金及附加,有色金属矿采选业私营工业企业主营业务税金及附加,非金属矿采选业私营工业企业主营业务税金及附加,其他采矿业私营工业企业主营业务税金及附加,农副食品加工业私营工业企业主营业务税金及附加,食品制造业私营工业企业主营业务税金及附加,饮料制造业私营工业企业主营业务税金及附加,烟草制品业私营工业企业主营业务税金及附加,纺织业私营工业企业主营业务税金及附加,纺织服装、鞋、帽制造业私营工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业私营工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业私营工业企业主营业务税金及附加,家具制造业私营工业企业主营业务税金及附加,造纸及纸制品业私营工业企业主营业务税金及附加,印刷业和记录媒介的复制私营工业企业主营业务税金及附加,文教体育用品制造业私营工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业私营工业企业主营业务税金及附加,化学原料及化学制品制造业私营工业企业主营业务税金及附加,医药制造业私营工业企业主营业务税金及附加,化学纤维制造业私营工业企业主营业务税金及附加,橡胶制品业私营工业企业主营业务税金及附加,塑料制品业私营工业企业主营业务税金及附加,非金属矿物制品业私营工业企业主营业务税金及附加,黑色金属冶炼及压延加工业私营工业企业主营业务税金及附加,有色金属冶炼及压延加工业私营工业企业主营业务税金及附加,金属制品业私营工业企业主营业务税金及附加,通用设备制造业私营工业企业主营业务税金及附加,专用设备制造业私营工业企业主营业务税金及附加,交通运输设备制造业私营工业企业主营业务税金及附加,电气机械及器材制造业私营工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造私营工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业私营工业企业主营业务税金及附加,工艺品及其他制造业私营工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业私营工业企业主营业务税金及附加,电力、热力的生产和供应业私营工业企业主营业务税金及附加,燃气生产和供应业私营工业企业主营业务税金及附加,水的生产和供应业私营工业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,1553.57,106.84073,1.25603,54.96983,15.99359,26.52257,0.07206,109.19978,33.53218,70.32051,0.01593,82.98756,33.03103,20.15958,44.11988,17.31235,24.20447,9.96971,5.95729,35.97302,111.82135,26.04533,7.20994,15.64299,38.26903,147.37494,51.34997,38.20661,60.22267,105.76554,63.10122,58.92264,70.04172,22.39935,11.71663,18.77765,7.58538,4.69464,1.38263,0.59683
2010,1628.84,111.17866,1.92046,51.55373,15.15675,27.08376,0.14963,108.85702,30.57876,63.29377,0.01317,81.98572,34.97147,21.68344,42.50892,19.11838,28.07421,10.35394,6.4878,34.91772,113.60877,22.10252,5.52629,15.49948,39.03723,145.52086,63.40012,35.60459,61.77477,110.03952,54.55531,141.41728,67.63945,19.29177,10.72419,19.56603,6.76384,4.91696,1.2373,0.731
2009,1311.38,73.44008,2.1715,34.7109,12.71,24.33438,0.1603,98.00592,28.13959,52.70276,0.01159,78.29586,31.34928,19.69936,40.00489,16.22522,26.27559,8.33861,9.00148,21.32565,101.38466,19.95874,4.22221,11.89074,33.30272,126.64146,54.57223,36.79722,56.24456,87.86321,39.39088,54.31435,58.35795,14.73546,7.35237,17.56383,4.16976,3.44331,1.17426,1.09315
2008,1123.38,69.31236,1.59039,34.18618,10.8529,21.16623,0.10225,79.78886,22.82557,44.12545,0.01234,64.42773,26.05927,19.39528,34.79296,11.73832,23.12712,7.64102,5.28063,25.26863,86.37784,17.17431,3.79457,10.41363,30.43517,101.72,57.73405,34.53232,45.65161,72.00271,33.04495,42.43745,44.3127,12.01784,5.92897,15.77824,3.93342,2.94779,0.8684,0.57719
2007,656.62,32.05482,0.28657,22.3005,8.5466,10.58297,0.13525,40.71215,12.11082,30.01068,0.00273,46.68777,16.71553,11.96296,18.66202,7.42505,14.4161,4.47452,3.45716,16.35322,49.68489,9.21067,3.02171,6.37533,19.73926,56.85303,31.60788,22.01526,28.01329,44.07323,17.61853,23.92123,24.61552,7.04562,3.9525,7.80229,1.43712,1.85619,0.6419,0.24189
