年份,私营工业企业资产总计,煤炭开采和洗选业私营工业企业资产总计,石油和天然气开采业私营工业企业资产总计,黑色金属矿采选业私营工业企业资产总计,有色金属矿采选业私营工业企业资产总计,非金属矿采选业私营工业企业资产总计,其他采矿业私营工业企业资产总计,农副食品加工业私营工业企业资产总计,食品制造业私营工业企业资产总计,饮料制造业私营工业企业资产总计,烟草制品业私营工业企业资产总计,纺织业私营工业企业资产总计,纺织服装、鞋、帽制造业私营工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业资产总计,木材加工及木、竹、藤、棕、草制品业私营工业企业资产总计,家具制造业私营工业企业资产总计,造纸及纸制品业私营工业企业资产总计,印刷业和记录媒介的复制私营工业企业资产总计,文教体育用品制造业私营工业企业资产总计,石油加工、炼焦及核燃料加工业私营工业企业资产总计,化学原料及化学制品制造业私营工业企业资产总计,医药制造业私营工业企业资产总计,化学纤维制造业私营工业企业资产总计,橡胶制品业私营工业企业资产总计,塑料制品业私营工业企业资产总计,非金属矿物制品业私营工业企业资产总计,黑色金属冶炼及压延加工业私营工业企业资产总计,有色金属冶炼及压延加工业私营工业企业资产总计,金属制品业私营工业企业资产总计,通用设备制造业私营工业企业资产总计,专用设备制造业私营工业企业资产总计,交通运输设备制造业私营工业企业资产总计,电气机械及器材制造业私营工业企业资产总计,通信设备、计算机及其他电子设备制造私营工业企业资产总计,仪器仪表及文化、办公用机械制造业私营工业企业资产总计,工艺品及其他制造业私营工业企业资产总计,废弃资源和废旧材料回收加工业私营工业企业资产总计,电力、热力的生产和供应业私营工业企业资产总计,燃气生产和供应业私营工业企业资产总计,水的生产和供应业私营工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,127749.86,3771.61973,62.7925,2245.24698,805.7341,745.41085,7.21619,6826.48103,2318.32572,1624.17134,7.16175,8560.78599,2816.18262,1384.74325,1971.0684,1302.70422,2235.58704,1028.49711,517.36031,3029.61601,9328.81505,2283.95986,1467.09875,1297.16026,3538.34058,10091.53081,8127.67513,4558.36205,6808.87554,9034.9621,5013.48021,7264.90636,9678.49063,3100.94495,1441.87966,1332.19872,529.16417,1349.97363,127.43448,113.89923
2010,116867.83,3164.45941,70.66592,1887.27126,781.61529,744.78461,9.80123,6074.21859,2092.87617,1525.26607,9.3241,8369.30794,2670.34702,1316.80368,1926.15266,1184.83499,2246.40589,1110.45485,560.20332,2520.64786,8337.29706,1990.98227,1197.50369,1069.02238,3531.40445,9124.23151,7119.35095,3907.42019,5659.97347,9304.68065,4435.44447,6934.8413,8455.64394,2867.84331,1210.93688,1204.2505,351.51255,1629.19904,137.17015,133.68092
2009,91175.6,2205.03339,80.6849,1487.73486,604.89684,568.27833,3.95891,4893.29326,1569.05265,1261.16102,9.24824,7696.24837,2149.76526,1079.52321,1543.29473,905.756,1844.39947,912.98727,445.91966,2090.82694,6497.10994,1681.93595,999.18988,799.45142,2776.93845,7289.59484,5407.90667,2858.59412,4473.57131,6782.16702,3389.50139,4945.65176,6178.08299,2006.27269,1018.19148,997.00928,238.36544,1263.90235,98.34478,121.75607
2008,75879.59,1745.12607,43.30398,1264.13033,549.3682,475.32648,2.34865,3864.95237,1353.77103,1017.77459,9.57358,6434.44614,1929.70832,960.46437,1369.2141,765.40182,1604.4072,805.35513,406.94091,1630.27763,5337.02651,1323.98274,939.34726,701.46044,2424.49801,6017.40528,4564.84043,2351.86842,3769.68915,5818.14967,2834.52968,4096.57708,4874.15609,1623.69309,838.25489,824.52563,172.64715,967.26902,64.72575,103.05
2007,53304.95,954.71641,14.84925,720.07926,405.01406,303.53688,1.82666,2720.74381,955.53953,698.26809,3.88576,5228.51602,1235.18268,712.54953,866.09494,532.37827,1214.89039,535.58943,321.4345,1179.95954,3707.88848,1049.14089,982.15971,430.65414,1730.53044,4153.08628,3673.43481,1722.40751,2666.27588,3833.75308,1778.37232,2547.75583,3277.5759,1181.45242,499.42988,584.35381,88.85832,684.46384,50.3764,57.92272
