年份,私营工业企业固定资产原价合计,煤炭开采和洗选业私营工业企业固定资产原价合计,石油和天然气开采业私营工业企业固定资产原价合计,黑色金属矿采选业私营工业企业固定资产原价合计,有色金属矿采选业私营工业企业固定资产原价合计,非金属矿采选业私营工业企业固定资产原价合计,其他采矿业私营工业企业固定资产原价合计,农副食品加工业私营工业企业固定资产原价合计,食品制造业私营工业企业固定资产原价合计,饮料制造业私营工业企业固定资产原价合计,烟草制品业私营工业企业固定资产原价合计,纺织业私营工业企业固定资产原价合计,纺织服装、鞋、帽制造业私营工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业私营工业企业固定资产原价合计,家具制造业私营工业企业固定资产原价合计,造纸及纸制品业私营工业企业固定资产原价合计,印刷业和记录媒介的复制私营工业企业固定资产原价合计,文教体育用品制造业私营工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业私营工业企业固定资产原价合计,化学原料及化学制品制造业私营工业企业固定资产原价合计,医药制造业私营工业企业固定资产原价合计,化学纤维制造业私营工业企业固定资产原价合计,橡胶制品业私营工业企业固定资产原价合计,塑料制品业私营工业企业固定资产原价合计,非金属矿物制品业私营工业企业固定资产原价合计,黑色金属冶炼及压延加工业私营工业企业固定资产原价合计,有色金属冶炼及压延加工业私营工业企业固定资产原价合计,金属制品业私营工业企业固定资产原价合计,通用设备制造业私营工业企业固定资产原价合计,专用设备制造业私营工业企业固定资产原价合计,交通运输设备制造业私营工业企业固定资产原价合计,电气机械及器材制造业私营工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造私营工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业私营工业企业固定资产原价合计,工艺品及其他制造业私营工业企业固定资产原价合计,废弃资源和废旧材料回收加工业私营工业企业固定资产原价合计,电力、热力的生产和供应业私营工业企业固定资产原价合计,燃气生产和供应业私营工业企业固定资产原价合计,水的生产和供应业私营工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,65621.76672,1564.683,76.14324,1034.80369,402.26701,559.48983,5.56456,4868.04951,1305.98239,913.62387,2.13102,4616.55871,1179.11187,651.80099,1316.20497,569.24951,1290.59194,566.06307,236.12684,1450.52407,5340.63156,1169.63127,678.92114,778.52573,1875.25141,6423.49899,4359.40366,1969.69985,3029.71268,4631.06431,2377.19543,3160.23393,3656.51632,1185.38108,530.00093,519.85386,241.98572,950.55848,75.54087,59.18941
2010,56459.88587,1597.637,50.0824,838.13299,380.75847,449.39238,11.43491,3762.61648,1158.08782,834.225,5.45711,4319.51997,1090.26514,555.63391,1154.32714,527.60185,1240.71817,620.7839,247.76836,1246.59695,4192.56138,997.3704,535.0407,522.99648,1777.76335,5226.52104,3727.76852,1611.28774,2523.02047,4344.77165,1898.38017,2548.33991,3034.12848,1025.63941,457.44331,457.04701,134.3743,1196.88816,81.3807,76.12274
2009,42366.46467,962.44887,48.70537,648.82392,272.6691,317.2778,4.77776,2649.39342,845.20736,669.16007,5.04453,4046.58525,910.34928,441.5841,883.55303,409.07842,1006.49702,519.15726,197.78903,866.16369,3075.88366,831.78664,488.56768,372.58134,1353.67879,4261.76159,2519.26205,1209.83115,1854.30644,2886.55125,1402.1762,1789.85991,2070.33666,729.92398,315.82016,375.06572,80.38194,925.84531,48.74798,69.83094
2008,34437.22229,755.12261,30.63808,523.03404,272.30639,283.28911,1.81465,2018.37224,688.81597,510.22367,4.84832,3272.44234,818.90747,358.27221,750.44872,332.3609,863.19169,451.81401,174.43272,703.21395,2430.29155,676.16616,459.71498,320.92476,1125.1176,3465.22671,2100.19343,1038.1074,1549.27051,2377.794,1090.60665,1422.01701,1587.61071,581.27249,247.19466,309.18225,60.72282,688.75225,34.50269,59.00457
2007,22383.18075,442.3274,13.20224,336.24484,150.07688,164.37904,1.51518,1262.89237,459.37109,336.76671,3.68745,2448.05119,467.61316,249.46206,419.2346,205.89657,608.22965,283.64989,120.09654,535.42037,1611.86248,468.35947,426.1297,202.55976,735.72992,2320.58674,1427.92645,556.50093,966.43552,1439.77982,629.05889,848.90496,968.46184,342.02297,138.9237,207.16858,28.265,489.25571,24.83038,42.3007
