年份,私营工业企业应交所得税,煤炭开采和洗选业私营工业企业应交所得税,石油和天然气开采业私营工业企业应交所得税,黑色金属矿采选业私营工业企业应交所得税,有色金属矿采选业私营工业企业应交所得税,非金属矿采选业私营工业企业应交所得税,其他采矿业私营工业企业应交所得税,农副食品加工业私营工业企业应交所得税,食品制造业私营工业企业应交所得税,饮料制造业私营工业企业应交所得税,烟草制品业私营工业企业应交所得税,纺织业私营工业企业应交所得税,纺织服装、鞋、帽制造业私营工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业私营工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业私营工业企业应交所得税,家具制造业私营工业企业应交所得税,造纸及纸制品业私营工业企业应交所得税,印刷业和记录媒介的复制私营工业企业应交所得税,文教体育用品制造业私营工业企业应交所得税,石油加工、炼焦及核燃料加工业私营工业企业应交所得税,化学原料及化学制品制造业私营工业企业应交所得税,医药制造业私营工业企业应交所得税,化学纤维制造业私营工业企业应交所得税,橡胶制品业私营工业企业应交所得税,塑料制品业私营工业企业应交所得税,非金属矿物制品业私营工业企业应交所得税,黑色金属冶炼及压延加工业私营工业企业应交所得税,有色金属冶炼及压延加工业私营工业企业应交所得税,金属制品业私营工业企业应交所得税,通用设备制造业私营工业企业应交所得税,专用设备制造业私营工业企业应交所得税,交通运输设备制造业私营工业企业应交所得税,电气机械及器材制造业私营工业企业应交所得税,通信设备、计算机及其他电子设备制造私营工业企业应交所得税,仪器仪表及文化、办公用机械制造业私营工业企业应交所得税,工艺品及其他制造业私营工业企业应交所得税,废弃资源和废旧材料回收加工业私营工业企业应交所得税,电力、热力的生产和供应业私营工业企业应交所得税,燃气生产和供应业私营工业企业应交所得税,水的生产和供应业私营工业企业应交所得税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2058.42318,102.46141,0.44636,104.99719,17.76941,17.14727,0.10957,118.8528,43.25549,32.15817,0.0149,115.18349,46.42061,33.86219,43.78223,27.34001,34.33101,15.14145,8.89377,25.9712,154.13491,34.31199,13.66793,25.97576,58.16058,191.42833,80.88129,62.55253,83.58676,141.52706,94.41346,99.64467,133.45645,37.52619,20.0145,26.19611,5.19009,5.56916,1.39581,0.65107
2010,1733.922,98.49172,0.66874,74.41938,12.02192,15.36797,0.08239,98.2604,33.1986,27.94664,0.02031,106.40777,43.59106,25.94312,37.39208,19.60581,29.85123,14.04856,8.8733,29.7061,127.19778,28.43855,11.12473,19.95797,50.22957,159.75463,59.85161,43.24302,73.96933,132.73314,69.26716,89.09943,108.83044,34.03351,15.60182,20.9291,5.01577,5.67669,2.32752,0.74313
2009,1206.91998,57.95958,0.79955,40.82167,7.73358,8.96895,0.0387,70.99705,24.43587,18.06126,0.00748,90.22238,31.3802,18.1698,26.63595,14.43029,22.58596,10.93145,6.56608,22.45893,84.77575,20.36878,6.67392,12.33251,33.65624,120.94838,43.32509,25.11892,53.838,94.90448,47.9446,57.05888,76.5542,19.6261,11.8224,16.65252,1.7831,4.38202,1.45947,0.48989
2008,1124.00846,58.66037,0.52639,65.75386,12.4037,9.02628,0.03232,65.36462,21.13821,13.97337,0.00354,68.37095,29.38484,19.55501,25.40063,11.37241,21.19211,8.41785,6.05996,26.76449,82.27459,15.99461,6.60951,11.21291,30.21148,106.81727,46.93449,27.9346,48.35567,85.64835,42.85499,45.9512,66.64221,15.25351,9.07355,12.3029,2.06333,3.03026,1.02501,0.41711
2007,795.82852,25.37386,0.15802,43.09498,17.72878,6.90879,0.04687,39.82966,13.25222,9.07818,0.00045,54.46879,17.72105,15.36339,15.28726,8.23659,16.32034,5.91832,4.68637,12.34283,59.20044,11.2508,6.06482,7.86467,24.13956,66.65037,43.13965,21.9488,37.86988,67.48926,29.47638,29.70737,51.66634,12.8807,7.41361,9.14796,1.08469,2.52938,0.26956,0.21753
2006,551.81,18.70916,0.17584,22.06359,12.37997,5.58536,0.01976,28.25135,10.63518,6.67916,0.0019,40.44578,15.14118,12.09895,9.98104,5.63932,12.41481,4.35945,4.07009,8.3695,39.10912,9.06191,4.30368,5.74602,17.01298,42.26871,27.60003,16.59682,28.73829,45.21711,19.9754,20.82769,34.42122,8.66582,5.05209,7.12458,0.67377,2.00856,0.13829,0.24622
