年份,私营工业企业负债合计,煤炭开采和洗选业私营工业企业负债合计,石油和天然气开采业私营工业企业负债合计,黑色金属矿采选业私营工业企业负债合计,有色金属矿采选业私营工业企业负债合计,非金属矿采选业私营工业企业负债合计,其他采矿业私营工业企业负债合计,农副食品加工业私营工业企业负债合计,食品制造业私营工业企业负债合计,饮料制造业私营工业企业负债合计,烟草制品业私营工业企业负债合计,纺织业私营工业企业负债合计,纺织服装、鞋、帽制造业私营工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业负债合计,木材加工及木、竹、藤、棕、草制品业私营工业企业负债合计,家具制造业私营工业企业负债合计,造纸及纸制品业私营工业企业负债合计,印刷业和记录媒介的复制私营工业企业负债合计,文教体育用品制造业私营工业企业负债合计,石油加工、炼焦及核燃料加工业私营工业企业负债合计,化学原料及化学制品制造业私营工业企业负债合计,医药制造业私营工业企业负债合计,化学纤维制造业私营工业企业负债合计,橡胶制品业私营工业企业负债合计,塑料制品业私营工业企业负债合计,非金属矿物制品业私营工业企业负债合计,黑色金属冶炼及压延加工业私营工业企业负债合计,有色金属冶炼及压延加工业私营工业企业负债合计,金属制品业私营工业企业负债合计,通用设备制造业私营工业企业负债合计,专用设备制造业私营工业企业负债合计,交通运输设备制造业私营工业企业负债合计,电气机械及器材制造业私营工业企业负债合计,通信设备、计算机及其他电子设备制造私营工业企业负债合计,仪器仪表及文化、办公用机械制造业私营工业企业负债合计,工艺品及其他制造业私营工业企业负债合计,废弃资源和废旧材料回收加工业私营工业企业负债合计,电力、热力的生产和供应业私营工业企业负债合计,燃气生产和供应业私营工业企业负债合计,水的生产和供应业私营工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,69744.77,2072.94833,24.88858,1122.84401,381.92326,285.41406,3.36495,3025.67886,1008.83881,726.16047,5.0916,4991.95365,1477.02976,715.46371,819.88432,639.89108,1262.97711,565.35827,277.01373,2143.88594,4969.37701,987.48677,933.14599,657.56345,1856.43938,5106.96086,5477.6721,2863.29197,3948.06393,4677.25367,2643.72016,4349.82267,5260.27755,1649.32909,776.71833,710.24426,315.31784,866.39745,70.04509,75.03607
2010,64068.41,1624.53804,25.71248,974.73199,367.83868,323.82409,3.77863,2735.40761,951.71861,742.90275,3.2877,4969.29071,1382.59059,706.98628,831.47238,609.29193,1241.86802,625.36145,307.18376,1686.09196,4455.45457,917.54924,766.68161,569.0319,1887.19779,4686.65779,4605.64709,2502.04433,3188.38309,4973.99716,2329.12669,4268.6275,4567.65524,1490.54437,638.46896,652.44556,220.10467,1081.71659,71.4522,81.74279
2009,50495.45,1093.11016,24.25687,813.19773,294.13424,229.38001,1.95978,2273.20058,716.06068,637.92936,3.22799,4567.27114,1166.98826,581.74178,670.54488,466.80859,1032.99027,517.45241,253.41478,1292.97828,3462.19338,837.64666,634.70525,430.57563,1485.61756,3787.11197,3482.99708,1753.79723,2583.79711,3663.12966,1832.07753,3090.92106,3465.45313,1122.65381,536.98843,544.98297,165.73311,846.13239,54.93224,77.35912
2008,42825.3,828.22771,21.22577,671.98509,250.21476,216.52725,0.663,1835.00493,653.16142,518.56649,3.15492,3926.36922,1044.35323,521.7437,618.86702,418.3502,919.90425,461.33369,232.58207,1036.32491,2801.00328,673.16765,573.28887,390.87206,1354.22398,3192.48627,3005.71549,1452.19941,2220.48888,3319.63665,1590.12392,2599.37935,2777.10635,906.54198,455.87859,455.16658,122.84374,655.1368,36.83102,64.64592
2007,31120.19,472.19404,6.41181,384.00243,192.79238,139.04875,0.70715,1380.82654,483.65657,357.99243,0.62372,3263.19212,723.20145,414.33805,411.52786,289.29592,710.99734,317.36998,188.37589,736.27603,2101.56891,535.74423,689.96721,240.83255,1006.63467,2258.4232,2397.53702,1077.02319,1626.49844,2234.70846,1031.57789,1640.01673,1969.44621,646.06827,270.59859,330.21215,59.24663,464.75546,29.06012,37.44318
