年份,私营工业企业外商资本金,煤炭开采和洗选业私营工业企业外商资本金,石油和天然气开采业私营工业企业外商资本金,黑色金属矿采选业私营工业企业外商资本金,有色金属矿采选业私营工业企业外商资本金,非金属矿采选业私营工业企业外商资本金,其他采矿业私营工业企业外商资本金,农副食品加工业私营工业企业外商资本金,食品制造业私营工业企业外商资本金,饮料制造业私营工业企业外商资本金,烟草制品业私营工业企业外商资本金,纺织业私营工业企业外商资本金,纺织服装、鞋、帽制造业私营工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业外商资本金,家具制造业私营工业企业外商资本金,造纸及纸制品业私营工业企业外商资本金,印刷业和记录媒介的复制私营工业企业外商资本金,文教体育用品制造业私营工业企业外商资本金,石油加工、炼焦及核燃料加工业私营工业企业外商资本金,化学原料及化学制品制造业私营工业企业外商资本金,医药制造业私营工业企业外商资本金,化学纤维制造业私营工业企业外商资本金,橡胶制品业私营工业企业外商资本金,塑料制品业私营工业企业外商资本金,非金属矿物制品业私营工业企业外商资本金,黑色金属冶炼及压延加工业私营工业企业外商资本金,有色金属冶炼及压延加工业私营工业企业外商资本金,金属制品业私营工业企业外商资本金,通用设备制造业私营工业企业外商资本金,专用设备制造业私营工业企业外商资本金,交通运输设备制造业私营工业企业外商资本金,电气机械及器材制造业私营工业企业外商资本金,通信设备、计算机及其他电子设备制造私营工业企业外商资本金,仪器仪表及文化、办公用机械制造业私营工业企业外商资本金,工艺品及其他制造业私营工业企业外商资本金,废弃资源和废旧材料回收加工业私营工业企业外商资本金,电力、热力的生产和供应业私营工业企业外商资本金,燃气生产和供应业私营工业企业外商资本金,水的生产和供应业私营工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,117.43937,-0.02332,,0.09146,0.04,0.57562,,2.13439,4.0249,2.08484,,6.79219,3.28259,2.25305,1.43814,1.02088,0.27365,0.06,1.15907,,5.53568,1.87731,2.28071,0.6235,1.92273,5.06606,6.5259,2.05196,13.40515,7.0593,3.59117,19.30153,16.4906,1.89381,0.12619,3.07123,0.87373,0.4807,0.05465,
2010,159.18509,0.11594,,0.09,0.11557,0.99276,,4.0456,3.5893,2.33849,,15.1755,3.39439,2.80478,2.35665,1.45287,0.24248,0.44845,0.93421,1.10653,7.71296,1.74431,2.67401,0.47989,4.23198,10.2298,8.70234,4.09529,19.72359,9.80344,4.52637,11.54058,13.49015,9.74496,6.37536,2.19503,1.58445,1.11766,0.0094,
2009,166.5726,0.02848,,0.11,0.06,0.48671,,10.49928,4.61756,4.48321,,14.11696,3.36537,2.54562,0.62342,1.79846,0.31314,0.00056,0.45025,0.59991,7.22882,2.56156,1.67579,0.62996,2.91611,10.36761,4.55597,4.26416,18.54236,11.22251,3.13515,9.08535,6.43166,8.14485,28.18173,1.78298,0.728,0.47846,0.5235,0.01714
2008,79.46474,0.10508,,0.01432,7e-05,0.1548,,9.02185,2.09219,1.85796,,9.42379,4.24302,0.87946,1.16712,0.81461,0.36323,1.25243,0.47139,0.3535,4.93833,0.519,0.58945,0.15851,1.83999,6.31014,4.11528,3.42037,1.55532,4.52107,2.00654,4.21423,2.24488,2.74936,0.2576,0.7843,0.73678,6.28877,,
2007,70.32031,0.00672,,0.00417,0.004,0.38889,,1.80914,1.93342,4.76664,,9.07752,2.56621,2.18725,0.51971,0.17594,0.93064,0.07437,0.08871,0.53472,7.0467,1.21132,1.32964,1.27478,1.24408,4.1541,3.43231,2.05728,2.40592,3.51162,2.20678,1.5631,4.30566,6.91958,0.51428,1.84479,0.00662,0.2237,,
2006,68.97,,,,,0.16807,,2.5321,2.26221,1.8771,,11.30569,1.48473,1.12586,1.70813,0.47077,10.21899,0.60209,0.10661,0.17648,4.27008,0.77858,0.863,0.02397,1.67415,2.54621,2.54066,1.40546,5.27043,3.04425,1.81862,1.38772,4.55446,1.67622,0.49654,1.51004,0.65817,-0.01039,,0.4254
