年份,私营工业企业工业销售产值(现价),煤炭开采和洗选业私营工业企业工业销售产值(现价),石油和天然气开采业私营工业企业工业销售产值(现价),黑色金属矿采选业私营工业企业工业销售产值(现价),有色金属矿采选业私营工业企业工业销售产值(现价),非金属矿采选业私营工业企业工业销售产值(现价),其他采矿业私营工业企业工业销售产值(现价),农副食品加工业私营工业企业工业销售产值(现价),食品制造业私营工业企业工业销售产值(现价),饮料制造业私营工业企业工业销售产值(现价),烟草制品业私营工业企业工业销售产值(现价),纺织业私营工业企业工业销售产值(现价),纺织服装、鞋、帽制造业私营工业企业工业销售产值(现价),皮革、毛皮、羽毛(绒)及其制品业私营工业企业工业销售产值(现价),木材加工及木、竹、藤、棕、草制品业私营工业企业工业销售产值(现价),家具制造业私营工业企业工业销售产值(现价),造纸及纸制品业私营工业企业工业销售产值(现价),印刷业和记录媒介的复制私营工业企业工业销售产值(现价),文教体育用品制造业私营工业企业工业销售产值(现价),石油加工、炼焦及核燃料加工业私营工业企业工业销售产值(现价),化学原料及化学制品制造业私营工业企业工业销售产值(现价),医药制造业私营工业企业工业销售产值(现价),化学纤维制造业私营工业企业工业销售产值(现价),橡胶制品业私营工业企业工业销售产值(现价),塑料制品业私营工业企业工业销售产值(现价),非金属矿物制品业私营工业企业工业销售产值(现价),黑色金属冶炼及压延加工业私营工业企业工业销售产值(现价),有色金属冶炼及压延加工业私营工业企业工业销售产值(现价),金属制品业私营工业企业工业销售产值(现价),通用设备制造业私营工业企业工业销售产值(现价),专用设备制造业私营工业企业工业销售产值(现价),交通运输设备制造业私营工业企业工业销售产值(现价),电气机械及器材制造业私营工业企业工业销售产值(现价),通信设备、计算机及其他电子设备制造私营工业企业工业销售产值(现价),仪器仪表及文化、办公用机械制造业私营工业企业工业销售产值(现价),工艺品及其他制造业私营工业企业工业销售产值(现价),废弃资源和废旧材料回收加工业私营工业企业工业销售产值(现价),电力、热力的生产和供应业私营工业企业工业销售产值(现价),燃气生产和供应业私营工业企业工业销售产值(现价),水的生产和供应业私营工业企业工业销售产值(现价)
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,246609.74435,6338.9433,70.9436,4450.9698,1663.71072,2167.84707,9.02091,19626.72057,4747.33889,3228.96097,4.42098,16123.14171,5911.5701,3477.35114,5888.05816,2531.00098,4510.64264,1609.89533,1104.16656,4433.01865,18966.35579,3809.94946,2286.23026,2638.62364,7304.11071,19154.36246,16091.23711,10864.5188,11348.56166,17905.26176,8600.43855,11604.35087,16324.99504,4690.56311,2029.06964,3024.02394,1234.99737,582.85751,178.26059,73.254
2010,208223.81663,4959.64323,91.8011,3423.49366,1244.31482,1737.05996,22.23281,15940.39422,3993.97198,2635.89867,3.86157,14829.53333,5458.0298,3117.17902,4939.08993,2234.65505,4071.34752,1516.55179,1120.32403,3442.0511,15437.71842,2926.28647,1722.91193,2004.96651,6623.88458,15776.93174,13423.40114,8880.72595,10006.73118,15670.81379,7121.83997,10413.38073,13453.9498,4013.20304,1613.22112,2480.72666,1056.7281,563.17555,180.41677,71.36959
2009,157755.78606,3379.58696,82.56178,2219.24617,867.01862,1253.625,10.82756,12303.73479,2911.80052,1966.84568,3.92199,12646.33584,4450.09835,2467.15443,3783.41138,1697.57603,3123.77179,1187.12371,881.60244,2627.21435,11692.47507,2185.07551,1443.84205,1505.37905,5003.49529,12055.09872,10123.6647,6463.36321,7761.34613,11722.9236,5279.70475,7442.7808,9975.41092,2787.83981,1296.60583,1995.2932,602.72743,390.41164,111.68346,53.2075
2008,132571.15125,2836.43028,35.67357,2055.51003,781.45206,938.84619,7.10326,9725.5149,2336.9868,1496.85476,4.16852,10551.59059,3797.46697,2214.76674,3035.79843,1393.70098,2777.51182,1004.16145,753.16335,2489.88356,9590.75542,1746.4441,1392.51494,1233.05057,4213.30402,9692.07269,9909.84077,5796.72571,6607.07893,9824.91897,4217.16597,6047.19085,8232.92094,2271.45067,975.79256,1691.22309,487.49856,294.03474,76.65114,33.93235
