年份,私营工业亏损企业亏损总额,煤炭开采和洗选业私营工业亏损企业亏损总额,石油和天然气开采业私营工业亏损企业亏损总额,黑色金属矿采选业私营工业亏损企业亏损总额,有色金属矿采选业私营工业亏损企业亏损总额,非金属矿采选业私营工业亏损企业亏损总额,其他采矿业私营工业亏损企业亏损总额,农副食品加工业私营工业亏损企业亏损总额,食品制造业私营工业亏损企业亏损总额,饮料制造业私营工业亏损企业亏损总额,烟草制品业私营工业亏损企业亏损总额,纺织业私营工业亏损企业亏损总额,纺织服装、鞋、帽制造业私营工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业私营工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业私营工业亏损企业亏损总额,家具制造业私营工业亏损企业亏损总额,造纸及纸制品业私营工业亏损企业亏损总额,印刷业和记录媒介的复制私营工业亏损企业亏损总额,文教体育用品制造业私营工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业私营工业亏损企业亏损总额,化学原料及化学制品制造业私营工业亏损企业亏损总额,医药制造业私营工业亏损企业亏损总额,化学纤维制造业私营工业亏损企业亏损总额,橡胶制品业私营工业亏损企业亏损总额,塑料制品业私营工业亏损企业亏损总额,非金属矿物制品业私营工业亏损企业亏损总额,黑色金属冶炼及压延加工业私营工业亏损企业亏损总额,有色金属冶炼及压延加工业私营工业亏损企业亏损总额,金属制品业私营工业亏损企业亏损总额,通用设备制造业私营工业亏损企业亏损总额,专用设备制造业私营工业亏损企业亏损总额,交通运输设备制造业私营工业亏损企业亏损总额,电气机械及器材制造业私营工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造私营工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业私营工业亏损企业亏损总额,工艺品及其他制造业私营工业亏损企业亏损总额,废弃资源和废旧材料回收加工业私营工业亏损企业亏损总额,电力、热力的生产和供应业私营工业亏损企业亏损总额,燃气生产和供应业私营工业亏损企业亏损总额,水的生产和供应业私营工业亏损企业亏损总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,332.34714,19.72598,0.4879,5.42564,2.20507,2.30417,0.0157,9.96274,5.72321,4.1025,,20.18585,4.05945,2.03014,3.58751,1.77728,4.98906,1.95193,1.01229,24.17015,24.1553,4.2472,3.68042,2.4369,8.61512,25.90512,28.67054,23.76524,11.81296,12.83439,6.61861,16.32606,22.45626,8.04948,4.7602,1.6105,1.87322,9.96184,0.4235,0.42771
2010,282.25878,15.78218,0.13525,6.43884,3.08619,1.99598,0.05142,10.63861,6.13629,3.33395,,13.98086,5.25786,1.69173,3.7627,2.21231,6.20308,2.38994,1.25883,21.65645,22.35528,6.28532,0.74128,1.71358,6.30315,28.57453,22.20433,12.00432,9.87687,12.35018,6.99442,12.89775,12.23119,5.94783,1.90636,1.7133,1.33923,9.04778,0.7293,1.03031
2009,384.99042,18.65356,0.60159,17.15044,5.66075,2.23203,0.00157,11.19209,6.38912,8.96535,,22.32818,6.99555,2.81178,5.05605,2.75006,8.72532,3.27013,1.22553,27.16775,34.6191,6.15705,2.29283,1.20031,6.97883,30.91477,39.4227,18.21798,12.30192,17.34589,8.34528,12.68892,14.42121,8.98335,2.24616,2.06319,3.30331,10.85525,0.46209,0.99343
2008,364.291,11.07099,0.07693,6.63357,3.97032,1.10793,0.02692,14.87616,4.43248,4.79584,,28.23011,8.68389,3.0594,3.46057,3.28169,8.59885,3.28126,1.81603,12.93217,22.03272,5.86302,7.47038,2.98286,7.56018,24.98376,50.9179,32.3468,11.26291,15.0072,7.93621,11.62769,13.92351,8.62024,1.81316,2.72222,4.55851,11.447,0.30173,0.57789
2007,184.89931,6.37963,0.01916,2.58035,2.10101,0.98369,0.01089,6.56999,3.57208,4.16272,,18.52029,5.41492,1.85913,2.4171,1.37757,5.25034,2.06408,1.18465,3.46739,15.53099,5.46175,1.70929,0.9551,4.78204,18.00812,15.55269,11.70481,5.78951,8.26214,4.29306,5.72786,7.04424,4.23092,1.33035,1.11005,0.24988,4.63669,0.23562,0.34921
