年份,私营工业企业所有者权益合计,煤炭开采和洗选业私营工业企业所有者权益合计,石油和天然气开采业私营工业企业所有者权益合计,黑色金属矿采选业私营工业企业所有者权益合计,有色金属矿采选业私营工业企业所有者权益合计,非金属矿采选业私营工业企业所有者权益合计,其他采矿业私营工业企业所有者权益合计,农副食品加工业私营工业企业所有者权益合计,食品制造业私营工业企业所有者权益合计,饮料制造业私营工业企业所有者权益合计,烟草制品业私营工业企业所有者权益合计,纺织业私营工业企业所有者权益合计,纺织服装、鞋、帽制造业私营工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业私营工业企业所有者权益合计,家具制造业私营工业企业所有者权益合计,造纸及纸制品业私营工业企业所有者权益合计,印刷业和记录媒介的复制私营工业企业所有者权益合计,文教体育用品制造业私营工业企业所有者权益合计,石油加工、炼焦及核燃料加工业私营工业企业所有者权益合计,化学原料及化学制品制造业私营工业企业所有者权益合计,医药制造业私营工业企业所有者权益合计,化学纤维制造业私营工业企业所有者权益合计,橡胶制品业私营工业企业所有者权益合计,塑料制品业私营工业企业所有者权益合计,非金属矿物制品业私营工业企业所有者权益合计,黑色金属冶炼及压延加工业私营工业企业所有者权益合计,有色金属冶炼及压延加工业私营工业企业所有者权益合计,金属制品业私营工业企业所有者权益合计,通用设备制造业私营工业企业所有者权益合计,专用设备制造业私营工业企业所有者权益合计,交通运输设备制造业私营工业企业所有者权益合计,电气机械及器材制造业私营工业企业所有者权益合计,通信设备、计算机及其他电子设备制造私营工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业私营工业企业所有者权益合计,工艺品及其他制造业私营工业企业所有者权益合计,废弃资源和废旧材料回收加工业私营工业企业所有者权益合计,电力、热力的生产和供应业私营工业企业所有者权益合计,燃气生产和供应业私营工业企业所有者权益合计,水的生产和供应业私营工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,57479.12,1679.11276,37.9039,1108.85803,421.76545,451.79699,3.83506,3751.92822,1296.80108,892.12965,1.97015,3540.93229,1331.91718,657.74111,1140.88118,655.11298,965.12258,458.97531,237.41377,875.86166,4320.49246,1284.81703,532.31032,631.79886,1667.64079,4930.52628,2632.54285,1683.70317,2819.34656,4318.40253,2351.60022,2896.80447,4389.98516,1444.75447,663.5227,613.93399,208.35584,482.03984,57.32899,39.15507
2010,52295.51,1508.57808,43.68478,899.29057,410.47069,415.3621,5.98305,3298.09772,1130.72164,771.34205,6.0364,3378.29186,1280.22834,603.89141,1084.34083,571.41944,994.93629,480.60232,251.38889,820.7,3833.4631,1063.92777,428.84751,490.91148,1626.28852,4395.97899,2491.00644,1381.0857,2455.41848,4293.77728,2093.381,2648.24041,3865.6415,1362.37618,571.09776,547.9278,129.34392,545.01885,64.59842,51.81083
2009,40383.67,1102.07756,56.35444,667.8291,308.86611,334.53916,1.91913,2596.88886,846.00042,617.09196,6.02024,3112.97146,979.58755,494.04871,866.02413,435.44008,805.3747,394.27761,191.92589,793.96611,3012.16601,835.97794,364.33678,366.1936,1282.70087,3462.12082,1910.97136,1096.27449,1870.34219,3099.08823,1548.34651,1840.03251,2696.648,881.31244,480.15122,450.24053,72.35598,415.43853,43.40408,44.36125
2008,33051.48,916.89836,22.07821,592.14524,299.15344,258.79923,1.68565,2029.94744,700.60961,499.20811,6.41866,2508.07692,885.16058,438.72067,750.34708,347.05162,684.50295,344.02144,174.35884,593.95272,2536.02323,650.61509,366.05839,310.58838,1070.27403,2824.61901,1557.86806,899.66901,1549.20027,2498.51302,1244.40576,1497.19773,2097.04974,717.15111,382.3763,369.35905,49.80341,311.26655,27.89663,38.40408
2007,22184.6,482.52237,8.43744,336.07683,212.22168,164.48813,1.11951,1339.91727,471.88296,340.27566,3.26204,1965.282,511.98123,298.21148,454.56708,243.08235,503.89305,218.21945,133.05861,443.68351,1606.17427,513.39666,292.1925,189.82159,723.89577,1894.66308,1275.89779,645.38432,1039.77744,1599.04462,746.79443,907.7391,1308.12969,535.38415,228.83129,254.14166,29.64564,219.70837,21.31628,20.47954
