年份,私营工业企业单位数,煤炭开采和洗选业私营工业企业单位数,石油和天然气开采业私营工业企业单位数,黑色金属矿采选业私营工业企业单位数,有色金属矿采选业私营工业企业单位数,非金属矿采选业私营工业企业单位数,其他采矿业私营工业企业单位数,农副食品加工业私营工业企业单位数,食品制造业私营工业企业单位数,饮料制造业私营工业企业单位数,烟草制品业私营工业企业单位数,纺织业私营工业企业单位数,纺织服装、鞋、帽制造业私营工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业私营工业企业单位数,木材加工及木、竹、藤、棕、草制品业私营工业企业单位数,家具制造业私营工业企业单位数,造纸及纸制品业私营工业企业单位数,印刷业和记录媒介的复制私营工业企业单位数,文教体育用品制造业私营工业企业单位数,石油加工、炼焦及核燃料加工业私营工业企业单位数,化学原料及化学制品制造业私营工业企业单位数,医药制造业私营工业企业单位数,化学纤维制造业私营工业企业单位数,橡胶制品业私营工业企业单位数,塑料制品业私营工业企业单位数,非金属矿物制品业私营工业企业单位数,黑色金属冶炼及压延加工业私营工业企业单位数,有色金属冶炼及压延加工业私营工业企业单位数,金属制品业私营工业企业单位数,通用设备制造业私营工业企业单位数,专用设备制造业私营工业企业单位数,交通运输设备制造业私营工业企业单位数,电气机械及器材制造业私营工业企业单位数,通信设备、计算机及其他电子设备制造私营工业企业单位数,仪器仪表及文化、办公用机械制造业私营工业企业单位数,工艺品及其他制造业私营工业企业单位数,废弃资源和废旧材料回收加工业私营工业企业单位数,电力、热力的生产和供应业私营工业企业单位数,燃气生产和供应业私营工业企业单位数,水的生产和供应业私营工业企业单位数
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,180612.0,4420.0,46.0,2536.0,1058.0,2094.0,10.0,13130.0,3658.0,2539.0,5.0,14883.0,6060.0,3273.0,6065.0,2485.0,4182.0,1978.0,1354.0,1015.0,12089.0,2436.0,1208.0,1847.0,7471.0,15779.0,4246.0,3926.0,9982.0,15851.0,7461.0,7463.0,10638.0,3667.0,1703.0,2629.0,603.0,547.0,171.0,104.0
2010,273259.0,5531.0,80.0,3275.0,1346.0,3174.0,25.0,17114.0,5188.0,3729.0,8.0,23268.0,10359.0,5273.0,8741.0,3661.0,6582.0,4083.0,2500.0,1302.0,17162.0,3118.0,1362.0,2953.0,13017.0,22228.0,5302.0,5065.0,16679.0,26385.0,11798.0,11638.0,15838.0,5629.0,2869.0,4626.0,794.0,1092.0,242.0,223.0
2009,256031.0,5206.0,103.0,3001.0,1308.0,2832.0,17.0,16169.0,4825.0,3387.0,8.0,22201.0,9764.0,4880.0,8211.0,3396.0,6250.0,3808.0,2351.0,1320.0,16726.0,2911.0,1369.0,2750.0,12000.0,20427.0,5197.0,4929.0,15752.0,24300.0,10884.0,10595.0,14737.0,5173.0,2708.0,4418.0,701.0,1012.0,214.0,191.0
2008,245850.0,5181.0,78.0,2955.0,1327.0,2574.0,13.0,14774.0,4371.0,3029.0,6.0,22559.0,9469.0,4826.0,7789.0,3158.0,6191.0,3615.0,2286.0,1335.0,16017.0,2669.0,1393.0,2679.0,11601.0,18694.0,5318.0,4891.0,15290.0,23755.0,10334.0,10089.0,13980.0,4982.0,2551.0,4225.0,626.0,859.0,181.0,180.0
2007,177080.0,3601.0,22.0,2104.0,1093.0,1754.0,16.0,10783.0,3240.0,2209.0,1.0,17716.0,6882.0,3742.0,5580.0,2257.0,4786.0,2514.0,1888.0,1112.0,12108.0,2198.0,964.0,1879.0,8292.0,13515.0,4460.0,3719.0,10428.0,15850.0,6641.0,6733.0,9505.0,3356.0,1741.0,3245.0,372.0,591.0,84.0,99.0
2006,149736.0,2991.0,21.0,1768.0,881.0,1405.0,8.0,9256.0,2757.0,1819.0,3.0,15491.0,5925.0,3318.0,4312.0,1901.0,4359.0,2111.0,1563.0,1086.0,10375.0,1940.0,820.0,1592.0,6983.0,11534.0,4300.0,3081.0,8673.0,12842.0,5408.0,5644.0,7859.0,2653.0,1424.0,2760.0,257.0,465.0,59.0,92.0
