年份,私营工业企业实收资本,煤炭开采和洗选业私营工业企业实收资本,石油和天然气开采业私营工业企业实收资本,黑色金属矿采选业私营工业企业实收资本,有色金属矿采选业私营工业企业实收资本,非金属矿采选业私营工业企业实收资本,其他采矿业私营工业企业实收资本,农副食品加工业私营工业企业实收资本,食品制造业私营工业企业实收资本,饮料制造业私营工业企业实收资本,烟草制品业私营工业企业实收资本,纺织业私营工业企业实收资本,纺织服装、鞋、帽制造业私营工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业私营工业企业实收资本,木材加工及木、竹、藤、棕、草制品业私营工业企业实收资本,家具制造业私营工业企业实收资本,造纸及纸制品业私营工业企业实收资本,印刷业和记录媒介的复制私营工业企业实收资本,文教体育用品制造业私营工业企业实收资本,石油加工、炼焦及核燃料加工业私营工业企业实收资本,化学原料及化学制品制造业私营工业企业实收资本,医药制造业私营工业企业实收资本,化学纤维制造业私营工业企业实收资本,橡胶制品业私营工业企业实收资本,塑料制品业私营工业企业实收资本,非金属矿物制品业私营工业企业实收资本,黑色金属冶炼及压延加工业私营工业企业实收资本,有色金属冶炼及压延加工业私营工业企业实收资本,金属制品业私营工业企业实收资本,通用设备制造业私营工业企业实收资本,专用设备制造业私营工业企业实收资本,交通运输设备制造业私营工业企业实收资本,电气机械及器材制造业私营工业企业实收资本,通信设备、计算机及其他电子设备制造私营工业企业实收资本,仪器仪表及文化、办公用机械制造业私营工业企业实收资本,工艺品及其他制造业私营工业企业实收资本,废弃资源和废旧材料回收加工业私营工业企业实收资本,电力、热力的生产和供应业私营工业企业实收资本,燃气生产和供应业私营工业企业实收资本,水的生产和供应业私营工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,25276.48958,699.92015,18.88035,375.96946,176.47116,201.90581,1.75724,1484.30768,522.24661,332.94531,1.6185,1811.04017,629.58365,272.1431,496.41625,283.06435,485.43547,188.6522,88.23669,448.74482,1843.45496,504.92656,244.84374,224.6582,772.48913,2222.78815,1377.10841,738.01838,1268.67701,1847.99078,1049.23761,1131.34928,2046.57988,586.81775,264.28027,244.83106,77.29347,258.79599,31.39462,21.61536
2010,23422.79196,651.98729,20.49582,311.17432,184.11729,200.0877,2.5428,1327.36111,429.18867,357.61333,2.73503,1628.965,531.31901,258.33939,474.54881,270.49098,462.52931,245.16313,116.33376,412.40607,1626.93608,455.02455,190.69664,216.49617,740.3536,2137.79315,1112.27051,679.14082,1156.73562,1912.69044,889.99479,1040.28314,1800.31283,605.62029,252.59456,243.71299,58.61471,349.14539,36.98064,29.99622
2009,19638.23404,521.32607,20.95393,300.40638,135.28724,161.91537,1.26137,1130.25198,359.41866,306.23884,2.76503,1451.10505,457.53027,230.02957,417.76197,226.11577,460.59672,213.31271,104.42269,434.14216,1391.83506,391.38631,185.38374,166.20208,613.47341,1763.11011,903.7455,547.45189,972.19988,1496.25731,751.19998,850.17434,1402.7709,425.35074,242.2236,215.24161,42.60249,290.36216,24.7202,27.70095
2008,16883.01813,480.02196,11.71713,240.39037,139.99962,138.98783,1.32179,1012.75052,333.24836,264.52195,2.64303,1355.34851,424.30632,214.01374,398.62204,196.92157,365.9792,196.26928,88.3991,281.69643,1208.10955,346.12094,166.58285,148.17021,550.92239,1542.85222,825.81543,462.95656,816.62024,1224.52725,629.4565,697.93598,1105.38572,356.03776,185.9257,185.02248,27.87125,213.35379,16.00744,26.18512
2007,11680.93786,263.60679,5.31296,139.16467,81.76743,83.87805,1.00897,692.62312,238.72464,194.19857,1.2,1068.09684,298.41125,159.416,247.85601,141.16579,273.96673,131.05878,68.13703,200.974,823.96907,268.51987,147.30299,105.12064,377.67199,1076.9588,655.36642,316.93183,551.0123,856.5605,383.36031,458.03987,691.35737,248.48906,115.91224,124.80428,14.91634,152.58936,9.22811,12.25888
2006,9149.78,180.89658,2.44159,95.9562,61.98651,63.05319,0.2158,522.39998,191.82875,141.32315,0.07498,893.0691,243.72257,130.97388,177.49965,104.84778,253.7566,108.52585,56.27162,210.52996,606.2196,221.07214,110.94767,80.26426,299.02445,845.39106,564.00118,235.2944,428.02396,627.73369,293.7612,344.52923,528.30129,185.83181,79.43026,108.44286,11.38146,120.91521,6.62901,13.21388
