年份,私营工业企业主营业务收入,煤炭开采和洗选业私营工业企业主营业务收入,石油和天然气开采业私营工业企业主营业务收入,黑色金属矿采选业私营工业企业主营业务收入,有色金属矿采选业私营工业企业主营业务收入,非金属矿采选业私营工业企业主营业务收入,其他采矿业私营工业企业主营业务收入,农副食品加工业私营工业企业主营业务收入,食品制造业私营工业企业主营业务收入,饮料制造业私营工业企业主营业务收入,烟草制品业私营工业企业主营业务收入,纺织业私营工业企业主营业务收入,纺织服装、鞋、帽制造业私营工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业私营工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业私营工业企业主营业务收入,家具制造业私营工业企业主营业务收入,造纸及纸制品业私营工业企业主营业务收入,印刷业和记录媒介的复制私营工业企业主营业务收入,文教体育用品制造业私营工业企业主营业务收入,石油加工、炼焦及核燃料加工业私营工业企业主营业务收入,化学原料及化学制品制造业私营工业企业主营业务收入,医药制造业私营工业企业主营业务收入,化学纤维制造业私营工业企业主营业务收入,橡胶制品业私营工业企业主营业务收入,塑料制品业私营工业企业主营业务收入,非金属矿物制品业私营工业企业主营业务收入,黑色金属冶炼及压延加工业私营工业企业主营业务收入,有色金属冶炼及压延加工业私营工业企业主营业务收入,金属制品业私营工业企业主营业务收入,通用设备制造业私营工业企业主营业务收入,专用设备制造业私营工业企业主营业务收入,交通运输设备制造业私营工业企业主营业务收入,电气机械及器材制造业私营工业企业主营业务收入,通信设备、计算机及其他电子设备制造私营工业企业主营业务收入,仪器仪表及文化、办公用机械制造业私营工业企业主营业务收入,工艺品及其他制造业私营工业企业主营业务收入,废弃资源和废旧材料回收加工业私营工业企业主营业务收入,电力、热力的生产和供应业私营工业企业主营业务收入,燃气生产和供应业私营工业企业主营业务收入,水的生产和供应业私营工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,247277.89,6368.31547,70.03749,4424.291,1662.31582,2155.20681,8.22104,19650.3116,4744.1477,3196.937,4.52208,16166.36943,5919.32009,3477.54484,5919.70803,2522.25589,4512.39202,1612.79917,1107.62021,4649.00354,18927.57085,3757.76682,2302.36511,2618.47401,7282.31955,19225.0946,16261.38814,10881.91418,11359.32753,17869.79314,9053.23771,11519.44527,16224.09491,4692.87671,2004.08414,3043.42168,1237.14828,584.50261,185.11914,76.62729
2010,207838.22,5032.17666,88.31895,3417.20469,1244.23742,1741.94352,22.06654,15946.44812,3971.72612,2605.44053,4.53759,14818.24449,5455.60412,3112.25953,4909.32848,2230.85559,4064.13018,1502.4952,1115.78377,3511.58281,15397.64003,2902.84947,1727.50278,1986.66691,6615.74877,15707.69046,13519.32891,8901.89296,9981.88576,15595.07076,7072.72407,10232.25992,13412.39842,3993.9256,1619.68408,2498.59263,1063.60761,562.98348,180.92061,70.46718
2009,156603.57,3398.83294,81.56413,2209.21074,854.14867,1250.85815,11.47576,12287.09414,2877.34607,1964.7158,3.71315,12605.7561,4426.38884,2444.79558,3781.58483,1692.46968,3093.08747,1178.88804,881.95628,2580.84446,11600.41359,2152.33685,1416.22578,1483.42415,4955.31207,11936.28296,10143.73187,6422.90475,7707.58192,11580.49387,5217.99976,7318.04829,9856.05215,2759.38889,1271.96545,1997.36274,608.02209,387.06453,111.31749,52.9062
2008,131525.4,2877.23598,34.5699,2038.361,778.3876,926.59244,7.07411,9693.84711,2308.71546,1447.81953,4.07352,10452.54751,3767.39636,2185.5228,3030.81956,1384.64664,2758.86277,988.8571,748.86384,2547.37592,9503.3559,1704.15523,1383.56068,1223.33889,4193.92914,9555.34815,9930.79995,5752.84613,6573.13594,9729.4861,4159.4176,5908.28345,8130.58428,2255.21056,970.93219,1679.4859,485.74416,293.78469,76.19858,34.23386
2007,90277.81,1538.08828,13.04218,1123.27068,602.53102,597.86457,6.08958,6448.85686,1598.38737,954.23426,0.4264,8331.34705,2458.34956,1677.81869,1966.05184,940.53226,1942.06628,635.74993,572.10927,1650.96171,6453.48641,1191.94699,1323.76073,768.48151,3075.45879,6210.06576,7089.8093,4324.57022,4557.02061,6363.88538,2583.54722,3554.09404,5620.31603,1657.74897,622.23836,1199.96881,330.71487,223.0183,45.28878,24.60833
