年份,私营工业企业应收账款净额,煤炭开采和洗选业私营工业企业应收账款净额,石油和天然气开采业私营工业企业应收账款净额,黑色金属矿采选业私营工业企业应收账款净额,有色金属矿采选业私营工业企业应收账款净额,非金属矿采选业私营工业企业应收账款净额,其他采矿业私营工业企业应收账款净额,农副食品加工业私营工业企业应收账款净额,食品制造业私营工业企业应收账款净额,饮料制造业私营工业企业应收账款净额,烟草制品业私营工业企业应收账款净额,纺织业私营工业企业应收账款净额,纺织服装、鞋、帽制造业私营工业企业应收账款净额,皮革、毛皮、羽毛(绒)及其制品业私营工业企业应收账款净额,木材加工及木、竹、藤、棕、草制品业私营工业企业应收账款净额,家具制造业私营工业企业应收账款净额,造纸及纸制品业私营工业企业应收账款净额,印刷业和记录媒介的复制私营工业企业应收账款净额,文教体育用品制造业私营工业企业应收账款净额,石油加工、炼焦及核燃料加工业私营工业企业应收账款净额,化学原料及化学制品制造业私营工业企业应收账款净额,医药制造业私营工业企业应收账款净额,化学纤维制造业私营工业企业应收账款净额,橡胶制品业私营工业企业应收账款净额,塑料制品业私营工业企业应收账款净额,非金属矿物制品业私营工业企业应收账款净额,黑色金属冶炼及压延加工业私营工业企业应收账款净额,有色金属冶炼及压延加工业私营工业企业应收账款净额,金属制品业私营工业企业应收账款净额,通用设备制造业私营工业企业应收账款净额,专用设备制造业私营工业企业应收账款净额,交通运输设备制造业私营工业企业应收账款净额,电气机械及器材制造业私营工业企业应收账款净额,通信设备、计算机及其他电子设备制造私营工业企业应收账款净额,仪器仪表及文化、办公用机械制造业私营工业企业应收账款净额,工艺品及其他制造业私营工业企业应收账款净额,废弃资源和废旧材料回收加工业私营工业企业应收账款净额,电力、热力的生产和供应业私营工业企业应收账款净额,燃气生产和供应业私营工业企业应收账款净额,水的生产和供应业私营工业企业应收账款净额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,16244.407,352.09101,6.67855,185.03306,55.84418,58.10581,0.44818,533.42403,190.98427,110.91986,0.45321,958.26516,364.28299,226.82675,162.70961,127.83495,318.43607,152.51066,64.1663,186.95202,1073.75481,239.69715,118.36527,176.52642,546.74163,1258.52706,664.16669,512.65878,928.64289,1498.90768,821.12351,1087.28459,2055.07057,627.62369,259.45837,172.99632,65.07242,66.48411,8.58416,6.75421
2010,15137.66328,273.31081,10.50331,164.12029,54.22954,62.23974,0.75824,468.71759,178.99993,101.10739,0.69544,930.04111,343.36685,214.08123,163.09435,133.69744,322.08266,185.81057,67.39589,173.72795,972.727,220.93006,85.94407,165.50034,582.55716,1078.84489,519.2373,474.24133,945.87366,1549.65459,756.29759,1034.92124,1792.05693,597.87973,223.48395,168.94442,47.86284,57.41211,8.47471,6.83903
2009,11944.17718,186.52503,15.37117,131.54395,43.03088,51.77994,0.16442,377.69124,131.93302,84.87674,0.75591,851.86155,292.45178,167.98768,132.58188,98.69742,267.73238,139.32351,56.13041,139.67913,791.66468,184.0609,72.23855,126.53384,462.65747,846.13462,412.08357,347.41904,744.65331,1210.87134,576.01561,777.56475,1359.96607,435.57472,197.34307,141.3245,31.97895,43.78031,6.43479,5.75905
2008,10375.75546,201.71479,5.71856,164.41863,42.47857,50.93849,0.22196,330.82615,115.86305,76.93311,0.51114,784.96859,257.44089,154.65815,142.79367,81.88473,239.66712,131.65549,50.52117,121.56609,654.70627,148.85992,63.88851,115.40187,415.51799,711.65838,362.74358,298.36719,644.3736,1068.78829,500.02591,625.68622,1118.59416,335.49021,155.16903,124.52459,28.98385,39.17255,3.80694,5.21605
2007,7500.20919,94.45503,2.23889,88.35637,36.38766,30.45854,0.19784,240.58106,81.71429,56.39345,0.4287,648.38666,183.37569,123.02077,83.35811,60.17648,190.39616,89.93378,45.42163,91.42173,505.83386,113.71483,62.31767,71.77374,296.32928,485.11853,315.70705,236.91353,458.80035,763.25183,336.26461,424.35268,777.59171,260.17931,103.75951,93.79244,15.14966,29.31833,1.75361,1.58382
