年份,私营工业企业流动资产合计,煤炭开采和洗选业私营工业企业流动资产合计,石油和天然气开采业私营工业企业流动资产合计,黑色金属矿采选业私营工业企业流动资产合计,有色金属矿采选业私营工业企业流动资产合计,非金属矿采选业私营工业企业流动资产合计,其他采矿业私营工业企业流动资产合计,农副食品加工业私营工业企业流动资产合计,食品制造业私营工业企业流动资产合计,饮料制造业私营工业企业流动资产合计,烟草制品业私营工业企业流动资产合计,纺织业私营工业企业流动资产合计,纺织服装、鞋、帽制造业私营工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业私营工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业私营工业企业流动资产合计,家具制造业私营工业企业流动资产合计,造纸及纸制品业私营工业企业流动资产合计,印刷业和记录媒介的复制私营工业企业流动资产合计,文教体育用品制造业私营工业企业流动资产合计,石油加工、炼焦及核燃料加工业私营工业企业流动资产合计,化学原料及化学制品制造业私营工业企业流动资产合计,医药制造业私营工业企业流动资产合计,化学纤维制造业私营工业企业流动资产合计,橡胶制品业私营工业企业流动资产合计,塑料制品业私营工业企业流动资产合计,非金属矿物制品业私营工业企业流动资产合计,黑色金属冶炼及压延加工业私营工业企业流动资产合计,有色金属冶炼及压延加工业私营工业企业流动资产合计,金属制品业私营工业企业流动资产合计,通用设备制造业私营工业企业流动资产合计,专用设备制造业私营工业企业流动资产合计,交通运输设备制造业私营工业企业流动资产合计,电气机械及器材制造业私营工业企业流动资产合计,通信设备、计算机及其他电子设备制造私营工业企业流动资产合计,仪器仪表及文化、办公用机械制造业私营工业企业流动资产合计,工艺品及其他制造业私营工业企业流动资产合计,废弃资源和废旧材料回收加工业私营工业企业流动资产合计,电力、热力的生产和供应业私营工业企业流动资产合计,燃气生产和供应业私营工业企业流动资产合计,水的生产和供应业私营工业企业流动资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,69059.45,1951.42793,21.86785,1050.60738,372.70705,296.91195,2.92457,3265.72845,1080.58582,752.21749,5.36446,4609.85908,1658.70153,797.09854,886.48291,674.33618,1135.98153,520.96065,273.71662,1653.22978,4846.12001,1181.96652,862.96205,669.27523,1923.71544,4624.05226,4676.02082,2736.16202,4030.04433,5009.697,2795.12556,4148.39547,6134.64372,1927.43451,902.98958,821.00804,297.35559,365.07132,55.36086,41.33706
2010,61798.67,1588.41206,23.80006,887.20102,347.29865,295.46458,4.2303,2785.58574,926.88042,702.03531,4.90168,4524.54111,1530.59465,764.30593,849.89181,627.5237,1105.28779,558.60104,308.81296,1253.39052,4173.50941,984.49082,691.41895,569.7535,1917.86166,4113.23719,3847.02603,2348.56023,3303.98071,4937.55211,2536.33765,3996.9006,5328.13949,1759.50836,724.19464,731.87365,217.56772,425.76472,56.52753,45.70622
2009,47550.43,1008.05926,25.38025,717.27323,272.47849,224.64728,0.98316,2277.14783,693.2477,571.82009,5.01908,3996.22364,1230.79291,607.90973,687.28651,471.74001,921.06582,446.36326,244.87298,951.36444,3238.4546,793.53979,554.3071,413.75172,1488.5038,3194.55972,2874.10415,1612.23988,2614.36994,3750.85944,1907.23629,2840.49008,3877.39656,1227.85607,648.75688,594.45353,155.91426,325.87147,41.54545,42.54788
2008,40572.42,850.82723,17.52231,669.71767,249.4192,193.418,0.65569,1855.77503,629.38796,462.41957,4.4908,3464.61696,1107.97309,551.54656,636.00263,406.87916,817.78197,401.30998,225.592,805.29199,2670.27304,605.25706,496.2055,363.13663,1346.9863,2726.07618,2471.40371,1304.4361,2254.8968,3335.85327,1659.99117,2432.56449,3092.05819,997.06102,533.5583,491.85743,113.42185,256.16048,30.0423,40.54834
2007,29412.56,437.82313,4.73101,379.00502,220.50003,135.45655,0.64539,1391.35794,446.09111,329.7597,0.88135,2854.92976,735.11751,424.87918,433.00441,290.66789,620.73482,274.37995,189.51237,601.01277,2000.64756,475.00474,489.60834,224.52969,994.18454,1883.03368,2032.51776,1064.10986,1648.36589,2294.73107,1082.21965,1547.07566,2160.86734,795.42987,323.33399,353.87566,61.05265,168.72034,24.80833,17.95346
