年份,私营工业企业累计折旧,煤炭开采和洗选业私营工业企业累计折旧,石油和天然气开采业私营工业企业累计折旧,黑色金属矿采选业私营工业企业累计折旧,有色金属矿采选业私营工业企业累计折旧,非金属矿采选业私营工业企业累计折旧,其他采矿业私营工业企业累计折旧,农副食品加工业私营工业企业累计折旧,食品制造业私营工业企业累计折旧,饮料制造业私营工业企业累计折旧,烟草制品业私营工业企业累计折旧,纺织业私营工业企业累计折旧,纺织服装、鞋、帽制造业私营工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业私营工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业私营工业企业累计折旧,家具制造业私营工业企业累计折旧,造纸及纸制品业私营工业企业累计折旧,印刷业和记录媒介的复制私营工业企业累计折旧,文教体育用品制造业私营工业企业累计折旧,石油加工、炼焦及核燃料加工业私营工业企业累计折旧,化学原料及化学制品制造业私营工业企业累计折旧,医药制造业私营工业企业累计折旧,化学纤维制造业私营工业企业累计折旧,橡胶制品业私营工业企业累计折旧,塑料制品业私营工业企业累计折旧,非金属矿物制品业私营工业企业累计折旧,黑色金属冶炼及压延加工业私营工业企业累计折旧,有色金属冶炼及压延加工业私营工业企业累计折旧,金属制品业私营工业企业累计折旧,通用设备制造业私营工业企业累计折旧,专用设备制造业私营工业企业累计折旧,交通运输设备制造业私营工业企业累计折旧,电气机械及器材制造业私营工业企业累计折旧,通信设备、计算机及其他电子设备制造私营工业企业累计折旧,仪器仪表及文化、办公用机械制造业私营工业企业累计折旧,工艺品及其他制造业私营工业企业累计折旧,废弃资源和废旧材料回收加工业私营工业企业累计折旧,电力、热力的生产和供应业私营工业企业累计折旧,燃气生产和供应业私营工业企业累计折旧,水的生产和供应业私营工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,25473.61004,507.85962,42.41179,307.37387,108.72764,244.83735,1.70741,2258.72409,422.25388,309.00714,0.59506,1749.04799,417.08301,235.28131,488.62954,183.99027,480.45382,204.25209,82.2124,504.88142,2262.45273,425.81083,288.35385,325.63383,749.40906,2331.18658,1872.39693,781.96448,1152.75135,1887.21022,934.44091,1207.92695,1531.36013,440.94456,180.83539,201.22127,76.52268,235.22317,20.64251,17.99291
2010,18217.63423,600.9342,10.84784,213.68349,81.77808,139.65735,7.13614,1334.55778,316.94998,241.47378,1.30193,1469.44252,341.1631,177.97058,339.72431,163.13389,389.55758,210.18718,69.88586,392.16009,1363.7286,351.6937,190.41211,160.12989,602.54256,1539.58958,1299.13931,551.84719,851.08194,1394.84212,600.6888,769.80584,1116.8485,329.62525,131.68875,139.89433,38.99658,244.31636,19.81781,19.39933
2009,12318.92661,224.7501,11.13278,157.56207,53.97695,82.1825,2.59072,749.3811,220.06831,166.95712,1.24215,1277.65895,286.58635,132.73043,239.08141,119.23627,303.02997,169.45448,59.09872,198.34011,876.23525,242.65098,162.7787,101.06491,432.28429,1255.87889,709.93179,369.59279,576.45756,875.3125,421.81436,490.53734,670.79808,230.42937,91.09254,102.63429,20.87546,205.62596,10.81011,17.06095
2008,9757.65787,159.32246,9.8643,131.01166,69.53665,77.76308,0.30853,506.20508,170.31064,109.71016,1.14186,1017.279,245.44388,97.20649,183.84565,85.99649,247.01961,147.4914,50.39096,156.04387,722.49576,210.57841,143.29192,79.82766,345.86238,1001.12301,560.35902,306.01389,497.21299,718.43544,305.83038,401.34524,482.01741,185.4606,68.81098,79.45943,19.65878,140.173,7.54857,16.26123
2007,6026.03504,95.89173,4.04064,95.21351,36.77667,45.35459,0.46493,310.53854,104.35092,77.01502,0.68304,696.37166,127.99361,61.647,96.82411,49.34766,162.57054,81.93963,30.83876,112.77946,459.01596,121.26665,124.38776,49.69037,208.05269,687.41463,355.62791,156.7555,273.16512,406.40514,170.43117,228.73277,279.81092,99.28371,37.40247,54.88053,8.74673,96.23231,6.41568,11.675
