年份,私营工业企业国家资本金,煤炭开采和洗选业私营工业企业国家资本金,石油和天然气开采业私营工业企业国家资本金,黑色金属矿采选业私营工业企业国家资本金,有色金属矿采选业私营工业企业国家资本金,非金属矿采选业私营工业企业国家资本金,其他采矿业私营工业企业国家资本金,农副食品加工业私营工业企业国家资本金,食品制造业私营工业企业国家资本金,饮料制造业私营工业企业国家资本金,烟草制品业私营工业企业国家资本金,纺织业私营工业企业国家资本金,纺织服装、鞋、帽制造业私营工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业国家资本金,家具制造业私营工业企业国家资本金,造纸及纸制品业私营工业企业国家资本金,印刷业和记录媒介的复制私营工业企业国家资本金,文教体育用品制造业私营工业企业国家资本金,石油加工、炼焦及核燃料加工业私营工业企业国家资本金,化学原料及化学制品制造业私营工业企业国家资本金,医药制造业私营工业企业国家资本金,化学纤维制造业私营工业企业国家资本金,橡胶制品业私营工业企业国家资本金,塑料制品业私营工业企业国家资本金,非金属矿物制品业私营工业企业国家资本金,黑色金属冶炼及压延加工业私营工业企业国家资本金,有色金属冶炼及压延加工业私营工业企业国家资本金,金属制品业私营工业企业国家资本金,通用设备制造业私营工业企业国家资本金,专用设备制造业私营工业企业国家资本金,交通运输设备制造业私营工业企业国家资本金,电气机械及器材制造业私营工业企业国家资本金,通信设备、计算机及其他电子设备制造私营工业企业国家资本金,仪器仪表及文化、办公用机械制造业私营工业企业国家资本金,工艺品及其他制造业私营工业企业国家资本金,废弃资源和废旧材料回收加工业私营工业企业国家资本金,电力、热力的生产和供应业私营工业企业国家资本金,燃气生产和供应业私营工业企业国家资本金,水的生产和供应业私营工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,87.33503,3.33024,,1.23315,1.6512,0.69179,,3.60422,1.05788,3.79544,,1.478,1.29409,0.328,0.57999,0.24283,1.15765,0.3192,0.0913,0.1784,5.52436,6.53664,,0.08866,2.51693,9.83807,2.07581,3.46525,1.27136,4.67106,2.99552,3.24921,6.94753,2.7193,0.73719,0.19787,0.5,11.86051,0.13568,0.9707
2010,86.98913,4.82933,0.56636,0.8696,0.88942,2.7666,,6.04613,3.16215,1.20253,,2.50627,0.12647,0.27325,0.38831,0.07672,0.91028,0.24966,1.86711,0.56425,4.36591,1.62972,1.25,0.0985,0.84952,6.40056,1.03165,7.44038,1.70589,4.80274,2.94165,6.48388,5.08138,1.85061,0.60281,0.1,0.052,11.68968,,1.31781
2009,73.29882,0.52449,,0.03493,0.71956,0.9286,,4.53869,1.61025,1.25385,,2.5851,0.29951,0.03384,0.53932,0.17872,0.54632,0.50046,0.24715,0.61445,14.0767,1.87858,1.32962,0.25178,1.09767,8.19439,0.99665,2.39927,2.25727,3.23614,1.21935,6.61116,7.94145,1.29399,0.64246,0.27966,0.1505,2.68057,0.515,1.09137
2008,50.25894,1.14986,,0.48499,0.67702,0.9475,,9.86463,2.23345,0.80837,,2.42189,0.63307,0.1635,0.56854,0.10222,0.15325,0.69226,0.038,0.0751,2.45386,2.12313,1.27,0.77567,0.3216,5.0058,1.5184,0.12247,0.99602,1.38281,2.26485,4.54758,1.54513,0.29994,0.57184,0.30579,,2.10136,0.315,1.32404
2007,31.22013,1.65015,,0.00626,0.79482,0.56896,,3.3334,1.21923,0.26358,,2.47485,0.1258,0.0162,0.29847,0.06552,0.89275,0.18569,,1.17528,1.36871,1.10522,1.251,0.06625,0.1688,1.77336,3.65212,0.45732,0.15941,1.4685,0.87449,0.35671,0.52839,0.16366,0.07302,0.0509,,4.22601,0.11895,0.28635
2006,25.85,1.09625,,0.051,0.64794,0.08652,,2.60329,0.83157,0.19241,,0.24373,0.00316,0.0574,0.26345,0.06127,0.05557,0.04956,0.0108,1.7291,1.24256,0.2634,1.26347,0.01876,0.22662,1.582,2.04019,6.55626,0.10465,0.72755,0.3144,0.72986,0.72359,0.35313,0.48434,0.00865,,0.91512,0.012,0.29854
