年份,私营工业企业管理费用,煤炭开采和洗选业私营工业企业管理费用,石油和天然气开采业私营工业企业管理费用,黑色金属矿采选业私营工业企业管理费用,有色金属矿采选业私营工业企业管理费用,非金属矿采选业私营工业企业管理费用,其他采矿业私营工业企业管理费用,农副食品加工业私营工业企业管理费用,食品制造业私营工业企业管理费用,饮料制造业私营工业企业管理费用,烟草制品业私营工业企业管理费用,纺织业私营工业企业管理费用,纺织服装、鞋、帽制造业私营工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业私营工业企业管理费用,木材加工及木、竹、藤、棕、草制品业私营工业企业管理费用,家具制造业私营工业企业管理费用,造纸及纸制品业私营工业企业管理费用,印刷业和记录媒介的复制私营工业企业管理费用,文教体育用品制造业私营工业企业管理费用,石油加工、炼焦及核燃料加工业私营工业企业管理费用,化学原料及化学制品制造业私营工业企业管理费用,医药制造业私营工业企业管理费用,化学纤维制造业私营工业企业管理费用,橡胶制品业私营工业企业管理费用,塑料制品业私营工业企业管理费用,非金属矿物制品业私营工业企业管理费用,黑色金属冶炼及压延加工业私营工业企业管理费用,有色金属冶炼及压延加工业私营工业企业管理费用,金属制品业私营工业企业管理费用,通用设备制造业私营工业企业管理费用,专用设备制造业私营工业企业管理费用,交通运输设备制造业私营工业企业管理费用,电气机械及器材制造业私营工业企业管理费用,通信设备、计算机及其他电子设备制造私营工业企业管理费用,仪器仪表及文化、办公用机械制造业私营工业企业管理费用,工艺品及其他制造业私营工业企业管理费用,废弃资源和废旧材料回收加工业私营工业企业管理费用,电力、热力的生产和供应业私营工业企业管理费用,燃气生产和供应业私营工业企业管理费用,水的生产和供应业私营工业企业管理费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7751.17638,296.88209,3.02196,118.67874,63.7669,82.47147,0.42766,486.84459,161.74227,106.19921,0.24012,408.93008,206.82126,125.12549,173.30471,94.6011,132.35734,62.48741,41.86162,96.31588,558.30554,172.17439,41.28087,78.3089,232.76455,579.77801,256.68567,246.86599,404.07304,635.97191,427.96195,406.68055,567.3733,229.37177,106.35029,77.67906,27.31016,25.76451,9.48977,4.90625
2010,7179.90209,260.35881,4.78514,112.15458,56.44762,77.15186,0.86741,457.72248,148.09202,97.19916,0.15967,399.38958,213.01899,107.62523,159.17328,91.12712,132.54625,67.35461,47.88735,84.25972,524.69576,156.87745,29.53974,78.1065,221.84494,534.50696,243.76713,210.54406,352.10386,630.64715,329.60536,391.8247,514.91891,204.21449,94.24176,78.93951,20.94364,32.73113,6.86393,5.66423
2009,4941.54177,168.81648,3.34072,73.06791,34.31889,47.64053,0.30638,279.3501,91.64682,61.55813,0.12497,306.88739,166.08507,83.15107,95.20955,63.13172,88.83242,50.62004,33.78427,59.8799,356.00672,111.42631,25.71044,47.45672,157.63736,372.63321,163.37603,122.60327,253.82764,437.50661,229.59853,262.13539,360.13313,154.36403,76.16989,59.9395,12.75807,22.2262,4.28257,3.99779
2008,4135.59893,137.92374,1.77723,79.02824,33.17833,34.09865,0.21944,204.70015,74.12504,47.58376,0.1962,266.02729,144.52929,75.82705,79.78336,54.13549,77.10984,43.32482,28.506,55.56959,303.24435,86.40575,31.0314,39.18913,133.52179,305.51344,147.1499,108.85488,221.93088,367.52749,185.80816,206.36537,296.83058,120.43738,60.76197,50.20842,10.67109,15.79522,3.50785,3.20037
2007,2734.12494,73.57061,0.87395,43.85152,28.37491,22.22824,0.13198,136.66626,49.79878,32.4442,0.01617,210.37219,96.67629,53.37256,48.73127,38.74134,53.78121,26.74,22.8397,38.30661,191.95996,61.29295,17.59294,25.51634,90.14424,199.26356,100.98519,62.8013,148.00675,241.72867,117.37718,130.58717,192.29232,80.26499,38.36348,36.16577,5.73563,13.11529,1.39899,2.01443
2006,1971.97682,45.86533,0.35068,28.8172,18.5718,18.16529,0.06366,89.7325,35.2784,22.53001,0.01738,160.81789,76.81602,39.97121,29.51893,27.48949,41.97931,21.05246,17.41223,25.08496,136.66348,46.27581,12.9597,17.85525,65.78289,145.62598,74.56937,44.23357,106.37413,174.37258,82.17837,94.81162,137.1603,59.58487,29.41546,28.79737,2.70251,10.07806,1.31002,1.69073
