年份,私营工业企业利润总额,煤炭开采和洗选业私营工业企业利润总额,石油和天然气开采业私营工业企业利润总额,黑色金属矿采选业私营工业企业利润总额,有色金属矿采选业私营工业企业利润总额,非金属矿采选业私营工业企业利润总额,其他采矿业私营工业企业利润总额,农副食品加工业私营工业企业利润总额,食品制造业私营工业企业利润总额,饮料制造业私营工业企业利润总额,烟草制品业私营工业企业利润总额,纺织业私营工业企业利润总额,纺织服装、鞋、帽制造业私营工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业私营工业企业利润总额,木材加工及木、竹、藤、棕、草制品业私营工业企业利润总额,家具制造业私营工业企业利润总额,造纸及纸制品业私营工业企业利润总额,印刷业和记录媒介的复制私营工业企业利润总额,文教体育用品制造业私营工业企业利润总额,石油加工、炼焦及核燃料加工业私营工业企业利润总额,化学原料及化学制品制造业私营工业企业利润总额,医药制造业私营工业企业利润总额,化学纤维制造业私营工业企业利润总额,橡胶制品业私营工业企业利润总额,塑料制品业私营工业企业利润总额,非金属矿物制品业私营工业企业利润总额,黑色金属冶炼及压延加工业私营工业企业利润总额,有色金属冶炼及压延加工业私营工业企业利润总额,金属制品业私营工业企业利润总额,通用设备制造业私营工业企业利润总额,专用设备制造业私营工业企业利润总额,交通运输设备制造业私营工业企业利润总额,电气机械及器材制造业私营工业企业利润总额,通信设备、计算机及其他电子设备制造私营工业企业利润总额,仪器仪表及文化、办公用机械制造业私营工业企业利润总额,工艺品及其他制造业私营工业企业利润总额,废弃资源和废旧材料回收加工业私营工业企业利润总额,电力、热力的生产和供应业私营工业企业利润总额,燃气生产和供应业私营工业企业利润总额,水的生产和供应业私营工业企业利润总额
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,18155.52,782.821,4.73976,681.99555,186.91123,186.08842,0.79095,1355.64348,393.96599,287.59868,0.36979,982.61576,390.60663,269.13783,445.28825,191.41807,309.51938,125.52992,77.9641,257.04445,1425.46682,347.66494,104.90902,197.14289,494.91002,1643.7693,861.92971,647.90034,765.77717,1321.50833,731.06405,767.86701,1113.17072,330.42615,149.47165,194.10527,71.31347,36.75444,13.18486,7.13632
2010,15102.5,682.2541,16.88923,489.03628,143.0393,148.09921,0.71266,1102.83346,329.74829,235.36118,0.57248,875.5231,339.99183,245.41573,357.49125,152.18923,278.18444,110.51436,72.50253,206.42778,1135.56918,260.00805,90.77386,147.89051,437.9206,1347.59261,742.95082,485.7405,641.96905,1115.91337,578.72102,708.86123,919.32303,289.59268,122.30182,160.72634,63.09244,45.58345,15.0996,6.08678
2009,9677.69,405.48127,13.26283,263.17249,79.52723,96.67512,0.49849,718.06892,203.73778,145.42624,0.44532,634.37533,239.13543,157.57157,247.82662,100.05592,193.18625,74.14444,44.51852,128.66796,722.32671,174.99504,56.68163,104.26696,274.44822,890.70945,480.71578,274.49386,421.90598,715.79934,372.19806,416.53384,575.61753,170.07407,96.23674,115.8561,24.86265,28.25096,11.7477,4.19106
2008,8302.06,404.61842,6.15837,351.78516,97.75348,77.45425,0.40115,577.01658,160.17285,113.4014,0.42509,500.16481,205.7011,139.95707,209.97393,80.28427,165.22208,58.5402,36.15062,154.87052,639.91715,135.71498,59.90712,76.37047,232.35754,738.66688,402.64714,247.06022,362.34176,612.00424,303.66027,342.89701,476.54537,130.73155,66.15834,93.44478,15.47041,16.42622,6.09801,3.59154
2007,5053.74,149.14649,1.44097,186.45772,96.8454,44.79719,0.2474,349.42075,97.40931,65.06547,0.01963,344.07416,103.51647,97.09111,116.84025,48.83065,102.44949,32.94257,23.95053,104.60859,379.56306,83.39742,47.97548,48.34506,162.09807,437.17117,304.46786,170.00256,225.81643,360.07457,172.49583,187.37611,281.92993,91.30777,46.91119,57.79953,9.64695,18.41933,2.80622,0.98304
2006,3191.05,103.9006,0.77664,92.56866,63.08076,31.26566,0.15122,214.48043,63.9199,40.79836,0.00765,247.41361,82.39112,63.82347,71.03943,31.24031,67.74358,22.83161,18.58665,53.69753,234.92292,57.8681,29.33437,32.39479,99.35744,250.19885,162.82526,109.40933,148.7739,240.96657,109.68791,118.94875,173.51191,57.74162,32.68432,40.14424,4.8269,15.97642,0.5793,1.18302
