年份,私营工业企业财务费用,煤炭开采和洗选业私营工业企业财务费用,石油和天然气开采业私营工业企业财务费用,黑色金属矿采选业私营工业企业财务费用,有色金属矿采选业私营工业企业财务费用,非金属矿采选业私营工业企业财务费用,其他采矿业私营工业企业财务费用,农副食品加工业私营工业企业财务费用,食品制造业私营工业企业财务费用,饮料制造业私营工业企业财务费用,烟草制品业私营工业企业财务费用,纺织业私营工业企业财务费用,纺织服装、鞋、帽制造业私营工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业私营工业企业财务费用,木材加工及木、竹、藤、棕、草制品业私营工业企业财务费用,家具制造业私营工业企业财务费用,造纸及纸制品业私营工业企业财务费用,印刷业和记录媒介的复制私营工业企业财务费用,文教体育用品制造业私营工业企业财务费用,石油加工、炼焦及核燃料加工业私营工业企业财务费用,化学原料及化学制品制造业私营工业企业财务费用,医药制造业私营工业企业财务费用,化学纤维制造业私营工业企业财务费用,橡胶制品业私营工业企业财务费用,塑料制品业私营工业企业财务费用,非金属矿物制品业私营工业企业财务费用,黑色金属冶炼及压延加工业私营工业企业财务费用,有色金属冶炼及压延加工业私营工业企业财务费用,金属制品业私营工业企业财务费用,通用设备制造业私营工业企业财务费用,专用设备制造业私营工业企业财务费用,交通运输设备制造业私营工业企业财务费用,电气机械及器材制造业私营工业企业财务费用,通信设备、计算机及其他电子设备制造私营工业企业财务费用,仪器仪表及文化、办公用机械制造业私营工业企业财务费用,工艺品及其他制造业私营工业企业财务费用,废弃资源和废旧材料回收加工业私营工业企业财务费用,电力、热力的生产和供应业私营工业企业财务费用,燃气生产和供应业私营工业企业财务费用,水的生产和供应业私营工业企业财务费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2415.9179,64.9361,1.05208,40.11789,12.2259,16.5149,0.11047,150.34171,43.54196,29.80656,0.11087,205.82987,45.2184,38.7747,44.1531,27.18264,44.66528,19.47848,9.9202,67.03139,176.43281,33.79289,32.78051,23.88272,65.84541,187.9432,137.04641,102.99057,112.62704,167.30613,86.77932,129.65668,170.41466,40.73488,19.80928,27.67929,6.72811,28.24433,1.7431,2.46806
2010,1921.38128,39.65278,0.95113,26.31644,9.78465,14.806,0.10045,133.75627,37.27772,26.93204,0.16572,173.04333,40.07649,28.33714,38.60981,21.38148,37.92739,16.06761,10.16995,48.35305,144.08073,27.71265,22.53683,18.70552,57.14145,150.93898,100.70758,72.19073,91.57093,133.96052,61.23143,103.03656,120.48771,32.078,12.70728,22.67654,6.06278,35.30697,1.88901,2.64963
2009,1441.98102,22.66898,0.98332,17.87517,6.92494,11.59579,0.03998,101.8774,28.01426,21.03159,0.16749,152.66797,33.71343,22.23838,30.3777,15.68099,31.50394,13.07086,7.40603,34.1573,104.16423,23.85333,20.0223,13.54328,42.90247,125.66613,64.53556,48.1014,67.53651,99.2562,44.61378,69.32074,82.20923,20.3048,10.97928,18.02716,3.25066,28.02595,1.0188,2.65369
2008,1389.35741,20.89766,0.63469,16.34548,6.39725,8.99579,0.04896,89.28012,27.76508,18.53708,0.06327,148.70751,33.76391,20.85571,28.84213,14.91176,30.83491,11.57464,7.93597,34.78169,96.52818,22.82796,22.53317,12.73972,42.94153,105.02881,78.21162,49.36896,66.21435,99.1959,39.86462,68.97974,85.91896,21.89692,11.73097,16.26378,2.84393,22.22058,0.82141,2.05269
2007,903.25959,11.0086,0.09271,9.92471,4.16948,5.03536,0.04637,56.46019,17.32714,11.16174,0.02148,111.59642,20.35366,13.74908,18.26403,10.103,22.60391,7.47559,5.69697,23.85684,63.68808,15.15428,21.88459,7.77143,29.45057,68.36594,56.34257,28.64865,43.61522,59.85969,22.85415,34.06036,53.05057,12.48875,5.65139,11.74352,1.17686,16.25927,0.90065,1.34577
2006,632.49104,8.31086,0.01245,6.79417,2.8965,3.77749,0.02055,39.73828,11.73491,7.59962,0.00181,79.05198,15.35636,10.58676,12.08237,6.64593,17.90533,5.13736,3.89359,16.88833,42.16176,11.75841,15.06012,5.55967,18.58735,53.24855,38.91396,19.96939,29.53266,40.53806,15.78251,24.40729,35.42872,8.33039,3.51972,8.26926,0.4635,11.31811,0.24252,0.96444
