年份,私营工业企业存货,煤炭开采和洗选业私营工业企业存货,石油和天然气开采业私营工业企业存货,黑色金属矿采选业私营工业企业存货,有色金属矿采选业私营工业企业存货,非金属矿采选业私营工业企业存货,其他采矿业私营工业企业存货,农副食品加工业私营工业企业存货,食品制造业私营工业企业存货,饮料制造业私营工业企业存货,烟草制品业私营工业企业存货,纺织业私营工业企业存货,纺织服装、鞋、帽制造业私营工业企业存货,皮革、毛皮、羽毛(绒)及其制品业私营工业企业存货,木材加工及木、竹、藤、棕、草制品业私营工业企业存货,家具制造业私营工业企业存货,造纸及纸制品业私营工业企业存货,印刷业和记录媒介的复制私营工业企业存货,文教体育用品制造业私营工业企业存货,石油加工、炼焦及核燃料加工业私营工业企业存货,化学原料及化学制品制造业私营工业企业存货,医药制造业私营工业企业存货,化学纤维制造业私营工业企业存货,橡胶制品业私营工业企业存货,塑料制品业私营工业企业存货,非金属矿物制品业私营工业企业存货,黑色金属冶炼及压延加工业私营工业企业存货,有色金属冶炼及压延加工业私营工业企业存货,金属制品业私营工业企业存货,通用设备制造业私营工业企业存货,专用设备制造业私营工业企业存货,交通运输设备制造业私营工业企业存货,电气机械及器材制造业私营工业企业存货,通信设备、计算机及其他电子设备制造私营工业企业存货,仪器仪表及文化、办公用机械制造业私营工业企业存货,工艺品及其他制造业私营工业企业存货,废弃资源和废旧材料回收加工业私营工业企业存货,电力、热力的生产和供应业私营工业企业存货,燃气生产和供应业私营工业企业存货,水的生产和供应业私营工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,16614.13669,255.03836,2.49947,181.2997,70.78238,53.42648,0.47626,1049.423,281.1704,250.29337,0.90903,1268.7341,440.31969,195.78961,281.30849,179.41733,245.43601,100.19519,77.34523,420.56579,1086.28222,248.41545,213.57763,144.21433,403.1762,998.40169,1219.07867,828.96372,990.18046,1176.7826,670.42625,1014.68453,1211.81407,412.48339,218.51203,270.24728,96.68297,46.03987,5.98939,3.75405
2010,15004.16383,187.8311,2.12459,164.83636,64.69608,58.32704,1.82285,896.95572,260.83779,241.34089,0.39801,1232.65417,417.34883,185.20087,274.32088,178.4552,249.04204,112.36017,83.31192,346.11159,973.95423,234.31462,157.01608,132.41705,417.02713,928.35024,1103.51584,701.4944,782.83092,1135.15245,627.59763,942.78176,1044.16749,371.10133,165.91211,231.36053,61.67635,27.47751,4.98431,3.05575
2009,12275.98271,135.65979,1.56459,133.26992,56.39663,50.8619,0.22651,758.51528,211.77153,205.59823,0.35143,1106.8737,352.68893,155.46145,235.76043,142.15353,220.37154,92.11136,69.92306,273.45818,805.903,190.17227,140.20174,95.12773,343.96066,808.69908,821.39053,514.85324,681.61005,930.77869,495.61665,707.84793,856.95054,280.26493,142.06746,181.33869,47.70437,22.1305,3.9886,2.35806
2008,11220.3335,115.49194,2.00104,136.37265,54.35889,39.1141,0.12963,647.56155,198.13676,169.64893,0.11532,1016.7871,340.77644,147.45901,235.2694,124.60776,218.98731,86.80156,64.94209,247.928,741.06626,167.16529,118.52875,98.35448,323.57652,760.71169,840.67182,401.3209,609.37094,915.8188,460.9674,654.60824,714.57767,246.64955,121.79821,141.97946,34.46744,17.50143,2.80722,1.90195
2007,8122.13787,72.91548,0.41695,66.55675,39.19472,30.56388,0.20434,491.19161,139.84722,128.51825,0.04294,858.90735,219.26146,117.37152,166.83836,95.0676,153.58405,62.20511,48.38952,170.90569,514.9627,133.47855,117.69877,59.24133,239.30312,512.15151,664.99696,362.7214,439.33548,618.06744,286.07548,376.36384,495.15914,225.04619,74.33112,103.26686,22.91868,9.77111,4.46625,0.79914
2006,6198.76881,49.58705,0.31012,54.52229,24.88942,23.24066,0.01845,352.9521,102.07057,91.0906,0.04042,690.67432,194.92245,101.12525,127.61466,71.20658,136.02203,49.38654,38.35178,143.53276,401.28854,115.2898,71.98305,47.81977,186.79919,413.8276,472.99114,265.65966,329.01152,474.01689,214.73088,264.3763,380.79007,145.38963,52.47297,88.93534,10.46996,9.23153,1.06558,1.06134
