年份,私营工业企业产成品,煤炭开采和洗选业私营工业企业产成品,石油和天然气开采业私营工业企业产成品,黑色金属矿采选业私营工业企业产成品,有色金属矿采选业私营工业企业产成品,非金属矿采选业私营工业企业产成品,其他采矿业私营工业企业产成品,农副食品加工业私营工业企业产成品,食品制造业私营工业企业产成品,饮料制造业私营工业企业产成品,烟草制品业私营工业企业产成品,纺织业私营工业企业产成品,纺织服装、鞋、帽制造业私营工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业私营工业企业产成品,木材加工及木、竹、藤、棕、草制品业私营工业企业产成品,家具制造业私营工业企业产成品,造纸及纸制品业私营工业企业产成品,印刷业和记录媒介的复制私营工业企业产成品,文教体育用品制造业私营工业企业产成品,石油加工、炼焦及核燃料加工业私营工业企业产成品,化学原料及化学制品制造业私营工业企业产成品,医药制造业私营工业企业产成品,化学纤维制造业私营工业企业产成品,橡胶制品业私营工业企业产成品,塑料制品业私营工业企业产成品,非金属矿物制品业私营工业企业产成品,黑色金属冶炼及压延加工业私营工业企业产成品,有色金属冶炼及压延加工业私营工业企业产成品,金属制品业私营工业企业产成品,通用设备制造业私营工业企业产成品,专用设备制造业私营工业企业产成品,交通运输设备制造业私营工业企业产成品,电气机械及器材制造业私营工业企业产成品,通信设备、计算机及其他电子设备制造私营工业企业产成品,仪器仪表及文化、办公用机械制造业私营工业企业产成品,工艺品及其他制造业私营工业企业产成品,废弃资源和废旧材料回收加工业私营工业企业产成品,电力、热力的生产和供应业私营工业企业产成品,燃气生产和供应业私营工业企业产成品,水的生产和供应业私营工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,7388.26305,142.8491,1.08548,107.84735,42.18961,35.13463,0.38043,513.94916,137.34148,123.48929,0.15818,612.78562,222.54783,81.7264,127.339,81.22326,112.12923,38.47214,32.14893,184.32836,526.76526,115.10342,100.42233,73.3216,194.39502,470.79436,516.9586,333.03337,335.08274,498.66008,271.70307,353.19223,540.73423,170.18811,75.70085,147.75606,45.98831,17.37036,2.67738,1.29019
2010,6601.1743,102.67801,0.44898,97.30223,39.73185,36.03684,1.65391,444.82391,127.85112,118.14988,0.2871,560.22331,196.82468,74.30226,130.33285,79.88245,109.81594,39.26345,32.67593,158.83234,452.54098,115.0685,64.58652,64.27823,194.42793,437.06636,459.90288,268.83009,323.96269,484.63332,243.01853,339.8772,449.95731,136.12498,56.95888,126.73594,26.35332,2.48749,1.9581,1.28801
2009,5876.1211,84.15023,0.47959,86.36468,36.59811,34.01259,0.14118,386.03413,109.19778,101.79894,0.26304,541.05779,185.36415,66.4442,124.55961,61.98275,106.8037,37.6256,31.205,136.33377,406.13125,100.03041,58.42647,48.41393,167.2511,414.53737,392.86358,215.88817,301.57295,442.92012,211.6818,304.16143,379.67275,121.0945,56.54002,95.20797,23.2751,3.65288,1.34798,1.03448
2008,5115.35427,64.80444,0.91008,83.45397,30.61707,24.2822,0.10065,326.6274,93.88205,84.89796,0.09172,492.61702,171.40835,59.58926,112.82229,53.40611,100.63836,31.81819,26.88075,127.72232,359.51239,86.45999,50.29432,49.47452,148.84638,364.33117,379.01288,162.89419,250.59071,401.95884,182.97729,253.53146,300.50355,101.72351,43.5754,74.44541,15.28916,1.67267,1.12281,0.56743
2007,3762.25384,41.97039,0.08771,36.388,21.72567,19.16878,0.11133,250.71915,63.75238,63.08479,0.03625,420.63891,111.14819,51.84961,77.7101,42.2546,70.69121,22.94548,20.2799,76.98141,253.98616,70.19964,54.18109,29.30615,110.72491,256.21127,284.7861,159.747,193.46517,272.81132,121.4791,159.24531,220.81839,91.55372,27.00507,51.89869,11.09313,0.76982,1.30571,0.12223
2006,2877.7259,26.81318,0.03946,34.56387,13.59722,14.52386,0.01215,184.84813,48.54842,42.5838,0.01753,341.34824,99.48159,46.16005,58.84837,29.65477,66.1913,17.94991,17.42432,75.18765,195.90438,59.42003,31.34058,24.83606,87.36285,200.54118,203.95564,111.181,139.86611,203.41409,89.91217,115.63319,168.35986,57.24388,19.76007,44.73163,4.95739,0.96167,0.37237,0.17793
