年份,私营工业企业集体资本金,煤炭开采和洗选业私营工业企业集体资本金,石油和天然气开采业私营工业企业集体资本金,黑色金属矿采选业私营工业企业集体资本金,有色金属矿采选业私营工业企业集体资本金,非金属矿采选业私营工业企业集体资本金,其他采矿业私营工业企业集体资本金,农副食品加工业私营工业企业集体资本金,食品制造业私营工业企业集体资本金,饮料制造业私营工业企业集体资本金,烟草制品业私营工业企业集体资本金,纺织业私营工业企业集体资本金,纺织服装、鞋、帽制造业私营工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业集体资本金,家具制造业私营工业企业集体资本金,造纸及纸制品业私营工业企业集体资本金,印刷业和记录媒介的复制私营工业企业集体资本金,文教体育用品制造业私营工业企业集体资本金,石油加工、炼焦及核燃料加工业私营工业企业集体资本金,化学原料及化学制品制造业私营工业企业集体资本金,医药制造业私营工业企业集体资本金,化学纤维制造业私营工业企业集体资本金,橡胶制品业私营工业企业集体资本金,塑料制品业私营工业企业集体资本金,非金属矿物制品业私营工业企业集体资本金,黑色金属冶炼及压延加工业私营工业企业集体资本金,有色金属冶炼及压延加工业私营工业企业集体资本金,金属制品业私营工业企业集体资本金,通用设备制造业私营工业企业集体资本金,专用设备制造业私营工业企业集体资本金,交通运输设备制造业私营工业企业集体资本金,电气机械及器材制造业私营工业企业集体资本金,通信设备、计算机及其他电子设备制造私营工业企业集体资本金,仪器仪表及文化、办公用机械制造业私营工业企业集体资本金,工艺品及其他制造业私营工业企业集体资本金,废弃资源和废旧材料回收加工业私营工业企业集体资本金,电力、热力的生产和供应业私营工业企业集体资本金,燃气生产和供应业私营工业企业集体资本金,水的生产和供应业私营工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,213.11872,11.66546,0.06,1.98546,4.85096,3.18418,,5.8202,3.6258,2.04414,,10.45601,1.91776,1.9096,1.52609,0.63516,3.30697,2.90167,0.2984,2.47561,17.86763,9.16433,7.2545,4.89971,5.66198,18.22902,12.12218,8.49669,7.79638,9.76872,4.2262,25.54606,10.19773,4.90411,2.26976,1.54567,0.1488,3.80634,0.208,0.34144
2010,184.25961,6.02711,0.06,2.21193,1.02191,3.08194,,18.04695,1.7821,3.14315,,7.96606,3.22651,1.64873,1.8573,1.00362,1.92906,2.16541,1.07843,1.85573,19.5667,4.17488,8.27744,10.37053,4.1071,18.70156,3.99701,8.54471,6.82071,9.55697,4.50419,4.96298,10.80772,2.52589,1.31729,1.12786,1.03305,5.21858,0.32,0.2185
2009,154.14506,4.61686,1.4178,1.92596,0.85125,2.69766,,8.11862,2.9935,2.31981,,12.96214,2.59733,0.22843,2.06074,0.68215,1.5959,0.74738,0.33931,1.71162,10.41151,1.41974,3.2628,1.10363,1.93896,22.59477,3.79856,2.97859,5.26306,7.54755,5.49267,4.53362,22.62634,5.77177,1.52016,2.74774,0.24349,2.77744,0.1262,0.12
2008,135.0747,2.73778,,1.13461,1.0323,2.28655,,11.38068,2.67691,2.85689,,4.52232,1.653,0.52292,5.97889,0.20658,1.31028,1.71649,0.17797,1.13048,16.33295,2.7343,1.05415,1.36757,3.28781,26.45473,5.76303,1.12196,7.97586,4.28289,6.16087,4.17659,4.37237,3.51442,0.74323,0.19992,0.04685,1.51595,0.05,2.5946
2007,81.83626,3.59741,,0.29121,2.90742,1.39753,,6.7687,2.08677,3.66353,,7.71384,1.05084,0.31429,0.61784,0.54394,1.84208,0.5325,0.30605,0.09703,6.91036,2.27527,0.58938,0.75876,0.91614,7.87585,3.6715,2.42973,1.76368,2.59096,2.2889,2.61554,8.33569,1.03636,0.44979,0.39033,0.08437,2.84845,,0.27422
2006,60.64,0.93552,,0.38441,0.86978,0.97408,,4.12231,0.58806,1.49666,0.04625,4.86403,0.4264,0.19005,0.78112,0.14898,0.74055,0.63743,0.04793,14.93508,2.1042,0.66024,0.11519,0.04173,1.06892,5.55258,2.65208,3.84255,1.28111,4.06419,1.26087,1.10786,3.21731,0.14003,0.16435,0.59811,0.02311,0.34115,0.05596,0.16364
