年份,私营工业企业法人资本金,煤炭开采和洗选业私营工业企业法人资本金,石油和天然气开采业私营工业企业法人资本金,黑色金属矿采选业私营工业企业法人资本金,有色金属矿采选业私营工业企业法人资本金,非金属矿采选业私营工业企业法人资本金,其他采矿业私营工业企业法人资本金,农副食品加工业私营工业企业法人资本金,食品制造业私营工业企业法人资本金,饮料制造业私营工业企业法人资本金,烟草制品业私营工业企业法人资本金,纺织业私营工业企业法人资本金,纺织服装、鞋、帽制造业私营工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业私营工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业私营工业企业法人资本金,家具制造业私营工业企业法人资本金,造纸及纸制品业私营工业企业法人资本金,印刷业和记录媒介的复制私营工业企业法人资本金,文教体育用品制造业私营工业企业法人资本金,石油加工、炼焦及核燃料加工业私营工业企业法人资本金,化学原料及化学制品制造业私营工业企业法人资本金,医药制造业私营工业企业法人资本金,化学纤维制造业私营工业企业法人资本金,橡胶制品业私营工业企业法人资本金,塑料制品业私营工业企业法人资本金,非金属矿物制品业私营工业企业法人资本金,黑色金属冶炼及压延加工业私营工业企业法人资本金,有色金属冶炼及压延加工业私营工业企业法人资本金,金属制品业私营工业企业法人资本金,通用设备制造业私营工业企业法人资本金,专用设备制造业私营工业企业法人资本金,交通运输设备制造业私营工业企业法人资本金,电气机械及器材制造业私营工业企业法人资本金,通信设备、计算机及其他电子设备制造私营工业企业法人资本金,仪器仪表及文化、办公用机械制造业私营工业企业法人资本金,工艺品及其他制造业私营工业企业法人资本金,废弃资源和废旧材料回收加工业私营工业企业法人资本金,电力、热力的生产和供应业私营工业企业法人资本金,燃气生产和供应业私营工业企业法人资本金,水的生产和供应业私营工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,9328.49547,281.13146,7.70505,120.33504,63.75354,67.53456,0.08438,599.41909,240.04338,138.5144,,654.17627,159.02844,99.31917,177.73234,98.97652,164.05883,54.534,29.89995,211.49677,734.48402,191.50909,96.67869,57.08526,261.99575,849.26798,515.78274,323.07788,385.68337,631.27258,434.78761,437.26155,614.43382,242.56008,75.6842,92.63131,33.19258,153.23821,18.96115,11.16441
2010,8317.3829,230.92209,5.69758,110.21372,75.65081,66.44283,0.3526,488.51746,170.09804,156.86913,2.3835,497.55186,170.15312,78.31946,167.75436,102.66404,155.30242,85.76565,40.14443,181.52384,622.52111,185.84176,76.36351,60.14144,254.57092,812.23151,300.41576,273.26743,383.43668,688.62639,282.82293,406.14036,565.25391,223.39728,82.57777,87.64644,21.06312,169.64358,22.22739,12.86667
2009,6485.99022,189.98684,6.75673,107.10891,42.30374,49.32731,0.0946,409.5893,133.12603,113.2733,2.3805,420.60702,140.91777,69.95016,128.88629,84.874,161.26853,67.61321,38.91858,127.3811,510.61641,153.77238,72.51886,47.66391,194.91838,630.94745,272.88877,166.63076,321.83793,431.8249,225.10614,302.17351,417.07689,139.64513,66.61285,71.48654,13.64069,127.83396,14.84537,9.58547
2008,5244.43513,159.55432,5.01305,83.91107,49.78111,39.74895,0.5745,339.35687,118.72379,92.08489,2.312,383.05991,128.61995,53.70502,116.92822,68.95976,119.76931,59.14817,29.02956,85.31876,408.90392,129.30102,36.3916,41.4226,159.06038,488.53787,256.89094,152.76004,238.5791,357.07872,176.96884,226.27758,305.8451,113.39105,44.72556,50.83659,8.60815,93.5693,8.3896,11.29796
2007,3628.81827,71.32599,0.74455,41.02695,32.89432,27.36897,0.58332,243.37847,89.17071,60.20423,1.2,292.10723,83.44416,45.50611,81.22412,47.26405,84.48596,40.42144,17.94178,68.45836,286.85157,101.60888,62.89307,34.28434,105.2019,342.61893,201.55389,115.91642,162.89758,231.07736,106.38837,140.34057,184.23478,84.69921,19.05671,37.42258,5.60068,67.62711,4.68952,5.10408
2006,2593.53,44.1914,0.99755,25.91816,18.18796,22.47331,0.05,171.72733,66.50269,49.01943,,194.77648,64.27575,27.25003,49.90574,28.74694,70.62025,32.44871,12.13006,78.89273,190.60579,79.85168,37.03089,24.29145,78.8161,250.08494,185.3909,64.74906,112.26241,150.82374,71.01583,93.25583,132.75812,53.97883,17.84412,26.69286,3.31869,51.55379,2.6875,8.40306
