年份,住宿业企业营业额,内资住宿业企业营业额,国有住宿业企业营业额,集体住宿业企业营业额,股份合作住宿业企业营业额,联营住宿业企业营业额,国有联营住宿业企业营业额,集体联营住宿业企业营业额,国有与集体联营住宿业企业营业额,其他联营住宿业企业营业额,有限责任公司住宿业企业营业额,国有独资公司住宿业企业营业额,其他有限责任公司住宿业企业营业额,股份有限公司住宿业企业营业额,私营住宿业企业营业额,私营独资住宿业企业营业额,私营合伙住宿业企业营业额,私营有限责任公司住宿业企业营业额,私营股份有限公司住宿业企业营业额,其他住宿业企业营业额,港、澳、台商投资住宿业企业营业额,港、澳、台商合资经营住宿业企业营业额,港、澳、台商合作经营住宿业企业营业额,港、澳、台商独资经营住宿业企业营业额,港、澳、台商投资股份有限公司住宿业企业营业额,其他港澳台商投资住宿业企业营业额,外商投资住宿业企业营业额,中外合资经营住宿业企业营业额,中外合作经营住宿业企业营业额,外资住宿业企业营业额,外商投资股份有限公司住宿业企业营业额,其他外商投资住宿业企业营业额,旅游饭店营业额,一般旅馆营业额,民宿服务营业额,露营地服务营业额,其他住宿业营业额
2019,4343.6098,3777.7807,303.0997,33.0469,7.1999,3.5031,2.3295,,,,1632.233,188.9739,1443.2594,116.5877,1681.6929,77.1466,20.416,1544.641,39.4899,0.4179,348.2195,146.3056,30.3972,165.8562,4.0809,1.5797,217.6096,83.3704,27.9205,84.4871,18.8787,2.953,3169.571,1051.9562,10.4938,1.0436,110.5458
2018,4059.7,3509.4,307.4,34.1,7.0,4.6,3.1,0.3,,,1615.4,169.0,1446.4,123.4,1415.7,74.4,19.4,1284.1,37.8,1.9,350.5,145.0,41.0,154.8,7.8,2.0,199.8,87.8,29.6,70.4,3.7,8.2,3143.9,830.1,7.0,0.3,78.4
2017,3963.934,3416.2409,359.882,39.716,8.563,3.771,2.211,0.4656,0.6645,0.4298,1607.69,152.9998,1454.69,121.994,1258.514,84.638,24.535,1093.995,55.347,16.11,357.138,146.819,38.663,158.09,10.8,2.765,190.555,82.163,30.557,65.466,3.669,8.702,3059.4066,813.2557,,,91.2719
2016,3811.1189,3257.7444,391.6408,46.2149,9.5301,4.3497,2.594,0.5797,0.7532,0.4225,1531.7792,138.0529,1393.7266,126.0518,1125.6687,98.3507,26.5369,943.0316,57.7501,22.5095,364.529,155.0739,43.9853,152.9739,10.2964,2.1999,188.8458,85.4483,24.9576,66.4962,5.0418,6.902,3001.1856,725.5444,,,84.3894
2015,3648.2152,3103.6565,407.973,48.9601,10.3034,5.8097,3.9156,0.5969,0.7054,0.592,1420.4538,118.2253,1302.2284,121.8577,1059.0824,103.0494,25.6461,871.8286,58.5588,29.218,345.3187,150.326,44.1598,140.9395,8.0394,1.8543,199.2401,97.6835,22.9353,66.5466,5.0888,6.9862,2909.2589,656.21,,,82.7465
2014,3535.2,2984.71697,417.55903,53.72342,10.20512,5.32395,2.78995,0.85417,1.17891,0.50092,1329.15146,108.94031,1220.21115,125.52676,1012.02419,106.39044,25.11064,824.48408,56.03903,31.20304,344.99949,149.119,51.83433,132.51786,11.17856,0.34974,205.53314,99.17269,23.80718,72.45814,4.89189,5.20324,2836.85795,625.05682,,,73.33483
2013,3527.99,2981.06521,495.02553,61.68309,11.83714,6.85393,3.14447,1.80028,1.29177,0.61741,1253.32027,101.54605,1151.77422,127.60455,989.48346,109.48871,26.10675,793.96054,59.92746,35.25724,321.17615,157.743,38.22001,113.89474,9.96219,1.35621,225.74864,107.7905,30.93519,82.27186,3.67352,1.07757,2838.18475,611.84939,,,77.95586
2012,3534.43884,2968.31234,641.44186,83.85145,22.68029,13.20104,6.00109,2.24098,2.71926,2.23971,1063.95437,42.43832,1021.51605,121.55943,911.44852,161.19857,37.56618,656.57349,56.11028,110.17538,330.95394,168.55389,43.32314,108.24801,10.53049,0.29841,235.17256,115.426,36.92045,77.82249,3.52262,1.481,2953.13404,515.40085,,,65.90395
2011,3261.893,2706.7339,608.2458,79.389,22.133,13.1615,6.0376,2.2019,2.5428,2.3793,941.1406,38.0021,903.1386,126.7296,818.7516,144.6489,34.604,587.4258,52.073,97.1827,320.0515,165.5286,45.3351,99.6047,8.9259,0.6572,235.1076,110.0901,35.8547,83.4497,4.5746,1.1385,2752.0492,452.3871,,,57.4567
2010,2797.84297,2294.0,560.6,75.4,22.1,13.3,5.9,2.3,3.2,1.9,733.0,32.0,701.0,106.9,745.5,144.8,33.8,523.9,43.0,37.3,281.4,148.6,42.4,85.1,5.3,,222.4,105.4,36.4,75.9,4.7,,2366.0,383.8,,,48.1
