年份,住宿业企业年末从业人数,内资住宿业企业年末从业人数,国有住宿业企业年末从业人数,集体住宿业企业年末从业人数,股份合作住宿业企业年末从业人数,联营住宿业企业年末从业人数,国有联营住宿业企业年末从业人数,集体联营住宿业企业年末从业人数,国有与集体联营住宿业企业年末从业人数,其他联营住宿业企业年末从业人数,有限责任公司住宿业企业年末从业人数,国有独资公司住宿业企业年末从业人数,其他有限责任公司住宿业企业年末从业人数,股份有限公司住宿业企业年末从业人数,私营住宿业企业年末从业人数,私营独资住宿业企业年末从业人数,私营合伙住宿业企业年末从业人数,私营有限责任公司住宿业企业年末从业人数,私营股份有限公司住宿业企业年末从业人数,其他住宿业企业年末从业人数,港、澳、台商投资住宿业企业年末从业人数,港、澳、台商合资经营住宿业企业年末从业人数,港、澳、台商合作经营住宿业企业年末从业人数,港、澳、台商独资经营住宿业企业年末从业人数,港、澳、台商投资股份有限公司住宿业企业年末从业人数,其他港澳台商投资住宿业企业年末从业人数,外商投资住宿业企业年末从业人数,中外合资经营住宿业企业年末从业人数,中外合作经营住宿业企业年末从业人数,外资住宿业企业年末从业人数,外商投资股份有限公司住宿业企业年末从业人数,其他外商投资住宿业企业年末从业人数,旅游饭店年末从业人数,一般旅馆年末从业人数,民宿服务年末从业人数,露营地服务年末从业人数,其他住宿业年末从业人数
2019,1819634,1647050,149642,13768,2827,1367,1026,,,,695633,84073,611560,49962,733453,34421,9291,672355,17386,398,110828,46697,8963,52669,1790,709,61756,22322,6685,25444,5952,1353,1322680,440134,4852,663,51305
2018,1780363,1607052,161627,16385,3196,2183,1601,190.0,,,701140,77623,623517,57125,664225,36892,10211,600800,16322,1171,112952,47122,10556,51395,2991,888,60359,26270,8133,22630,1128,2198,1363368,375524,3483,251,37737
2017,1820851,1637086,191630,19405,4145,1925,1361,301.0,118.0,145.0,747253,73871,673382,56781,606523,38904,12604,528491,26524,9424,120574,53338,10339,51188,4548,1161,63191,26091,10495,22997,1019,2589,1406118,372781,,,41952
2016,1863303,1666152,219198,23784,4777,2214,1262,540.0,345.0,67.0,768790,69938,698852,61271,573239,43388,13606,487331,28914,12879,127510,56929,12792,52363,4608,818,69641,28488,11526,25677,2002,1948,1466275,355261,,,41767
2015,1911615,1704671,243635,27831,5317,3141,1983,531.0,424.0,203.0,759827,59682,700145,67434,580828,51675,14618,483942,30593,16658,127192,57407,13653,51328,4138,666,79752,34798,10740,29814,2178,2222,1521030,347141,,,43444
2014,1979000,1761990,262287,33352,6088,2925,1541,598.0,643.0,143.0,771331,59185,712146,71531,596034,55531,15631,492492,32380,18442,130654,60904,16070,48145,5205,330,85878,38127,12465,31289,2422,1575,1589571,346298,,,42653
2013,2094185,1854243,296824,39310,7633,3911,2090,883.0,718.0,220.0,781652,58988,722664,76515,627082,65633,17498,507793,36158,21316,143306,70050,16816,50236,5403,801,96636,44537,14458,34841,1995,805,1700087,347145,,,46953
2012,2107502,1861890,401892,49999,15813,7562,3913,1022.0,1413.0,1214.0,655923,25643,630280,70508,586448,101772,23229,429418,32029,73745,146661,72498,19501,48586,5759,317,98951,46581,16138,32703,2364,1165,1746336,321212,,,39954
2011,2156638,1897017,424571,57792,18378,8417,4052,1198.0,1431.0,1736.0,623603,22673,600930,81131,610168,102348,28370,443360,36090,72957,153000,78299,20407,48204,5484,606,106621,47604,16433,37839,3839,906,1769016,345890,,,41732
2010,2108179,1836644,451920,62181,21322,10472,4881,1352.0,2558.0,1681.0,555587,22533,533054,76564,626475,126260,30476,431137,38602,32123,158192,80639,22692,50834,4027,,113343,53722,17410,39472,2739,,1757772,308060,,,42347
2009,2000484,1723154,459057,65421,20584,10069,5398,1103.0,2454.0,1114.0,500950,22834,478116,71576,566292,118292,29949,383248,34803,29205,161736,86043,23428,47032,5233,,115594,55170,18123,38990,3311,,1682668,277076,,,40740
2008,1998667,1719614,489161,71286,24223,9846,4991,1056.0,1990.0,1809.0,471371,24103,447268,77735,553751,117505,31113,373097,32036,22241,160453,85825,23758,46886,3984,,118600,59001,21869,34285,3445,,1709722,253496,,,35449
2007,1744142,1458534,466812,72886,22958,13954,7484,1844.0,3317.0,1309.0,395323,22440,372883,78084,393052,74037,16774,275871,26370,15465,162584,97310,31320,30134,3820,,123024,65545,24795,30215,2469,,,,,,
2006,1622808,1355514,479280,79235,22952,16490,9295,2055.0,3214.0,1926.0,352010,21669,330341,69121,325414,63343,15593,223980,22498,11012,156175,94986,33111,24328,3750,,111119,59775,22553,26319,2472,,,,,,
2005,1529270,1269901,471377,80817,24994,16143,8999,1535.0,2844.0,2765.0,321759,23813,297946,72331,272006,54636,10656,187895,18819,10474,149541,93548,35694,18426,1873,,109828,61047,26848,20731,1202,,,,,,
2004,1282173,1057812,424171,75716,21910,18155,9552,1881.0,4319.0,2403.0,233310,17014,216296,51214,226445,50593,10536,150105,15211,6891,128123,80955,30287,15971,910,,96238,53806,25841,15615,976,,1181631,86184,,,14358
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
