年份,住宿业企业餐费收入,内资住宿业企业餐费收入,国有住宿业企业餐费收入,集体住宿业企业餐费收入,股份合作住宿业企业餐费收入,联营住宿业企业餐费收入,国有联营住宿业企业餐费收入,集体联营住宿业企业餐费收入,国有与集体联营住宿业企业餐费收入,其他联营住宿业企业餐费收入,有限责任公司住宿业企业餐费收入,国有独资公司住宿业企业餐费收入,其他有限责任公司住宿业企业餐费收入,股份有限公司住宿业企业餐费收入,私营住宿业企业餐费收入,私营独资住宿业企业餐费收入,私营合伙住宿业企业餐费收入,私营有限责任公司住宿业企业餐费收入,私营股份有限公司住宿业企业餐费收入,其他住宿业企业餐费收入,港、澳、台商投资住宿业企业餐费收入,港、澳、台商合资经营住宿业企业餐费收入,港、澳、台商合作经营住宿业企业餐费收入,港、澳、台商独资经营住宿业企业餐费收入,港、澳、台商投资股份有限公司住宿业企业餐费收入,其他港澳台商投资住宿业企业餐费收入,外商投资住宿业企业餐费收入,中外合资经营住宿业企业餐费收入,中外合作经营住宿业企业餐费收入,外资住宿业企业餐费收入,外商投资股份有限公司住宿业企业餐费收入,其他外商投资住宿业企业餐费收入,旅游饭店住宿业企业餐费收入,一般旅馆住宿业企业餐费收入,民宿服务住宿业企业餐费收入,露营地服务住宿业企业餐费收入,其他住宿业住宿业企业餐费收入
2019,1462.966,1276.9749,114.6737,10.5978,2.6002,1.2063,0.7731,,,,558.3271,66.227,492.1005,41.4152,548.0089,27.9795,9.0836,496.3527,14.5933,0.1461,121.6708,49.2968,11.5743,58.9437,1.3576,0.4986,64.3205,26.8427,5.724,24.5205,6.1741,1.0596,1191.3994,237.3137,2.4771,0.3223,31.454
2018,1407.7,1226.0,114.6,11.3,2.6,1.8,1.2,0.2,,,564.8,61.2,503.6,42.9,487.4,25.8,8.0,438.7,14.9,0.6,118.2,47.2,13.2,53.8,3.4,0.6,63.5,30.5,7.1,21.3,1.0,3.7,1185.8,198.1,1.7,0.2,21.9
2017,1403.3174,1224.451,139.219,13.951,3.143,1.404,0.807,0.238,0.194,0.165,575.144,56.45,518.695,43.598,442.135,30.553,11.154,378.466,21.963,5.858,120.24,51.295,12.105,51.672,4.062,1.107,58.626,25.765,8.557,19.39,1.094,3.82,1166.907,210.331,,,26.079
2016,1405.8207,1220.8648,156.6173,17.5104,3.5049,1.5017,0.7672,0.3002,0.1994,0.235,561.1045,49.7613,511.3437,47.3257,424.5841,36.9657,12.0618,351.4451,24.1122,8.7167,121.49,55.1655,13.4591,47.3331,4.5525,0.9798,63.4659,29.2738,7.9148,21.3578,1.5674,3.3526,1173.8138,206.9154,,,25.0918
2015,1366.0564,1180.4057,163.8949,18.2931,3.5597,2.4926,1.7056,0.2981,0.1641,0.3248,527.4618,43.8748,483.5872,47.2413,405.8606,38.9381,11.4732,331.3058,24.1442,11.6018,114.3106,54.1643,13.715,42.9658,2.581,0.8847,71.3407,33.2361,8.6213,24.131,1.7067,3.6464,1148.3546,191.5583,,,26.1443
2014,1333.5,1147.19022,169.57613,20.94438,3.42756,1.98604,0.94629,0.47584,0.26672,0.29719,498.91676,39.22017,459.69659,47.70437,391.7509,42.49745,11.00513,314.36884,23.87948,12.88408,115.06836,54.37794,17.15352,39.24288,4.18909,0.10493,71.21426,34.35181,9.84083,22.83754,1.52194,2.66214,1129.19767,180.87786,,,23.39731
2013,1374.45077,1179.72155,190.17525,25.52102,4.13249,2.94326,1.23965,1.08392,0.35505,0.26464,486.66816,38.12725,448.54091,52.06255,403.24566,47.47198,11.48187,317.61387,26.67794,14.97316,114.88065,57.96115,14.22409,38.54852,3.79604,0.35085,79.84857,39.11467,13.37786,25.41328,1.22289,0.71987,1170.1866,178.03795,,,26.22622
2012,1476.03171,1260.71162,272.69264,39.72623,9.23775,5.49274,2.07334,1.30108,1.07677,1.04155,439.29715,16.84715,422.45,51.08431,396.3279,73.26625,15.83648,281.36764,25.85753,46.8529,126.10985,65.23868,16.70542,39.54315,4.47978,0.14282,89.21024,43.32715,16.25761,27.45549,1.40115,0.76884,1286.55145,167.57111,,,21.90915
2011,1321.9823,1113.4757,251.2857,34.3346,8.5545,5.2784,2.1504,1.0164,1.0693,1.0423,384.0406,15.1565,368.8841,50.2653,340.3047,60.1036,13.7744,243.9754,22.4514,39.4121,120.6953,61.9711,17.2824,37.7636,3.4152,0.263,87.8113,39.2565,15.0294,31.1875,1.6257,0.7122,1164.2867,138.5088,,,19.1867
2010,1143.86846,953.0,232.1,32.7,9.2,5.3,2.1,1.2,1.2,0.8,292.7,12.0,280.7,43.3,321.8,63.7,14.9,224.9,18.3,15.9,108.1,56.4,15.5,34.1,2.1,,82.8,39.2,14.9,26.8,2.0,,1007.3,120.9,,,15.7
