年份,住宿业企业客房收入,内资住宿业企业客房收入,国有住宿业企业客房收入,集体住宿业企业客房收入,股份合作住宿业企业客房收入,联营住宿业企业客房收入,国有联营住宿业企业客房收入,集体联营住宿业企业客房收入,国有与集体联营住宿业企业客房收入,其他联营住宿业企业客房收入,有限责任公司住宿业企业客房收入,国有独资公司住宿业企业客房收入,其他有限责任公司住宿业企业客房收入,股份有限公司住宿业企业客房收入,私营住宿业企业客房收入,私营独资住宿业企业客房收入,私营合伙住宿业企业客房收入,私营有限责任公司住宿业企业客房收入,私营股份有限公司住宿业企业客房收入,其他住宿业企业客房收入,港、澳、台商投资住宿业企业客房收入,港、澳、台商合资经营住宿业企业客房收入,港、澳、台商合作经营住宿业企业客房收入,港、澳、台商独资经营住宿业企业客房收入,港、澳、台商投资股份有限公司住宿业企业客房收入,其他港澳台商投资住宿业企业客房收入,外商投资住宿业企业客房收入,中外合资经营住宿业企业客房收入,中外合作经营住宿业企业客房收入,外资住宿业企业客房收入,外商投资股份有限公司住宿业企业客房收入,其他外商投资住宿业企业客房收入,旅游饭店客房收入,一般旅馆客房收入,民宿服务客房收入,露营地服务客房收入,其他住宿业客房收入
2019,2345.6252,2070.3727,128.6255,15.5238,3.4528,1.8818,1.2482,,,,854.7736,84.0665,770.7078,56.9189,1008.9482,43.7505,9.8449,933.4952,21.8569,0.2487,173.4741,72.26,14.9256,82.7809,2.4955,1.012,101.7786,36.4923,13.0201,42.5598,8.1388,1.5682,1547.4336,725.482,7.2285,0.3804,65.1003
2018,2130.6,1857.6,134.1,16.0,3.3,2.4,1.7,0.1,,,822.4,77.6,744.8,57.5,820.8,42.6,9.9,748.0,20.2,1.1,175.0,71.9,20.3,77.7,4.0,1.1,98.0,40.4,13.6,37.7,2.3,4.0,1518.9,561.3,4.6,0.1,45.8
2017,2051.2415,1778.2575,158.911,18.586,3.397,2.063,1.238,0.187,0.374,0.264,811.416,70.451,740.965,57.706,717.393,47.948,10.713,630.032,28.699,8.785,173.804,70.001,19.258,77.434,5.716,1.395,99.18,41.544,15.383,35.868,2.268,4.118,1462.351,537.417,,,51.474
2016,1907.2278,1635.5554,172.8822,20.5651,4.014,2.1744,1.4354,0.2181,0.3444,0.1766,755.2941,61.9885,693.3062,58.835,609.7437,53.7645,11.9,514.9021,29.1774,12.0484,177.6507,72.8509,21.3635,77.5828,4.806,1.048,94.0218,40.4949,12.2014,35.1777,2.9438,3.2046,1406.217,454.743,,,46.2682
2015,1803.1021,1536.7961,180.6596,22.4783,4.6371,2.7091,1.816,0.2378,0.4042,0.2512,691.8932,52.6517,639.2416,55.0325,564.4177,55.2703,11.735,468.087,29.3255,14.9693,172.0132,70.9457,21.5526,74.3027,4.3825,0.8302,94.2934,46.8099,9.9679,31.8328,2.672,3.0109,1354.6431,403.7693,,,44.6905
2014,1739.2,1468.28839,183.33707,24.29554,4.56066,2.45375,1.38376,0.31409,0.56384,0.19206,652.49931,49.16832,603.33099,54.72606,531.21316,55.09433,11.55328,436.70605,27.8595,15.20284,168.06212,69.75184,24.05394,67.94201,6.07464,0.23969,102.83782,47.88628,10.87112,39.00727,2.6776,2.39555,1314.68485,384.7615,,,39.74198
2013,1705.42678,1435.64294,227.48605,26.40647,5.22261,3.02659,1.54447,0.57891,0.5901,0.31311,607.90037,45.7851,562.11527,56.02494,492.77642,52.49566,12.09942,400.39937,27.78197,16.79949,155.06244,73.27148,17.54358,58.2963,5.18874,0.76234,114.7214,51.21387,13.57951,47.88777,1.77223,0.26802,1285.23808,379.57239,,,40.61631
2012,1617.91349,1348.13593,267.19033,33.0579,10.28563,6.00028,3.248,0.79753,0.93557,1.01918,498.92272,19.13723,479.78549,51.0358,429.67019,73.54614,17.9652,313.08514,25.07371,51.97308,154.63406,78.59549,19.42281,51.51397,4.96328,0.13851,115.1435,55.05457,16.66276,41.3075,1.70017,0.4185,1283.75122,299.67145,,,34.49082
2011,1535.3203,1270.0074,269.391,34.1351,10.5901,6.1425,3.0776,1.0736,0.8722,1.119,446.5569,17.475,429.0819,56.1661,399.3212,71.0595,17.9594,285.7612,24.5411,47.7047,150.7781,80.7376,19.7161,45.415,4.5571,0.3523,114.5349,52.2441,16.8406,43.2279,1.9131,0.3092,1235.6093,268.6026,,,31.1084
2010,1309.7602,1065.3,250.1,32.4,10.3,6.4,3.1,0.9,1.4,1.0,347.0,15.4,331.6,47.1,354.4,68.2,15.8,249.2,21.3,17.7,133.4,72.3,19.3,39.2,2.6,,111.0,50.3,17.1,41.3,2.3,,1058.5,225.1,,,26.1
2009,1041.19403,838.33719,224.95944,26.65301,9.08632,5.09092,2.90577,0.37781,1.34381,0.46353,257.65423,13.49351,244.16072,37.14628,263.56876,48.0968,13.4314,186.63723,15.40333,14.17823,110.04086,62.23513,16.7617,28.57765,2.46638,,92.81598,43.91963,13.33861,33.07374,2.484,,856.28792,165.82998,,,19.07613
2008,1064.5796,830.6236,236.991,29.8888,11.1779,5.8159,3.049,0.2422,1.3501,1.1746,246.1836,15.4969,230.6868,39.9779,251.4855,48.4442,13.4013,174.2647,15.3753,9.103,122.1197,76.2435,17.932,25.995,1.9492,,111.8362,55.5386,18.6294,35.1758,2.4925,,890.1503,157.9735,,,16.4558
2007,851.67481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,742.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,661.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
