年份,农业生产资料指数(上年=100),农用手工工具指数(上年=100),饲料价格指数(上年=100),仔畜幼禽及产品畜(上年=100),半机械化农具生产资料价格指数(上年=100),机械化农具生产资料价格指数(上年=100),化学肥料生产资料价格指数(上年=100),农药及农药械生产资料价格指数(上年=100),化学农药生产资料价格指数(上年=100),农药器械生产资料价格指数(上年=100),农用机油生产资料价格指数(上年=100),其他农业生产资料价格指数(上年=100),农用种子生产资料价格指数(上年=100),其他农业生产资料(除种子)价格指数(上年=100),农业生产服务价格指数(上年=100)
2019,104.6,102.6,101.3,145.8,100.3,100.9,101.9,102.9,103.2,100.9,94.6,100.9,,,102.3
2018,103.10102774,103.80556185,102.89577175,89.45316482,101.3612963,101.81338335,107.3777401,104.78606503,,,112.55863528,101.29454136,,,102.82367765
2017,100.6,102.3,99.1,94.1,101.0,101.5,102.1,101.0,,,110.0,100.7,,,101.5
2016,100.13779599,100.96979536,95.54136059,126.92692582,99.51928939,99.99869505,96.90954373,99.94642276,100.0,99.8,96.55238682,99.9403217,,,101.50219201
2015,100.37603206,101.49195801,98.05655334,108.262833,100.13364489,99.80261905,100.61513007,100.49417577,100.5,100.1,87.30890935,100.81456303,101.4,99.3,102.2031209
2014,99.14654485,103.12337494,101.98750318,97.81975051,100.45716063,100.6016789,94.16174831,101.23343346,101.3,100.7,98.19980855,102.09550761,102.5,101.1,103.96604497
2013,101.44034275,103.02110806,104.51715026,100.30595003,100.73413925,100.51190924,97.71636167,101.63454927,101.7,101.5,100.49153825,103.87917311,105.0,101.3,106.48438949
2012,105.55744063,104.37870967,105.66023966,104.58435116,102.07295623,102.07133624,106.64418638,102.42517594,102.2,103.7,104.16833292,105.92609213,108.2,100.9,108.27752834
2011,111.28945197,105.29367124,107.58303837,137.30439111,103.61375037,104.61877861,113.28089533,102.55746697,102.5,103.2,110.80472511,108.1199094,110.4,103.4,108.32372501
2010,102.86071,102.50472,108.27222,100.76159,100.66839,101.43937,98.55552,100.44563,100.2,102.4,110.26646,107.2461,109.0,104.2,104.28756
2009,97.48993,103.09374,102.3742,82.70352,101.5461,100.86281,93.70987,100.14992,100.0,101.5,94.37564,102.4563,106.5,95.9,107.86016
2008,120.2846,112.4726,115.82205,131.51759,107.89213,109.0106,131.7277,107.95612,108.4,105.0,113.11375,108.06419,108.3,107.6,110.32778
2007,107.68696,104.90021,108.15041,144.51957,102.73382,101.68219,103.36408,101.37922,101.3,101.9,105.28396,103.36053,103.1,103.8,109.67663
2006,101.52918,106.2481,101.14821,88.0411,101.81511,101.49035,100.11728,101.58214,101.5,102.4,113.42274,105.81328,106.5,104.6,107.76983
2005,108.3243,105.071,103.8812,106.5439,102.2841,102.3015,112.8088,104.1222,104.5,101.7,111.0795,109.4182,110.7,107.5,
2004,110.6326,104.3199,116.5175,127.5677,102.1,102.2409,112.7714,103.0018,103.3,100.8,108.4189,106.2887,107.6,104.2,
2003,101.3515,99.3046,101.9571,102.8947,99.3517,98.4719,101.5711,99.9297,99.9,100.2,107.7565,96.9898,95.4,99.3,
2002,100.5,99.7,101.5,,98.3,96.9,102.4,98.0,97.9,98.7,98.9,102.9,,,
2001,99.1,100.3,104.1,,98.8,97.1,97.9,97.1,96.9,98.0,100.0,97.4,,,
2000,99.1,99.3,93.4,,98.2,96.5,92.9,95.3,95.1,96.8,123.9,98.6,,,
