年份,工业生产者出厂价格指数(上年=100),生产资料工业生产者出厂价格指数(上年=100),采掘工业工业生产者出厂价格指数(上年=100),原材料工业工业生产者出厂价格指数(上年=100),加工工业工业生产者出厂价格指数(上年=100),生活资料工业生产者出厂价格指数(上年=100),食品类工业生产者出厂价格指数(上年=100),衣着类工业生产者出厂价格指数(上年=100),一般日用品工业生产者出厂价格指数(上年=100),耐用消费品工业生产者出厂价格指数(上年=100)
2019,99.6793,99.2391,102.3702,97.4263,99.6904,100.932,102.6528,101.1316,100.3962,98.7646
2018,103.5391,104.56,108.8375,106.3303,103.4659,100.4922,100.5203,100.7872,101.0025,99.8374
2017,106.3082,108.3392,120.6707,111.53,106.0893,100.6526,100.5955,101.1558,101.3199,99.8754
2016,98.6344,98.165,95.4029,96.7242,98.9662,99.9573,100.5508,100.8764,100.037,98.5486
2015,94.7893,93.2544,80.3177,90.4501,95.7394,99.727,99.9752,100.6617,99.2897,99.2021
2014,98.1124,97.5307,93.4957,97.0125,98.1563,99.9848,100.1624,100.6907,100.0884,99.1705
2013,98.0894,97.4287,94.2866,96.9223,97.9652,100.1909,100.7147,101.2179,99.8474,99.0961
2012,98.282,97.5117,97.5775,98.0155,97.2642,100.8173,101.4045,102.0534,100.8619,99.0771
2011,106.0,106.6,115.4,109.2,104.6,104.2,107.4,104.2,104.0,99.4
2010,105.5,106.6,122.2,110.1,103.1,102.0,103.8,102.0,101.9,99.4
2009,94.6,93.3,84.2,91.9,95.1,98.8,98.6,100.1,99.2,97.7
2008,106.9,107.7,123.2,108.9,105.2,104.1,108.3,102.2,103.6,99.5
2007,103.1,103.2,103.8,105.6,102.0,102.8,107.0,101.2,101.5,99.0
2006,103.0,103.9,114.1,106.6,101.1,100.2,100.5,101.3,100.8,98.0
2005,104.9,106.8,125.8,109.8,102.2,99.8,100.9,100.8,101.9,96.8
2004,106.1,107.8,118.8,110.2,104.8,101.2,105.2,100.9,101.9,96.2
2003,102.3,103.6,113.3,106.7,100.2,98.9,100.9,99.8,99.5,95.6
2002,97.8,97.7,101.9,98.0,96.9,97.9,99.7,98.8,97.9,94.7
2001,98.7,98.8,100.1,99.7,98.1,98.5,100.5,99.0,98.3,95.3
2000,102.8,105.1,124.9,108.4,98.6,97.8,96.0,100.6,98.0,96.4
