年份,农产品生产价格指数(上年=100),种植业产品生产价格指数(上年=100),谷物生产价格指数(上年=100),小麦生产价格指数(上年=100),稻谷生产价格指数(上年=100),玉米生产价格指数(上年=100),豆类生产价格指数(上年价格=100),大豆生产价格指数(上年=100),油料生产价格指数(上年=100),花生生产价格指数(上年价格=100),油菜籽生产价格指数(上年价格=100),棉花生产价格指数(上年=100),糖料生产价格指数(上年=100),麻类生产价格指数(上年价格=100),烟叶生产价格指数(上年价格=100),蔬菜生产价格指数(上年=100),水果生产价格指数(上年=100),茶叶生产价格指数(上年价格=100),林业产品生产价格指数(上年=100),畜牧业产品生产价格指数(上年=100),猪(毛重)生产价格指数(上年=100),牛(毛重)生产价格指数(上年=100),羊(毛重)生产价格指数(上年=100),家禽(毛重)生产价格指数(上年=100),蛋类生产价格指数(上年=100),奶类生产价格指数(上年=100),渔业产品生产价格指数(上年=100),海水养殖产品生产价格指数(上年=100),海水捕捞产品生产价格指数(上年=100),淡水养殖产品生产价格指数(上年=100),淡水捕捞产品生产价格指数(上年=100)
2019,114.5,100.75,100.33,100.05,96.46,102.01,100.1,100.06,105.19,106.3,102.1,97.81,97.7,109.8,101.8,101.24,103.64,102.7,100.1,133.47,150.52,112.49,114.3,107.81,102.05,105.64,99.35,97.19,100.64,99.76,
2018,99.0703295,101.24745,102.285269,100.092616,99.737169,105.073849,,97.93,99.087075,,,97.9180374524337,98.825346,,,103.634363,101.096617954681,,98.903357,95.583807,85.62,104.925002,114.683804,107.712217,117.611626,101.290002,102.573597,101.408981,104.740757,102.218051,
2017,96.464658,99.475783,100.506707,104.378856,100.698199,97.134346,,97.650001,100.530445,,,100.840001,106.333291,,,95.640991,104.824594,,104.863143,90.818338,86.02,98.772544,107.138034,96.700481,92.818483,100.0,104.9497525,107.85257,103.14625225,102.394219,
2016,103.418705,97.019454,92.171741,94.07752,98.803144,86.756797,97.9,97.559998,101.054525988729,101.7,100.4,118.4316,106.543682,100.0,95.0,106.957972,92.519855,99.4,96.112545,110.371143,119.39,98.729907,93.584219,99.595828,94.327781,96.150002,103.401435,104.146052,106.179196,101.993679,
2015,101.67,99.22,98.67,99.23,101.57,96.46,98.9,99.03,100.84,102.0,99.6,87.52,98.75,105.1,100.6,104.55,99.65,98.7,97.88,104.23,108.85,99.08,89.4,101.27,96.85,92.22,102.45,101.0,105.97,102.05,
2014,99.83,101.79,102.67,105.09,102.18,101.74,102.4,101.75,99.85,96.2,101.3,87.08,99.74,110.32,104.8,98.48,106.4,105.5,99.44,97.1,92.18,104.41,100.83,104.36,105.69,107.92,103.1,101.94,103.14,103.82,101.46
2013,103.22,104.25,103.12,106.73,102.23,100.2,105.7,105.74,102.38,98.9,104.6,103.85,98.85,92.82,110.7,106.85,106.24,100.5,99.09,102.4,99.28,113.08,109.13,103.21,105.8,110.96,104.32,100.73,107.67,104.65,103.48
2012,102.744705,104.801831,104.8094126,102.8594067,104.0907904,106.6015576,103.0,105.6778162,105.1779748,108.1,105.2,98.08887842,105.0,103.15,111.7,109.9397618,103.8641122,108.8,101.2304407,99.72874225,95.91778028,116.7927172,107.8494309,103.8487725,100.4695515,103.8612217,106.1820802,101.0066966,110.8997778,106.7539399,107.1789977
2011,116.4502578,107.8267155,109.6765245,105.1793321,113.2825663,109.8933052,105.0,106.34,112.0779457,114.4,108.3,79.51675326,125.4605865,105.88,111.47,103.3596852,106.166677,113.34,114.9241311,126.1983922,136.9783118,108.0539569,115.7444747,111.9855562,112.6329319,108.0732592,110.0380826,111.4731782,111.2330669,109.4841803,103.6723037
2010,110.9,116.6,112.8,107.9,112.8,116.1,110.43,107.9,112.1,117.9,109.48,157.7,106.0,115.78,105.79,116.8,118.9,120.38,122.8,103.0,98.3,104.7,108.7,107.0,107.5,115.3,107.6,,,,
