年份,居民消费价格指数(1978=100),城市居民消费价格指数(1978=100),农村居民消费价格指数(1985=100),商品零售价格指数(1978=100),工业生产者出厂价格指数(1985=100),工业生产者购进价格指数(1990=100),固定资产投资价格指数(1990=100)
2019,669.8,722.1,504.6,471.4,388.2,367.2,308.9
2018,650.9,702.4,489.0,462.2,389.4,369.8,301.1
2017,637.5,688.0,478.9,453.6,376.2,355.2,285.7
2016,627.5,676.5,472.8,448.7,353.9,328.6,270.0
2015,615.2,662.6,464.0,445.6,358.9,335.3,271.6
2014,606.7,652.8,458.0,445.2,378.6,357.1,276.6
2013,594.8,639.4,449.9,440.8,385.9,365.1,275.2
2012,579.7,623.2,437.6,434.7,393.4,372.5,274.4
2011,565.0,606.8,426.9,426.2,400.2,379.3,271.4
2010,536.1,576.3,403.5,406.3,377.5,347.7,254.6
2009,519.0,558.4,389.5,394.1,357.8,317.2,245.8
2008,522.7,563.5,390.7,398.9,378.2,344.3,251.8
2007,493.6,533.6,366.9,376.7,353.8,311.6,231.09584
2006,471.0,510.6,348.1,362.9,343.2,298.5,222.4
2005,464.0,503.1,343.0,359.3,333.2,281.6,219.1
2004,455.8,495.2,335.6,356.4,317.6,260.0,215.652124773991
2003,438.7,479.4,320.2,346.7,299.3,233.4,204.216027248097
2002,433.5,475.1,315.2,347.0,292.6,222.7,199.8199875226
2001,437.0,479.9,316.5,351.6,299.2,227.9,199.421145232136
2000,434.0,476.6,314.0,354.4,303.1,228.4,198.626638677426
