年份,商品零售价格指数(上年=100),食品类商品零售价格指数(上年=100),粮食类商品零售价格指数(上年=100),油脂类商品零售价格指数(上年=100),肉禽及其制品类商品零售价格指数(上年=100),蛋类商品零售价格指数(上年=100),水产品类商品零售价格指数(上年=100),菜类商品零售价格指数(上年=100),调味品类商品零售价格指数(上年=100),糖类商品零售价格指数(上年=100),干鲜瓜果类商品零售价格指数(上年=100),糕点饼干面包类商品零售价格指数(上年=100),液体乳及乳制品类商品零售价格指数(上年=100),在外用膳食品类商品零售价格指数(上年=100),主食类商品零售价格指数(上年=100),炒菜类商品零售价格指数(上年=100),地方小吃类商品零售价格指数(上年=100),其它食品类商品零售价格指数(上年=100),饮料、烟酒类商品零售价格指数(上年=100),茶及饮料类商品零售价格指数(上年=100),烟草类商品零售价格指数(上年=100),酒类商品零售价格指数(上年=100),服装、鞋帽类商品零售价格指数(上年=100),服装类商品零售价格指数(上年=100),鞋袜帽类商品零售价格指数(上年=100),纺织品类商品零售价格指数(上年=100),衣着材料类商品零售价格指数(上年=100),床上用品类商品零售价格指数(上年=100),家用电器及音像器材类商品零售价格指数(上年=100),文化办公用品类商品零售价格指数(上年=100),日用品类商品零售价格指数(上年=100),日用百货类商品零售价格指数(上年=100),日用杂品类商品零售价格指数(上年=100),体育娱乐用品类商品零售价格指数(上年=100),交通、通信用品类商品零售价格指数(上年=100),家具类商品零售价格指数(上年=100),化妆品类商品零售价格指数(上年=100),金银珠宝类商品零售价格指数(上年=100),中西药品及医疗保健用品类商品零售价格指数(上年=100),医疗器具及用品类商品零售价格指数(上年=100),中药材及中成药类商品零售价格指数(上年=100),西药类商品零售价格指数(上年=100),书报杂志及电子出版物类商品零售价格指数(上年=100),燃料类商品零售价格指数(上年=100),建筑材料及五金电料类商品零售价格指数(上年=100),建筑装璜材料类商品零售价格指数(上年=100),五金电料类商品零售价格指数(上年=100)
2019,102,107.8,100.6,101.1,,105,100.1,103.9,101.3,,109.7,100.7,101.7,103.3,,,,101.4,101.3,101.5,,102.1,101.6,101.8,100.8,100.7,102,100.4,98.8,99.9,100.7,100.6,,100.3,98.4,101.1,101.5,108.3,103.9,100.6,104.9,104.3,104.6,97,101,101.1,101
2018,101.91053998,102.08970358,100.74231125,99.55410371,,111.57296727,102.21161723,106.95186525,102.08012345,,104.03456451,102.15964817,101.60578839,102.40336339,,,,101.39453353,101.52646512,101.89431067,,103.05023783,101.25167326,101.58756736,100.36392367,100.83099461,101.74321942,100.58391211,99.51234779,100.02628832,101.11133545,101.475732,,100.81195445,98.62286435,102.48248925,101.01802231,97.86882994,104.48010906,100.70920926,105.6703803,105.13862477,103.54857825,109.68720148,102.81469587,103.1310108,101.86423719
2017,101.08475731,99.35300362,101.49950741,100.14598918,,96.30192084,104.59929546,92.63022355,102.65890913,,102.70304119,102.11000841,100.3,102.24536478,,,,100.31303787,100.9234261,101.15670503,,102.28204786,101.12998215,101.23960755,100.88275271,100.41255742,101.92049344,100.01177136,99.75103919,99.63038134,100.47126854,100.77753401,,100.60609248,98.48379127,101.96549084,101.24091296,101.87195796,105.37591425,100.72614712,105.72304515,105.70876017,101.66574424,108.4310858,102.12263626,102.33250223,101.49718143
2016,100.74839434,103.93681029,100.40920796,101.18501176,,96.73036437,104.51698528,110.73082095,102.11339945,,97.85386332,100.77457553,99.5602657,102.46146972,,,,101.4759161,101.17181207,100.2962501,,100.28678736,101.34278642,101.38814614,101.27011099,100.4978786,101.5394927,100.22461864,98.15052612,98.92959125,100.19362565,100.05067962,,100.43082585,97.78803032,100.66069279,101.07171428,106.79105783,104.0535013,101.14286499,104.57991021,103.69461664,101.31406311,97.03657203,100.29816197,100.24209466,100.46562967
2015,100.07245,102.2092,102.01843,96.97319,104.92471,92.74394,101.5673,106.87919,103.70980828,100.6449364,97.39063,101.42475781,98.96120543,102.6310679,102.40779959,102.05069833,104.32745523,100.44743679,101.87166,101.66987583,104.03222348,99.38558246,102.77172,102.8767037,102.68217425,100.58605,101.38495541,100.19885526,98.87991,99.62775,100.59024,100.50147648,100.89640044,100.55076,98.2671,101.09586,100.60956,93.34952,102.43803,100.51632459,102.55783237,102.22368205,102.5793,87.6665,99.07051,98.62075038,100.48489347
2014,100.9985439,103.0,103.1,95.1,100.3,110.8,104.3,98.8,103.04563347,100.01360415,114.0,101.81675849,108.6,103.17749389,103.82479037,102.40912542,105.17134544,101.51618239,99.9,101.85001316,100.23346427,98.32907615,102.4,102.57883733,102.1032109,100.9,102.46429541,100.15924721,98.5,99.0,100.5,100.48525357,100.97029311,100.5,98.6,101.5,100.8,91.6,101.7,100.60759999,103.0,100.5,101.1,99.2,100.4,100.3,100.7
2013,101.4345825,104.7,104.9,100.4,104.4,104.8,104.1,108.1,103.87168403,100.5708453,106.0,102.48355173,105.7,104.59466209,106.53621507,103.50844609,107.01273826,101.31386601,100.7,102.07944088,100.47370861,100.02976866,102.2,102.51808898,101.59794713,101.0,101.95680759,100.56919159,98.3,98.6,100.8,100.45059928,101.0103219,100.7,97.3,101.2,101.5,91.9,101.3,100.81626186,103.1,100.0,101.3,99.9,100.5,100.3,101.1
2012,101.96974773,104.7894632,103.84896125,105.10550299,102.19481939,97.08187773,108.13813246,113.53320853,104.4638779,104.17712918,99.69731618,104.17802136,103.13379611,106.58829008,106.55801306,106.21853349,108.13869375,104.77337903,103.26295787,104.0014431,100.46071706,106.29847406,102.91669263,103.25875323,102.18968483,101.53243719,104.03790879,100.40253235,97.71718756,98.14545858,102.08609013,101.58223545,101.67672603,100.95855411,96.04013525,101.29391767,102.19971511,100.99875646,102.13084571,102.43690665,104.89933844,100.28978144,101.39323582,102.93069443,100.28022927,99.82276894,101.764234
2011,104.94194641,111.90345274,112.25490989,113.38658422,122.43730657,114.33368463,112.06106845,100.95291775,105.70109809,111.06030453,115.87379613,108.17882806,104.98423346,108.14801138,108.75011303,107.13425193,112.42218675,106.03528675,103.31753579,103.92841382,100.39435722,106.81027397,101.84170215,102.35462491,100.58385156,105.73847746,109.77517668,104.00996523,96.85985775,97.56837186,102.26664917,102.48087277,101.79067525,100.91193135,96.12505376,102.28102044,101.32833457,114.32524222,103.89432736,102.00653924,112.1140213,99.55158652,100.79644875,111.11272441,105.06242129,105.67148481,103.13452861
2010,103.07206,107.63685,111.68745,103.6583,102.97314,108.31293,108.34487,118.97499,104.1,108.2,114.28093,102.4,102.9,103.6,102.9,103.6,105.2,101.7,101.69237,101.5,100.5,103.7,98.81965,99.0,98.3,101.23162,102.9,100.2,96.07732,97.78121,100.28083,100.6,100.4,98.29838,95.62276,100.1213,100.35898,114.45154,104.31451,103.7,111.1,101.0,101.2918,112.31416,103.49276,104.0,101.9
