年份,农村商品零售价格指数(上年=100),食品类农村商品零售价格指数(上年=100),粮食类农村商品零售价格指数(上年=100),淀粉类农村商品零售价格指数(上年=100),干豆类及豆制品类农村商品零售价格指数(上年=100),油脂类农村商品零售价格指数(上年=100),肉禽及其制品类农村商品零售价格指数(上年=100),蛋类农村商品零售价格指数(上年=100),水产品类农村商品零售价格指数(上年=100),菜类农村商品零售价格指数(上年=100),调味品类农村商品零售价格指数(上年=100),糖类农村商品零售价格指数(上年=100),干鲜瓜果类农村商品零售价格指数(上年=100),糕点饼干面包类农村商品零售价格指数(上年=100),液体乳及乳制品类农村商品零售价格指数(上年=100),在外用膳食品类农村商品零售价格指数(上年=100),建筑材料及五金电料类农村商品零售价格指数(上年=100),建筑装璜材料类农村商品零售价格指数(上年=100),五金电料类农村商品零售价格指数(上年=100),主食类农村商品零售价格指数(上年=100),炒菜类农村商品零售价格指数(上年=100),地方小吃类农村商品零售价格指数(上年=100),其他食品类农村商品零售价格指数(上年=100),饮料、烟酒类农村商品零售价格指数(上年=100),茶及饮料类农村商品零售价格指数(上年=100),烟草类农村商品零售价格指数(上年=100),酒类农村商品零售价格指数(上年=100),服装、鞋帽类农村商品零售价格指数(上年=100),服装类农村商品零售价格指数(上年=100),鞋袜帽类农村商品零售价格指数(上年=100),其他类农村商品零售价格指数(上年=100),纺织品类农村商品零售价格指数(上年=100),衣着材料类农村商品零售价格指数(上年=100),床上用品类农村商品零售价格指数(上年=100),家用电器及音像器材类农村商品零售价格指数(上年=100),家庭设备类农村商品零售价格指数(上年=100),文娱用耐用消费品类农村商品零售价格指数(上年=100),音像器材类农村商品零售价格指数(上年=100),文化办公用品类农村商品零售价格指数(上年=100),日用品类农村商品零售价格指数(上年=100),日用百货类农村商品零售价格指数(上年=100),日用杂品类农村商品零售价格指数(上年=100),洗涤用品类农村商品零售价格指数(上年=100),其他日用品类农村商品零售价格指数(上年=100),体育娱乐用品类农村商品零售价格指数(上年=100),体育用品类农村商品零售价格指数(上年=100),娱乐用品类农村商品零售价格指数(上年=100),交通、通信用品类农村商品零售价格指数(上年=100),交通运输机械类农村商品零售价格指数(上年=100),通讯器材类农村商品零售价格指数(上年=100),家具类农村商品零售价格指数(上年=100),化妆品类农村商品零售价格指数(上年=100),金银珠宝类农村商品零售价格指数(上年=100),中西药品及医疗保健用品类农村商品零售价格指数(上年=100),医疗器具及用品类农村商品零售价格指数(上年=100),中药材及中成药类农村商品零售价格指数(上年=100),西药类农村商品零售价格指数(上年=100),保健器具及用品类农村商品零售价格指数(上年=100),书报杂志及电子出版物类农村商品零售价格指数(上年=100),教材及参考书类农村商品零售价格指数(上年=100),书报杂志类农村商品零售价格指数(上年=100),电子音像制品类农村商品零售价格指数(上年=100),燃料类农村商品零售价格指数(上年=100),煤炭及制品类农村商品零售价格指数(上年=100),石油及制品类农村商品零售价格指数(上年=100)
2019,102.5,109,100.4,,,101.7,,105.1,100.5,103.8,101.6,,110.5,100.8,101.6,103.6,101.2,101.1,101.6,,,,101.3,101.1,101.6,,101.9,101.3,101.4,101,,100.6,101.9,100.2,99.5,,,,100.8,101.1,101.1,,,,100.5,,,98.5,,,100.7,101.3,106.4,104.3,100,104.6,105,,104.3,,,,97.3,,
2018,102.13765838,101.55238008,100.84677989,,,98.86033209,,112.02540216,102.62962872,106.3970919,101.63309294,,104.93826788,101.92168181,100.85091628,102.22195952,103.98549491,104.53878837,102.28086521,,,,101.7247307,101.29614909,101.5844556,,102.61517626,101.59011295,101.92415392,100.76235152,,100.7814253,102.35003635,100.2947741,100.18646885,,,,100.86617523,101.4468155,101.73995475,,,,100.82596876,,,98.74827213,,,102.3515813,101.16499202,98.43569009,105.22233196,99.80750305,105.37558754,106.05002969,,103.11155827,,,,109.91629223,,
2017,101.25542659,98.7130533,101.9426908,,,99.27887471,,95.34713395,103.91539202,93.04166237,101.77300376,,102.73102333,102.18205333,100.0,102.4472671,103.174069,103.39911536,102.48684581,,,,101.0513708,100.70650792,101.4271413,,101.67968455,101.13363315,101.35386934,100.61085607,,100.47204074,101.48888283,100.16070074,100.24234551,,,,100.2166252,100.91507806,101.16861755,,,,100.75045194,,,98.69265973,,,102.25639266,101.07493402,101.84219882,106.81653403,101.05273029,106.76135603,107.59835889,,101.99767643,,,,108.90716492,,
2016,100.9121877,104.31193343,100.18558616,111.6,100.7,101.80509823,,96.6732092,103.59924357,110.99560589,101.57227394,,97.62070327,100.86634726,99.88446123,102.83892863,100.21092265,100.13710413,100.43701707,,,,100.98235723,101.21898663,100.37165582,102.3,100.08816933,101.30951632,101.36444651,101.25516752,100.3,100.18850854,101.01511283,99.93811459,98.52042022,99.2,97.1,99.2,99.35158201,100.22095921,99.78622697,100.9,100.7,100.1,100.52754636,100.3,100.6,98.05905998,98.2,97.8,100.50212003,100.31897984,104.15711749,103.81742328,101.28835224,103.6051816,104.24803364,103.3,101.35040749,101.1,101.2,102.8,96.59462979,99.5,95.6
2015,100.26513,102.4027545,101.68914391,100.7,102.7,97.55584629,105.42317593,93.12064001,101.93200203,106.32208116,102.95905123,100.92917002,98.55949849,101.18047302,99.49334658,102.34179084,98.77314665,98.30381203,100.42424568,101.94212981,101.99157395,103.83083096,100.66562641,101.93646927,101.50646496,104.52356281,99.1158307,102.31561389,102.58023569,101.81938738,100.6,100.80777217,101.60212614,100.26194791,99.56499107,100.0,98.9,99.8,100.17200215,100.5737445,100.53566094,100.78149956,100.4,100.7,100.96251583,101.2,100.7,98.91278722,98.9,98.9,101.22386485,100.68261627,94.97767323,102.41554869,100.55026672,101.77536043,102.77473468,103.7,102.14932441,101.5,103.2,101.0,87.05270833,96.1,84.0
2014,101.0,102.5,103.1,102.5,104.6,95.5,100.0,110.4,104.2,98.7,103.118602,99.33277991,113.7,101.69764271,106.3,103.27662746,100.4,100.2,101.0,103.33411331,102.59885138,104.96811973,101.75890844,100.0,102.01870212,100.40598877,98.54002031,102.3,102.49314115,101.89973099,100.8,101.6,102.80079276,100.73569761,99.3,100.1,98.0,99.1,100.0,100.8,100.77797534,100.91799801,100.9,100.8,100.1,100.1,100.1,99.0,99.4,98.2,101.1,100.8,90.9,101.6,100.05019022,102.5,100.9,102.2,100.9,101.3,100.8,100.1,99.0,97.2,99.6
2013,101.8,105,105.0,102.5,106.1,100.6,103.9,104.9,104.7,109.9,104.57496591,99.82327128,107.4,102.3573154,103.5,105.61541735,100.5,100.2,101.6,106.88824267,104.22990381,108.26516121,101.69392805,101.1,101.8939445,101.53474731,100.29661516,102.5,102.97576952,101.57639676,100.3,101.2,102.46688444,100.37041861,98.9,100.0,97.1,99.8,99.7,101.2,100.69145716,101.52278815,101.6,101.1,100.8,101.2,100.5,98.1,99.1,96.3,100.8,101.6,91.8,101.0,100.95421149,103.2,99.4,101.2,101.6,102.4,101.3,100.5,99.7,99.2,99.8
2012,102.1614044,104.0244508,103.68170654,103.3,102.0,104.14353836,100.4965606,96.84973588,108.85025312,113.66254093,104.41127045,103.44520942,99.62185376,104.529051,102.60945402,106.23938558,100.45748263,100.08323286,101.82627388,106.47892883,105.8353615,107.44134938,104.04816354,102.8348125,103.06474975,100.88359579,105.03942322,103.36532574,103.72719027,102.80598336,100.3,101.89469912,103.94363974,100.58696017,98.54105593,100.2,95.9,99.8,99.19237817,101.71832367,101.24305447,101.72344756,103.2,100.7,100.87861183,101.3,100.5,97.6787785,99.2,95.0,100.92274642,101.87969297,102.81188275,102.39745844,102.84577338,105.14253357,100.55111049,102.5,101.33639128,101.8,101.1,100.7,103.33613594,103.2,103.4
2011,105.53054672,112.23187019,112.41981495,113.4,105.2,113.27268129,122.63030829,113.04057541,110.89023424,102.35594812,104.93620896,112.27506561,115.31575043,106.43885132,103.03959752,107.3739573,105.74716244,106.57468883,102.8291669,107.67551383,106.22869663,111.23522766,104.50877737,102.74070991,102.88042358,100.11136673,105.98261712,101.24605534,101.52294937,100.57973307,101.0,105.37101385,109.65987508,102.78802309,97.85563697,99.3,95.7,98.8,99.37514591,101.78344471,102.04971743,100.95153079,103.0,100.4,100.60056456,100.3,100.9,97.16023001,99.4,93.5,101.16194095,101.02669411,117.4722457,104.25027412,100.0429162,113.1443732,99.83404811,102.9,100.79442355,101.0,101.0,99.9,111.84793279,111.1,112.1
2010,103.59849,107.9,111.7,108.0,112.1,104.0,103.5,108.1,106.7,120.4,103.6,110.6,115.6,102.0,101.9,103.2,103.8,104.3,101.8,103.0,102.8,104.8,101.1,101.4,101.1,100.4,102.9,99.0,98.9,99.3,98.7,101.7,103.3,100.4,97.5,98.6,96.0,99.6,99.2,100.5,100.6,100.7,100.6,100.1,99.6,100.2,99.1,96.6,99.2,92.8,100.0,100.3,114.8,104.8,104.2,111.6,101.2,101.4,101.7,103.1,101.1,99.7,112.5,106.4,116.1
2009,98.99867,100.22916221,105.44367559,101.9,97.4,81.42283958,91.18044849,102.02884274,101.01480719,113.77183551,103.11705521,102.05502064,106.27056754,103.19460988,101.80271676,103.50152327,98.17434185,97.51399418,100.63757766,103.02379954,103.32085621,104.87660265,101.81434595,101.34922351,101.366554,100.29325894,102.72897819,98.12234007,97.98341683,98.41731991,98.3,99.84023332,100.64155196,99.17389446,95.66369927,97.6,92.9,98.2,98.61353634,101.86051324,101.57261062,101.48269274,103.7,100.2,99.96173445,101.0,99.0,95.52166507,99.4,89.9,99.02866602,101.04900648,96.73003755,101.54762917,100.82004887,101.73764151,101.64539041,100.8,103.50572993,102.9,105.9,99.3,92.49671005,105.4,86.0
2008,106.70488,114.03512215,107.10077877,110.0,132.1,125.46330976,119.90717404,104.4296365,115.93352584,111.10446015,104.46787617,102.47052304,111.14899901,108.02944948,112.73849373,111.74404377,108.72998222,110.03474319,104.07141977,111.90898089,110.34815408,115.75700646,107.19013163,102.80540813,102.90693716,100.54417142,105.80416824,99.16135625,99.0469809,99.57228264,98.1,100.81728771,102.21721918,99.65852527,98.26762804,100.8,95.1,98.9,99.17814559,103.93362705,103.85198049,102.2736077,107.3,101.0,100.09526893,101.1,99.2,94.79163633,99.7,87.9,102.68706461,100.73769954,118.13144664,103.17031258,99.01100412,107.79032467,100.93307112,101.1,100.63676902,100.0,101.8,99.4,120.150015,129.2,115.8
